VALEUR,#sganarelle,#ariste,#leonor,#lisette,#isabelle,#valere,#ergaste,#le-commissaire,#notaire
Fréquences (scènes),0.8260869565217391,0.30434782608695654,0.13043478260869565,0.13043478260869565,0.43478260869565216,0.43478260869565216,0.30434782608695654,0.13043478260869565,0.043478260869565216
Fréquences(répliques),0.43869426751592355,0.12022292993630573,0.03184713375796178,0.024681528662420384,0.19347133757961785,0.13136942675159236,0.04378980891719745,0.015127388535031847,0.0007961783439490446
Confrontation,0.2534246575342466,0.13013698630136986,0.08904109589041095,0.08904109589041095,0.13013698630136986,0.1506849315068493,0.10273972602739725,0.0410958904109589,0.0136986301369863
Déviations,#sganarelle,#ariste,#leonor,#lisette,#isabelle,#valere,#ergaste,#le-commissaire,#notaire
#sganarelle,0.6956521739130437,0.008172605426610009,0.10983981693363849,0.10983981693363849,0.06613272311212826,0.008237986270022845,0.10591696632886562,0.0922959572845156,0.03661327231121281
#ariste,0.008172605426610009,11.130434782608695,4.770186335403727,4.770186335403727,0.35776397515527936,0.35776397515527936,0.5998225377107366,1.2939958592132506,0.30434782608695654
#leonor,0.10983981693363849,4.770186335403726,17.39130434782609,17.39130434782609,0.37101449275362314,0.07101449275362319,0.008281573498964792,0.3913043478260869,0.13043478260869565
#leonor,0.10983981693363849,4.770186335403726,17.39130434782609,17.39130434782609,0.37101449275362314,0.07101449275362319,0.008281573498964792,0.3913043478260869,0.13043478260869565
#isabelle,0.06613272311212826,0.35776397515527963,0.37101449275362314,0.37101449275362314,7.347826086956523,0.4178260869565216,1.372049689440994,1.3043478260869565,0.43478260869565216
#valere,0.008237986270022845,0.35776397515527963,0.07101449275362319,0.07101449275362319,0.4178260869565216,7.347826086956523,2.872049689440993,0.07101449275362319,0.43478260869565216
#ergaste,0.10591696632886562,0.5998225377107366,0.008281573498964814,0.008281573498964814,1.3720496894409937,2.8720496894409946,11.130434782608695,0.9130434782608695,0.30434782608695654
#le-commissaire,0.0922959572845156,1.2939958592132503,0.3913043478260869,0.3913043478260869,1.3043478260869565,0.07101449275362319,0.9130434782608696,17.39130434782609,5.797101449275362
#notaire,0.03661327231121281,0.30434782608695654,0.13043478260869565,0.13043478260869565,0.43478260869565216,0.43478260869565216,0.30434782608695654,5.797101449275362,21.043478260869566
Successions,#sganarelle,#ariste,#leonor,#lisette,#isabelle,#valere,#ergaste,#le-commissaire,#notaire
#sganarelle,0.016666666666666666,0.2722222222222222,0.022222222222222223,0.016666666666666666,0.3,0.2777777777777778,0.05555555555555555,0.03888888888888889,0.0
#ariste,0.9056603773584906,0.0,0.018867924528301886,0.0,0.0,0.03773584905660377,0.018867924528301886,0.018867924528301886,0.0
#leonor,0.6666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0
#lisette,0.0,0.25,0.625,0.0,0.125,0.0,0.0,0.0,0.0
#isabelle,0.8688524590163934,0.0,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.06557377049180328,0.0,0.0,0.0
#valere,0.7941176470588235,0.0,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.029411764705882353,0.0
#ergaste,0.3157894736842105,0.0,0.05263157894736842,0.0,0.0,0.631578947368421,0.0,0.0,0.0
#le-commissaire,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
#notaire,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
