VALEUR,#la-premiere-grace,#les-deux-graces,#le-choeur,#la-seconde-grace,#junon,#l-amour,#iphis,#alcide,#omphale,#le-grand-pretre,#le-grand-pretre #omphale,#les-pretres #les-lydiens,#cephise,#doris,#cephise #doris,#le-thebain #la-thebaine,#omphale #alcide #le-choeur,#omphale #le-choeur,#argine,#alcide #argine,#cephise #le-choeur,#choeur-de-magiciens,#l-ombre,#omphale #iphis,#omphale #iphis #le-choeur
Fréquences (scènes),0.038461538461538464,0.038461538461538464,0.23076923076923078,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.3076923076923077,0.38461538461538464,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464
Fréquences(répliques),0.026345933562428408,0.004581901489117984,0.054982817869415807,0.016036655211912942,0.009163802978235968,0.006872852233676976,0.12943871706758306,0.286368843069874,0.13172966781214204,0.021764032073310423,0.002290950744558992,0.002290950744558992,0.038946162657502864,0.004581901489117984,0.003436426116838488,0.013745704467353952,0.004581901489117984,0.008018327605956471,0.1958762886597938,0.013745704467353952,0.001145475372279496,0.002290950744558992,0.010309278350515464,0.006872852233676976,0.004581901489117984
Confrontation,0.025252525252525252,0.025252525252525252,0.12121212121212122,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.0707070707070707,0.1111111111111111,0.13636363636363635,0.025252525252525252,0.025252525252525252,0.025252525252525252,0.030303030303030304,0.015151515151515152,0.015151515151515152,0.025252525252525252,0.025252525252525252,0.03535353535353535,0.07575757575757576,0.020202020202020204,0.015151515151515152,0.020202020202020204,0.020202020202020204,0.03535353535353535,0.025252525252525252
Déviations,#la-premiere-grace,#les-deux-graces,#le-choeur,#la-seconde-grace,#junon,#l-amour,#iphis,#alcide,#omphale,#le-grand-pretre,#le-grand-pretre #omphale,#les-pretres #les-lydiens,#cephise,#doris,#cephise #doris,#le-thebain #la-thebaine,#omphale #alcide #le-choeur,#omphale #le-choeur,#argine,#alcide #argine,#cephise #le-choeur,#choeur-de-magiciens,#l-ombre,#omphale #iphis,#omphale #iphis #le-choeur
#la-premiere-grace,24.038461538461537,24.038461538461537,2.5641025641025634,24.038461538461537,24.038461538461537,24.038461538461537,0.3076923076923077,0.38461538461538464,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464
#la-premiere-grace,24.038461538461537,24.038461538461537,2.5641025641025634,24.038461538461537,24.038461538461537,24.038461538461537,0.3076923076923077,0.38461538461538464,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464
#le-choeur,2.5641025641025634,2.5641025641025634,15.384615384615381,2.5641025641025634,2.5641025641025634,2.5641025641025634,0.38782051282051294,0.04102564102564109,0.8414918414918418,2.5641025641025634,2.5641025641025634,2.5641025641025634,0.6282051282051281,0.23076923076923078,0.23076923076923078,2.5641025641025634,2.5641025641025634,5.128205128205127,0.7410256410256412,0.46153846153846156,2.5641025641025634,2.5641025641025634,2.5641025641025634,0.46153846153846156,0.23076923076923078
#la-premiere-grace,24.038461538461537,24.038461538461537,2.5641025641025634,24.038461538461537,24.038461538461537,24.038461538461537,0.3076923076923077,0.38461538461538464,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464
#la-premiere-grace,24.038461538461537,24.038461538461537,2.5641025641025634,24.038461538461537,24.038461538461537,24.038461538461537,0.3076923076923077,0.38461538461538464,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464
#la-premiere-grace,24.038461538461537,24.038461538461537,2.5641025641025634,24.038461538461537,24.038461538461537,24.038461538461537,0.3076923076923077,0.38461538461538464,0.4230769230769231,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464
