VALEUR,#petit-jean,#l-intime,#dandin,#leandre,#chicanneau,#la-comtesse,#isabelle,#chicanneau #la-comtesse,#chicanneau #la-comtesse #l-intime,#le-souffleur
Fréquences (scènes),0.4230769230769231,0.5384615384615384,0.34615384615384615,0.6153846153846154,0.46153846153846156,0.23076923076923078,0.15384615384615385,0.038461538461538464,0.038461538461538464,0.07692307692307693
Fréquences(répliques),0.13209144792548688,0.21337849280270957,0.15241320914479256,0.16003386960203217,0.21253175275190517,0.07197290431837426,0.04403048264182896,0.000846740050804403,0.001693480101608806,0.01100762066045724
Confrontation,0.12234042553191489,0.17553191489361702,0.14893617021276595,0.18085106382978725,0.15425531914893617,0.0851063829787234,0.047872340425531915,0.026595744680851064,0.026595744680851064,0.031914893617021274
Déviations,#petit-jean,#l-intime,#dandin,#leandre,#chicanneau,#la-comtesse,#isabelle,#chicanneau #la-comtesse,#chicanneau #la-comtesse #l-intime,#le-souffleur
#petit-jean,8.653846153846152,0.14385614385614368,1.2622377622377625,0.08741258741258759,0.8496503496503501,0.11421911421911433,1.6923076923076925,0.42307692307692313,0.42307692307692313,0.02797202797202793
#l-intime,0.14385614385614393,5.538461538461539,0.2747252747252749,0.04395604395604414,0.03296703296703298,0.4688644688644689,0.3324175824175821,0.3956043956043954,0.3956043956043954,0.0054945054945055175
#dandin,1.2622377622377625,0.2747252747252749,11.115384615384617,0.38568376068376076,0.3205128205128207,0.0028490028490028613,0.10683760683760682,1.235042735042735,1.235042735042735,0.13675213675213677
#leandre,0.0874125874125874,0.0439560439560439,0.38568376068376076,3.8461538461538454,0.25961538461538475,0.12980769230769237,0.08653846153846158,0.6153846153846154,0.6153846153846154,0.48076923076923067
#chicanneau,0.8496503496503496,0.03296703296703298,0.32051282051282026,0.25961538461538475,7.538461538461539,1.797008547008547,0.7211538461538459,0.6282051282051281,0.6282051282051281,0.006410256410256401
#la-comtesse,0.11421911421911417,0.4688644688644689,0.002849002849002829,0.12980769230769237,1.797008547008547,15.384615384615381,0.9230769230769231,2.5641025641025634,2.5641025641025634,0.46153846153846156
#isabelle,1.6923076923076923,0.3324175824175825,0.10683760683760682,0.08653846153846158,0.7211538461538459,0.9230769230769231,18.615384615384613,0.15384615384615385,0.15384615384615385,0.3076923076923077
#chicanneau #la-comtesse,0.4230769230769231,0.3956043956043957,1.235042735042735,0.6153846153846154,0.6282051282051281,2.5641025641025634,0.15384615384615385,24.038461538461537,24.038461538461537,0.07692307692307693
#chicanneau #la-comtesse,0.4230769230769231,0.3956043956043957,1.235042735042735,0.6153846153846154,0.6282051282051281,2.5641025641025634,0.15384615384615385,24.038461538461537,24.038461538461537,0.07692307692307693
#le-souffleur,0.027972027972027975,0.005494505494505487,0.13675213675213677,0.48076923076923067,0.006410256410256401,0.46153846153846156,0.3076923076923077,0.07692307692307693,0.07692307692307693,22.153846153846157
Successions,#petit-jean,#l-intime,#dandin,#leandre,#chicanneau,#la-comtesse,#isabelle,#chicanneau #la-comtesse,#chicanneau #la-comtesse #l-intime,#le-souffleur
#petit-jean,0.0,0.16666666666666666,0.13333333333333333,0.23333333333333334,0.21666666666666667,0.06666666666666667,0.0,0.0,0.0,0.18333333333333332
#l-intime,0.11224489795918367,0.01020408163265306,0.22448979591836735,0.19387755102040816,0.22448979591836735,0.030612244897959183,0.1836734693877551,0.01020408163265306,0.01020408163265306,0.0
#dandin,0.1348314606741573,0.29213483146067415,0.0,0.29213483146067415,0.16853932584269662,0.033707865168539325,0.06741573033707865,0.0,0.0,0.011235955056179775
#leandre,0.1414141414141414,0.1919191919191919,0.29292929292929293,0.010101010101010102,0.24242424242424243,0.0707070707070707,0.04040404040404041,0.0,0.0,0.010101010101010102
#chicanneau,0.08130081300813008,0.1951219512195122,0.13821138211382114,0.16260162601626016,0.008130081300813009,0.34146341463414637,0.06504065040650407,0.0,0.008130081300813009,0.0
#la-comtesse,0.06666666666666667,0.016666666666666666,0.05,0.13333333333333333,0.7333333333333333,0.0,0.0,0.0,0.0,0.0
#isabelle,0.0,0.4444444444444444,0.16666666666666666,0.2777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
#chicanneau #la-comtesse,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#chicanneau #la-comtesse #l-intime,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-souffleur,0.7692307692307693,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
