VALEUR,#olympie,#philenie,#ergazile,#haegee,#pseudole,#celie,#tyndare,#philocrate,#crisimant,#arbax,#crisophore,#erimand,#stalagme,#cuisinier
Fréquences (scènes),0.14285714285714285,0.2,0.22857142857142856,0.45714285714285713,0.42857142857142855,0.2,0.2857142857142857,0.2571428571428571,0.08571428571428572,0.02857142857142857,0.11428571428571428,0.08571428571428572,0.05714285714285714,0.02857142857142857
Fréquences(répliques),0.058793456032719835,0.13803680981595093,0.15899795501022496,0.21267893660531698,0.07822085889570553,0.05674846625766871,0.16359918200409,0.058793456032719835,0.03885480572597137,0.0005112474437627812,0.009202453987730062,0.010736196319018405,0.013803680981595092,0.0010224948875255625
Confrontation,0.07207207207207207,0.06306306306306306,0.02252252252252252,0.19369369369369369,0.1036036036036036,0.036036036036036036,0.13063063063063063,0.13513513513513514,0.036036036036036036,0.018018018018018018,0.06756756756756757,0.06756756756756757,0.04504504504504504,0.009009009009009009
Déviations,#olympie,#philenie,#ergazile,#haegee,#pseudole,#celie,#tyndare,#philocrate,#crisimant,#arbax,#crisophore,#erimand,#stalagme,#cuisinier
#olympie,25.714285714285715,4.0,1.1428571428571428,1.285714285714286,2.142857142857143,1.0,0.22857142857142873,2.2857142857142865,0.4285714285714286,0.14285714285714285,0.3214285714285715,5.761904761904761,1.7857142857142858,0.14285714285714285
#philenie,4.0,22.399999999999995,1.5999999999999999,0.4499999999999998,1.3333333333333333,0.257142857142857,0.0,0.022222222222222265,0.6,0.19999999999999998,0.7999999999999999,0.2666666666666667,0.9000000000000004,0.19999999999999998
#ergazile,1.1428571428571428,1.6000000000000003,20.82857142857143,0.03214285714285717,1.7202380952380951,1.6000000000000003,2.2857142857142856,2.057142857142857,0.6857142857142857,0.22857142857142856,0.9142857142857143,0.6857142857142857,0.45714285714285713,0.22857142857142856
#haegee,1.285714285714286,0.4500000000000001,0.03214285714285717,10.314285714285718,0.5029761904761904,1.5125000000000002,0.4464285714285717,2.0240079365079375,1.9339285714285712,0.6446428571428574,2.5785714285714296,1.9339285714285712,1.2892857142857148,0.6446428571428574
#pseudole,2.142857142857143,1.3333333333333333,1.7202380952380951,0.5029761904761904,11.428571428571432,0.3333333333333333,0.11904761904761911,0.19047619047619033,0.3968253968253967,0.7619047619047619,0.29761904761904756,1.2857142857142858,0.8571428571428571,0.42857142857142855
#celie,1.0,0.257142857142857,1.5999999999999999,1.5124999999999997,0.3333333333333333,22.399999999999995,2.0,1.7999999999999998,0.6,0.19999999999999998,0.7999999999999999,0.6,0.39999999999999997,3.200000000000001
#tyndare,0.22857142857142873,0.0,2.2857142857142856,0.4464285714285717,0.11904761904761911,2.0,17.85714285714286,4.571428571428573,1.5238095238095235,1.7857142857142858,0.642857142857143,1.5238095238095235,0.3214285714285715,0.2857142857142857
#philocrate,2.2857142857142865,0.02222222222222221,2.057142857142857,2.0240079365079375,0.19047619047619033,1.8,4.571428571428573,19.314285714285717,0.7714285714285715,0.2571428571428571,8.584126984126986,6.438095238095237,4.292063492063493,0.2571428571428571
#crisimant,0.42857142857142855,0.6000000000000001,0.6857142857142857,1.9339285714285712,0.396825396825397,0.6000000000000001,1.5238095238095237,0.7714285714285714,29.257142857142863,9.752380952380951,0.34285714285714286,0.2571428571428571,0.17142857142857143,0.08571428571428572
