VALEUR,#madame-duru,#le-marquis,#erise,#damis,#damis #erise #le-marquis,#marthe,#monsieur-gripon,#damis #erise,#monsieur-duru
Fréquences (scènes),0.35,0.4,0.3,0.3,0.15,0.3,0.35,0.1,0.6
Fréquences(répliques),0.14595103578154425,0.15065913370998116,0.047080979284369114,0.1120527306967985,0.002824858757062147,0.06685499058380415,0.19397363465160075,0.0018832391713747645,0.2787193973634652
Confrontation,0.13636363636363635,0.14646464646464646,0.13636363636363635,0.13131313131313133,0.08585858585858586,0.1111111111111111,0.09595959595959595,0.0707070707070707,0.08585858585858586
Déviations,#madame-duru,#le-marquis,#erise,#damis,#damis #erise #le-marquis,#marthe,#monsieur-gripon,#damis #erise,#monsieur-duru
#madame-duru,8.450000000000005,3.657142857142856,4.004761904761905,1.719047619047619,3.621428571428571,1.719047619047619,0.0826530612244897,2.4142857142857133,2.4380952380952383
#le-marquis,3.657142857142858,7.199999999999999,5.4,1.0666666666666669,2.7,0.15000000000000005,0.22857142857142848,1.7999999999999998,0.6749999999999999
#erise,4.0047619047619065,5.399999999999998,9.8,2.6888888888888896,4.9,0.8000000000000003,0.004761904761904729,3.2666666666666657,0.7111111111111108
#damis,1.7190476190476198,1.066666666666666,2.6888888888888896,9.8,4.9,0.8000000000000003,1.7190476190476198,3.2666666666666657,0.7111111111111108
#damis #erise #le-marquis,3.6214285714285728,2.699999999999999,4.9,4.9,14.450000000000001,1.3444444444444448,0.0023809523809523647,1.6333333333333329,0.3555555555555554
#marthe,1.7190476190476198,0.1499999999999998,0.8000000000000003,0.8000000000000003,1.3444444444444448,9.8,0.004761904761904729,3.2666666666666657,0.0999999999999999
#monsieur-gripon,0.0826530612244897,0.2285714285714287,0.00476190476190477,1.719047619047619,0.002380952380952385,0.00476190476190477,8.450000000000005,2.4142857142857133,0.00952380952380954
#damis #erise,2.4142857142857146,1.7999999999999998,3.266666666666666,3.266666666666666,1.633333333333333,3.266666666666666,2.4142857142857146,16.2,0.03333333333333332
#monsieur-duru,2.4380952380952374,0.6750000000000004,0.7111111111111108,0.7111111111111108,0.3555555555555554,0.0999999999999999,0.009523809523809459,0.03333333333333339,3.200000000000001
Successions,#madame-duru,#le-marquis,#erise,#damis,#damis #erise #le-marquis,#marthe,#monsieur-gripon,#damis #erise,#monsieur-duru
#madame-duru,0.020833333333333332,0.2708333333333333,0.125,0.125,0.0625,0.041666666666666664,0.16666666666666666,0.0,0.1875
#le-marquis,0.26229508196721313,0.01639344262295082,0.14754098360655737,0.06557377049180328,0.0,0.01639344262295082,0.06557377049180328,0.01639344262295082,0.4098360655737705
#erise,0.12903225806451613,0.3225806451612903,0.0,0.12903225806451613,0.0,0.0,0.06451612903225806,0.0,0.3548387096774194
#damis,0.1276595744680851,0.0,0.10638297872340426,0.0,0.0,0.06382978723404255,0.46808510638297873,0.0,0.23404255319148937
#damis #erise #le-marquis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#marthe,0.03125,0.09375,0.0,0.0,0.0,0.0625,0.25,0.0,0.5625
#monsieur-gripon,0.07228915662650602,0.08433734939759036,0.012048192771084338,0.2891566265060241,0.0,0.07228915662650602,0.0,0.0,0.46987951807228917
#damis #erise #le-marquis,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-duru,0.08620689655172414,0.23275862068965517,0.08620689655172414,0.07758620689655173,0.0,0.15517241379310345,0.33620689655172414,0.008620689655172414,0.017241379310344827
