VALEUR,#iscarie,#isabelle,#artemise,#beatrix,#flanquin,#le-baron,#le-poete,#greval
Fréquences (scènes),0.75,0.75,0.625,0.25,0.375,0.375,0.25,0.125
Fréquences(répliques),0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.0
Confrontation,0.17346938775510204,0.1836734693877551,0.16326530612244897,0.030612244897959183,0.1326530612244898,0.14285714285714285,0.11224489795918367,0.061224489795918366
Déviations,#iscarie,#isabelle,#artemise,#beatrix,#flanquin,#le-baron,#le-poete,#greval
#iscarie,0.5,0.05555555555555555,0.4166666666666667,1.5,0.027777777777777776,0.25,0.16666666666666666,0.08333333333333333
#isabelle,0.05555555555555555,0.5,0.15,0.16666666666666666,0.25,0.25,0.16666666666666666,0.08333333333333333
#artemise,0.4166666666666667,0.15,1.125,1.25,0.008333333333333333,0.675,0.45,0.225
#beatrix,1.5,0.16666666666666666,1.25,4.5,0.08333333333333333,0.75,0.5,0.25
#flanquin,0.027777777777777776,0.25,0.008333333333333333,0.08333333333333333,3.125,0.6805555555555556,2.0833333333333335,1.0416666666666667
#le-baron,0.25,0.25,0.675,0.75,0.6805555555555556,3.125,2.0833333333333335,1.0416666666666667
#le-poete,0.16666666666666666,0.16666666666666666,0.45,0.5,2.0833333333333335,2.0833333333333335,4.5,2.25
#greval,0.08333333333333333,0.08333333333333333,0.225,0.25,1.0416666666666667,1.0416666666666667,2.25,6.125
Successions,#iscarie,#isabelle,#artemise,#beatrix,#flanquin,#le-baron,#le-poete,#greval
#iscarie,0.0,0.09090909090909091,0.3939393939393939,0.0,0.06060606060606061,0.24242424242424243,0.18181818181818182,0.030303030303030304
#isabelle,0.10526315789473684,0.0,0.0,0.42105263157894735,0.3684210526315789,0.10526315789473684,0.0,0.0
#artemise,0.4166666666666667,0.041666666666666664,0.0,0.0,0.041666666666666664,0.2916666666666667,0.20833333333333334,0.0
#beatrix,0.07692307692307693,0.6923076923076923,0.0,0.0,0.23076923076923078,0.0,0.0,0.0
#flanquin,0.0,0.2777777777777778,0.05555555555555555,0.2777777777777778,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.0
#le-baron,0.48148148148148145,0.037037037037037035,0.14814814814814814,0.0,0.037037037037037035,0.0,0.2962962962962963,0.0
#le-poete,0.2727272727272727,0.0,0.22727272727272727,0.0,0.09090909090909091,0.3181818181818182,0.0,0.09090909090909091
#greval,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
