VALEUR,#madame-de-mericourt,#lucette,#nathaniel,#françois,#lucette #françois,#gaston,#gaston #nathaniel,#ensemble,#amelie,#choeur
Fréquences (scènes),0.5,0.5,0.8181818181818182,0.3181818181818182,0.09090909090909091,0.4090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456
Fréquences(répliques),0.1590909090909091,0.11363636363636363,0.48863636363636365,0.0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.011363636363636364,0.045454545454545456
Confrontation,0.1518987341772152,0.18354430379746836,0.23417721518987342,0.13291139240506328,0.056962025316455694,0.12025316455696203,0.02531645569620253,0.03164556962025317,0.03164556962025317,0.03164556962025317
Déviations,#madame-de-mericourt,#lucette,#nathaniel,#françois,#lucette #françois,#gaston,#gaston #nathaniel,#ensemble,#amelie,#choeur
#madame-de-mericourt,5.5,0.045454545454545456,0.0,0.6428571428571429,0.0,0.05555555555555555,0.5,0.5,0.5,0.5
#lucette,0.045454545454545456,5.5,0.1111111111111111,0.6428571428571429,1.0,0.05555555555555555,0.5,0.5,0.5,0.5
#nathaniel,0.0,0.1111111111111111,0.7272727272727267,0.2828282828282827,0.08080808080808076,0.01795735129068468,0.04040404040404038,0.04040404040404038,0.04040404040404038,0.04040404040404038
#françois,0.6428571428571429,0.6428571428571429,0.2828282828282827,10.22727272727273,2.9220779220779227,0.2604617604617605,0.3181818181818182,1.4610389610389614,1.4610389610389614,1.4610389610389614
#lucette #françois,0.0,1.0,0.08080808080808076,2.9220779220779227,18.18181818181818,0.8181818181818182,0.09090909090909091,9.09090909090909,9.09090909090909,0.09090909090909091
#gaston,0.05555555555555555,0.05555555555555555,0.01795735129068468,0.2604617604617605,0.8181818181818182,7.681818181818182,0.8535353535353533,0.4090909090909091,0.4090909090909091,0.8535353535353533
#gaston #nathaniel,0.5,0.5,0.04040404040404038,0.3181818181818182,0.09090909090909091,0.8535353535353533,20.045454545454547,0.045454545454545456,0.045454545454545456,0.045454545454545456
#ensemble,0.5,0.5,0.04040404040404038,1.4610389610389614,9.09090909090909,0.4090909090909091,0.045454545454545456,20.045454545454547,20.045454545454547,0.045454545454545456
#ensemble,0.5,0.5,0.04040404040404038,1.4610389610389614,9.09090909090909,0.4090909090909091,0.045454545454545456,20.045454545454547,20.045454545454547,0.045454545454545456
#choeur,0.5,0.5,0.04040404040404038,1.4610389610389614,0.09090909090909091,0.8535353535353533,0.045454545454545456,0.045454545454545456,0.045454545454545456,20.045454545454547
Successions,#madame-de-mericourt,#lucette,#nathaniel,#françois,#lucette #françois,#gaston,#gaston #nathaniel,#ensemble,#amelie,#choeur
#madame-de-mericourt,0.007936507936507936,0.16666666666666666,0.7063492063492064,0.0,0.007936507936507936,0.1111111111111111,0.0,0.0,0.0,0.0
#lucette,0.42592592592592593,0.0,0.4074074074074074,0.09259259259259259,0.0,0.07407407407407407,0.0,0.0,0.0,0.0
#nathaniel,0.5254237288135594,0.11864406779661017,0.005649717514124294,0.1016949152542373,0.005649717514124294,0.23728813559322035,0.0,0.0,0.0,0.005649717514124294
#françois,0.0,0.2,0.76,0.0,0.0,0.04,0.0,0.0,0.0,0.0
#lucette #françois,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
#gaston,0.14754098360655737,0.11475409836065574,0.7049180327868853,0.01639344262295082,0.0,0.0,0.01639344262295082,0.0,0.0,0.0
#gaston #nathaniel,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#amelie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#choeur,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
