VALEUR,#diane,#une-dryade,#un-sylvain,#le-choeur,#l-abondance,#comus,#diane #l-abondance #comus,#apollon,#acis,#teleme,#acis #teleme,#galatee,#scylla,#tircis #aminte,#tircis,#aminte,#polipheme,#le-pretre,#neptune,#choeur-de-divinites,#acis #galatee,#une-naïade,#deux-naïades
Fréquences (scènes),0.03571428571428571,0.03571428571428571,0.03571428571428571,0.2857142857142857,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.39285714285714285,0.10714285714285714,0.07142857142857142,0.4642857142857143,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.2857142857142857,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
Fréquences(répliques),0.01607717041800643,0.006430868167202572,0.008038585209003215,0.09967845659163987,0.008038585209003215,0.022508038585209004,0.003215434083601286,0.03536977491961415,0.1639871382636656,0.06752411575562701,0.006430868167202572,0.2379421221864952,0.04501607717041801,0.00964630225080386,0.006430868167202572,0.017684887459807074,0.1527331189710611,0.02572347266881029,0.03536977491961415,0.003215434083601286,0.003215434083601286,0.01929260450160772,0.006430868167202572
Confrontation,0.018292682926829267,0.018292682926829267,0.018292682926829267,0.13414634146341464,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.12804878048780488,0.054878048780487805,0.036585365853658534,0.13414634146341464,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.036585365853658534,0.006097560975609756,0.04878048780487805,0.012195121951219513,0.036585365853658534,0.036585365853658534,0.036585365853658534
Déviations,#diane,#une-dryade,#un-sylvain,#le-choeur,#l-abondance,#comus,#diane #l-abondance #comus,#apollon,#acis,#teleme,#acis #teleme,#galatee,#scylla,#tircis #aminte,#tircis,#aminte,#polipheme,#le-pretre,#neptune,#choeur-de-divinites,#acis #galatee,#une-naïade,#deux-naïades
#diane,26.03571428571429,26.03571428571429,26.03571428571429,1.7857142857142858,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.39285714285714285,0.10714285714285714,0.07142857142857142,0.4642857142857143,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.2857142857142857,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#diane,26.03571428571429,26.03571428571429,26.03571428571429,1.7857142857142858,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.39285714285714285,0.10714285714285714,0.07142857142857142,0.4642857142857143,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.2857142857142857,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#diane,26.03571428571429,26.03571428571429,26.03571428571429,1.7857142857142858,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.39285714285714285,0.10714285714285714,0.07142857142857142,0.4642857142857143,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.2857142857142857,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#le-choeur,1.7857142857142858,1.7857142857142858,1.7857142857142858,14.285714285714286,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.461038961038961,0.8571428571428571,0.5714285714285714,1.9835164835164836,0.017857142857142842,1.7857142857142858,1.7857142857142858,1.7857142857142858,0.035714285714285685,0.3214285714285715,1.5238095238095237,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858
#l-abondance,0.03571428571428571,0.03571428571428571,0.03571428571428571,1.7857142857142858,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,0.39285714285714285,0.10714285714285714,0.07142857142857142,0.4642857142857143,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.2857142857142857,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#l-abondance,0.03571428571428571,0.03571428571428571,0.03571428571428571,1.7857142857142858,26.03571428571429,26.03571428571429,26.03571428571429,26.03571428571429,0.39285714285714285,0.10714285714285714,0.07142857142857142,0.4642857142857143,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.2857142857142857,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
