VALEUR,#choeur-de-musique,#parthenice,#floridan,#amintor,#dorice,#celinde,#le-page,#lucidor,#philindre,#choeur,#akior,#charmy,#gothomel,#holoferne,#moab,#judith,#abra,#osias,#l-eunuque,#prevot,#fleurimon,#alcandre
Fréquences (scènes),0.03333333333333333,0.23333333333333334,0.23333333333333334,0.3,0.3,0.36666666666666664,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.2,0.06666666666666667,0.13333333333333333,0.1,0.03333333333333333,0.1,0.03333333333333333,0.16666666666666666,0.1
Fréquences(répliques),0.041916167664670656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029940119760479042,0.0,0.10479041916167664,0.02694610778443114,0.020958083832335328,0.3023952095808383,0.06287425149700598,0.23652694610778444,0.08982035928143713,0.04491017964071856,0.038922155688622756,0.0,0.0,0.0
Confrontation,0.006369426751592357,0.0732484076433121,0.09872611464968153,0.10828025477707007,0.10828025477707007,0.1178343949044586,0.025477707006369428,0.10828025477707007,0.022292993630573247,0.01910828025477707,0.006369426751592357,0.006369426751592357,0.006369426751592357,0.03184713375796178,0.025477707006369428,0.050955414012738856,0.03821656050955414,0.006369426751592357,0.03503184713375796,0.028662420382165606,0.03821656050955414,0.03821656050955414
Déviations,#choeur-de-musique,#parthenice,#floridan,#amintor,#dorice,#celinde,#le-page,#lucidor,#philindre,#choeur,#akior,#charmy,#gothomel,#holoferne,#moab,#judith,#abra,#osias,#l-eunuque,#prevot,#fleurimon,#alcandre
#choeur-de-musique,28.03333333333333,2.519047619047619,2.519047619047619,0.3,0.3,0.36666666666666664,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.20000000000000004,0.06666666666666667,0.13333333333333333,0.10000000000000002,0.03333333333333333,0.10000000000000002,0.03333333333333333,0.16666666666666666,0.10000000000000002
#parthenice,2.519047619047619,17.633333333333336,6.939455782312926,0.00476190476190477,0.00476190476190477,0.8004329004329007,0.6095238095238095,0.1904761904761907,1.1666666666666665,0.4666666666666667,0.4666666666666667,0.23333333333333334,0.23333333333333334,1.4000000000000001,0.4666666666666667,0.00476190476190476,0.1285714285714285,0.23333333333333334,0.1285714285714285,2.519047619047619,0.02380952380952377,0.7000000000000001
#floridan,2.519047619047619,6.939455782312926,17.633333333333336,0.3857142857142856,0.3857142857142856,2.3069264069264075,0.6095238095238095,3.047619047619049,1.1666666666666665,0.4666666666666667,0.4666666666666667,0.23333333333333334,0.23333333333333334,1.4000000000000001,0.4666666666666667,0.00476190476190476,0.1285714285714285,0.23333333333333334,0.1285714285714285,2.519047619047619,0.5952380952380955,2.4142857142857133
#amintor,0.3,0.00476190476190477,0.3857142857142856,14.700000000000006,4.033333333333335,0.14848484848484858,3.266666666666666,0.0,0.16666666666666666,3.266666666666666,0.6,0.3,0.3,0.02222222222222221,3.266666666666666,0.5333333333333334,0.011111111111111105,0.3,0.011111111111111105,1.633333333333333,0.16666666666666666,0.011111111111111105
#dorice,0.3,0.00476190476190477,0.3857142857142856,4.033333333333335,14.700000000000006,0.14848484848484858,0.2666666666666667,0.0,1.5,3.266666666666666,0.6,0.3,0.3,0.02222222222222221,3.266666666666666,0.5333333333333334,0.011111111111111105,0.3,0.011111111111111105,1.633333333333333,0.16666666666666666,1.3444444444444446
#celinde,0.36666666666666664,0.8004329004329,2.3069264069264066,0.14848484848484858,0.14848484848484858,12.033333333333335,2.187878787878788,7.75757575757576,0.37878787878787873,0.7333333333333333,0.7333333333333333,0.36666666666666664,0.36666666666666664,2.2,0.7333333333333333,0.14848484848484844,0.009090909090909106,0.36666666666666664,0.009090909090909106,1.093939393939394,0.37878787878787873,3.2818181818181813
#le-page,0.06666666666666667,0.6095238095238095,0.6095238095238095,3.266666666666666,0.2666666666666667,2.187878787878788,26.133333333333336,0.1666666666666667,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.4000000000000001,0.13333333333333333,0.26666666666666666,0.20000000000000004,0.06666666666666667,0.20000000000000004,0.06666666666666667,0.3333333333333333,0.20000000000000004
#lucidor,0.3333333333333333,0.19047619047619038,3.0476190476190474,0.0,0.0,7.75757575757576,0.1666666666666667,13.333333333333336,0.06666666666666674,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,0.0833333333333333,0.0,0.3333333333333333,0.0,1.3333333333333337,0.26666666666666655,4.0
#philindre,0.16666666666666666,1.1666666666666667,1.1666666666666667,0.16666666666666666,1.5,0.37878787878787873,0.3333333333333333,0.06666666666666674,20.83333333333334,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666,0.5,0.16666666666666666,5.6333333333333355,0.5
#choeur,0.06666666666666667,0.4666666666666667,0.4666666666666667,3.266666666666666,3.266666666666666,0.7333333333333333,0.13333333333333333,0.6666666666666666,0.3333333333333333,26.133333333333336,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.8999999999999999,5.633333333333334,0.26666666666666666,0.20000000000000004,0.06666666666666667,0.20000000000000004,0.06666666666666667,0.3333333333333333,0.20000000000000004
#akior,0.06666666666666667,0.4666666666666667,0.4666666666666667,0.6,0.6,0.7333333333333333,0.13333333333333333,0.6666666666666666,0.3333333333333333,0.13333333333333333,26.133333333333336,13.066666666666668,13.066666666666668,0.4000000000000001,0.13333333333333333,0.26666666666666666,0.20000000000000004,0.06666666666666667,0.20000000000000004,0.06666666666666667,0.3333333333333333,0.20000000000000004
#charmy,0.03333333333333333,0.23333333333333334,0.23333333333333334,0.3,0.3,0.36666666666666664,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.06666666666666667,13.066666666666668,28.03333333333333,28.03333333333333,0.20000000000000004,0.06666666666666667,0.13333333333333333,0.10000000000000002,0.03333333333333333,0.10000000000000002,0.03333333333333333,0.16666666666666666,0.10000000000000002
#charmy,0.03333333333333333,0.23333333333333334,0.23333333333333334,0.3,0.3,0.36666666666666664,0.06666666666666667,0.3333333333333333,0.16666666666666666,0.06666666666666667,13.066666666666668,28.03333333333333,28.03333333333333,0.20000000000000004,0.06666666666666667,0.13333333333333333,0.10000000000000002,0.03333333333333333,0.10000000000000002,0.03333333333333333,0.16666666666666666,0.10000000000000002
