VALEUR,#hermodan,#indatire,#sozame,#le-scythe,#sulma,#obeide,#athamare,#hircan,#un-scythe
Fréquences (scènes),0.5185185185185185,0.2962962962962963,0.5555555555555556,0.18518518518518517,0.2222222222222222,0.48148148148148145,0.2962962962962963,0.1111111111111111,0.037037037037037035
Fréquences(répliques),0.11132561132561132,0.14543114543114544,0.16473616473616473,0.02702702702702703,0.05727155727155727,0.23552123552123552,0.20270270270270271,0.0546975546975547,0.001287001287001287
Confrontation,0.20121951219512196,0.09146341463414634,0.2073170731707317,0.10365853658536585,0.09146341463414634,0.15853658536585366,0.09146341463414634,0.018292682926829267,0.036585365853658534
Déviations,#hermodan,#indatire,#sozame,#le-scythe,#sulma,#obeide,#athamare,#hircan,#un-scythe
#hermodan,6.259259259259261,0.17493386243386255,2.292063492063491,2.2354497354497354,0.3968253968253966,0.4495319495319494,0.3177910052910052,1.5555555555555551,0.44708994708994715
#indatire,0.17493386243386255,13.370370370370372,0.04444444444444448,0.15648148148148142,0.027777777777777804,0.8903133903133902,0.7922453703703702,0.8888888888888888,0.2962962962962963
#sozame,2.2920634920634924,0.04444444444444448,5.333333333333332,1.7777777777777781,0.5333333333333331,0.00683760683760679,0.4694444444444445,1.6666666666666665,0.3555555555555555
#le-scythe,2.2354497354497354,0.15648148148148142,1.7777777777777781,17.92592592592593,0.01111111111111112,0.14586894586894586,0.15648148148148142,0.5555555555555556,3.5851851851851864
#sulma,0.3968253968253966,0.027777777777777804,0.5333333333333334,0.01111111111111112,16.33333333333334,3.3504273504273505,0.3402777777777777,0.6666666666666666,2.7222222222222223
#obeide,0.4495319495319494,0.8903133903133902,0.006837606837606844,0.14586894586894586,3.3504273504273505,7.259259259259261,0.8903133903133902,1.4444444444444444,0.5584045584045586
#athamare,0.3177910052910052,0.7922453703703702,0.4694444444444445,0.15648148148148142,0.3402777777777777,0.8903133903133902,13.370370370370372,5.013888888888889,1.6712962962962965
#hircan,1.5555555555555551,0.8888888888888888,1.6666666666666667,0.5555555555555556,0.6666666666666666,1.4444444444444444,5.013888888888889,21.333333333333332,0.1111111111111111
#un-scythe,0.44708994708994715,0.2962962962962963,0.3555555555555555,3.5851851851851864,2.7222222222222223,0.5584045584045586,1.6712962962962965,0.1111111111111111,25.03703703703704
Successions,#hermodan,#indatire,#sozame,#le-scythe,#sulma,#obeide,#athamare,#hircan,#un-scythe
#hermodan,0.0,0.09803921568627451,0.45098039215686275,0.13725490196078433,0.0,0.21568627450980393,0.09803921568627451,0.0,0.0
#indatire,0.25806451612903225,0.0,0.12903225806451613,0.03225806451612903,0.06451612903225806,0.16129032258064516,0.3548387096774194,0.0,0.0
#sozame,0.39622641509433965,0.09433962264150944,0.0,0.018867924528301886,0.0,0.39622641509433965,0.09433962264150944,0.0,0.0
#le-scythe,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0
#sulma,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.0,0.0,0.8571428571428571,0.0,0.0,0.0
#obeide,0.10465116279069768,0.08139534883720931,0.20930232558139536,0.046511627906976744,0.29069767441860467,0.03488372093023256,0.22093023255813954,0.0,0.011627906976744186
#athamare,0.07575757575757576,0.16666666666666666,0.06060606060606061,0.0,0.015151515151515152,0.30303030303030304,0.045454545454545456,0.3333333333333333,0.0
#hircan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#un-scythe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
