VALEUR,#atree,#eusysthene,#plisthene,#thessandre,#theodamie,#leonide,#thyeste,#alcimedon
Fréquences (scènes),0.6111111111111112,0.05555555555555555,0.4722222222222222,0.1111111111111111,0.2222222222222222,0.027777777777777776,0.3055555555555556,0.027777777777777776
Fréquences(répliques),0.43653846153846154,0.013461538461538462,0.2467948717948718,0.016666666666666666,0.09230769230769231,0.0038461538461538464,0.18653846153846154,0.0038461538461538464
Confrontation,0.2702702702702703,0.02702702702702703,0.22972972972972974,0.06756756756756757,0.16216216216216217,0.013513513513513514,0.21621621621621623,0.013513513513513514
Déviations,#atree,#eusysthene,#plisthene,#thessandre,#theodamie,#leonide,#thyeste,#alcimedon
#atree,5.444444444444442,0.4949494949494952,1.854129530600119,2.444444444444444,0.16161616161616144,0.611111111111111,0.011478420569329578,0.2474747474747476
#eusysthene,0.49494949494949475,32.111111111111114,0.9444444444444444,0.2222222222222222,0.4444444444444444,0.05555555555555555,0.6111111111111112,0.05555555555555555
#plisthene,1.854129530600119,0.9444444444444444,10.027777777777782,2.3594771241830066,0.16013071895424832,0.4722222222222222,0.27465834818776,0.4722222222222222
#thessandre,2.4444444444444446,0.2222222222222222,2.3594771241830066,28.444444444444443,0.8888888888888888,0.1111111111111111,0.040404040404040435,0.1111111111111111
#theodamie,0.16161616161616174,0.4444444444444444,0.16013071895424832,0.8888888888888888,21.77777777777778,2.7222222222222223,0.9898989898989895,0.2222222222222222
#leonide,0.6111111111111112,0.05555555555555555,0.4722222222222222,0.1111111111111111,2.7222222222222223,34.02777777777778,0.3055555555555556,0.027777777777777776
#thyeste,0.011478420569329578,0.611111111111111,0.27465834818776,0.04040404040404036,0.9898989898989904,0.3055555555555555,17.361111111111104,0.3055555555555555
#alcimedon,0.24747474747474738,0.05555555555555555,0.4722222222222222,0.1111111111111111,0.2222222222222222,0.027777777777777776,0.3055555555555556,34.02777777777778
Successions,#atree,#eusysthene,#plisthene,#thessandre,#theodamie,#leonide,#thyeste,#alcimedon
#atree,0.18571428571428572,0.08571428571428572,0.32857142857142857,0.0,0.11428571428571428,0.0,0.2714285714285714,0.014285714285714285
#eusysthene,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#plisthene,0.4166666666666667,0.0,0.125,0.16666666666666666,0.08333333333333333,0.0,0.20833333333333334,0.0
#thessandre,0.125,0.0,0.875,0.0,0.0,0.0,0.0,0.0
#theodamie,0.38095238095238093,0.0,0.23809523809523808,0.0,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.0
#leonide,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#thyeste,0.5945945945945946,0.0,0.1891891891891892,0.0,0.1891891891891892,0.0,0.02702702702702703,0.0
#alcimedon,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
