VALEUR,#periandre,#dorinde,#hylas,#florice,#alcandre,#le-page,#stelle,#corylas,#adamas
Fréquences (scènes),0.5172413793103449,0.4827586206896552,0.6206896551724138,0.27586206896551724,0.06896551724137931,0.034482758620689655,0.2413793103448276,0.1724137931034483,0.06896551724137931
Fréquences(répliques),0.1903731746890211,0.1476473769605192,0.4445646295294754,0.06598161168199027,0.018929150892374257,0.0016224986479177934,0.04542996214169821,0.053542455381287185,0.0319091400757166
Confrontation,0.19594594594594594,0.18243243243243243,0.22972972972972974,0.08783783783783784,0.013513513513513514,0.013513513513513514,0.14189189189189189,0.10135135135135136,0.033783783783783786
Déviations,#periandre,#dorinde,#hylas,#florice,#alcandre,#le-page,#stelle,#corylas,#adamas
#periandre,6.75862068965517,0.07947454844006534,0.05108556832694744,1.1045977011494255,1.0344827586206897,0.5172413793103449,0.5254515599343178,0.06620689655172396,0.0011494252873563264
#dorinde,0.07947454844006552,7.758620689655173,0.05473453749315826,0.0049261083743842565,0.9655172413793103,0.5541871921182268,0.0425756509500352,0.07093596059113298,0.0012315270935960641
#hylas,0.05108556832694744,0.05473453749315826,4.172413793103448,0.18773946360153262,1.2413793103448276,0.23180076628352486,0.630541871921182,0.25900383141762423,0.046934865900383156
#florice,1.1045977011494255,0.004926108374384224,0.18773946360153262,15.20689655172414,3.801724137931035,0.27586206896551724,0.44889162561576357,1.3793103448275863,0.5517241379310345
#alcandre,1.0344827586206897,0.9655172413793104,1.2413793103448276,3.801724137931035,25.137931034482758,0.06896551724137931,0.4827586206896552,0.3448275862068966,0.13793103448275862
#le-page,0.5172413793103449,0.5541871921182264,0.23180076628352486,0.27586206896551724,0.06896551724137931,27.034482758620694,0.2413793103448276,0.1724137931034483,0.06896551724137931
#stelle,0.5254515599343182,0.0425756509500352,0.630541871921182,0.44889162561576346,0.48275862068965514,0.24137931034482757,16.68965517241379,11.921182266009852,0.5541871921182268
#corylas,0.06620689655172411,0.07093596059113298,0.25900383141762456,1.3793103448275863,0.3448275862068966,0.1724137931034483,11.921182266009852,19.862068965517242,1.2448275862068965
#adamas,0.0011494252873563264,0.001231527093596056,0.046934865900383156,0.5517241379310345,0.13793103448275862,0.06896551724137931,0.5541871921182264,1.2448275862068965,25.137931034482758
Successions,#periandre,#dorinde,#hylas,#florice,#alcandre,#le-page,#stelle,#corylas,#adamas
#periandre,0.009174311926605505,0.29357798165137616,0.5596330275229358,0.009174311926605505,0.009174311926605505,0.0,0.08256880733944955,0.03669724770642202,0.0
#dorinde,0.272,0.008,0.56,0.12,0.0,0.0,0.016,0.008,0.016
#hylas,0.2914798206278027,0.3273542600896861,0.013452914798206279,0.08071748878923767,0.0,0.008968609865470852,0.11659192825112108,0.12556053811659193,0.03587443946188341
#florice,0.02631578947368421,0.39473684210526316,0.5,0.0,0.07894736842105263,0.0,0.0,0.0,0.0
#alcandre,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-page,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#stelle,0.06451612903225806,0.016129032258064516,0.5161290322580645,0.0,0.0,0.0,0.0,0.4032258064516129,0.0
#corylas,0.0847457627118644,0.03389830508474576,0.4067796610169492,0.0,0.0,0.0,0.423728813559322,0.0,0.05084745762711865
#adamas,0.0,0.07692307692307693,0.8461538461538461,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
