VALEUR,#philoxene,#helene,#cleone,#un-huissier,#phalante,#aminte,#timandre,#arbante,#cleomede,#arate
Fréquences (scènes),0.375,0.5416666666666666,0.16666666666666666,0.041666666666666664,0.5416666666666666,0.125,0.20833333333333334,0.25,0.25,0.08333333333333333
Fréquences(répliques),0.16964285714285715,0.29520089285714285,0.020647321428571428,0.0005580357142857143,0.3833705357142857,0.005580357142857143,0.06473214285714286,0.013950892857142858,0.025669642857142856,0.020647321428571428
Confrontation,0.125,0.1796875,0.078125,0.0234375,0.171875,0.0390625,0.09375,0.1171875,0.1328125,0.0390625
Déviations,#philoxene,#helene,#cleone,#un-huissier,#phalante,#aminte,#timandre,#arbante,#cleomede,#arate
#philoxene,9.375,0.7211538461538461,0.16666666666666666,1.0416666666666667,0.15705128205128205,0.013888888888888888,0.008333333333333333,0.027777777777777776,0.6944444444444444,0.75
#helene,0.7211538461538461,5.041666666666669,0.32051282051282065,0.3878205128205129,0.591962524654832,0.08653846153846154,0.1852564102564103,1.5576923076923077,0.17307692307692307,0.7756410256410258
#cleone,0.16666666666666666,0.32051282051282065,16.66666666666667,4.166666666666668,0.012820512820512798,0.5,0.8333333333333334,0.0,0.0,0.3333333333333333
#un-huissier,1.0416666666666667,0.3878205128205129,4.166666666666668,22.04166666666667,0.5416666666666666,0.125,0.20833333333333334,0.25,0.25,0.08333333333333333
#phalante,0.15705128205128205,0.591962524654832,0.012820512820512798,0.5416666666666666,5.041666666666669,0.2403846153846154,0.1852564102564103,0.9423076923076923,0.019230769230769232,1.0833333333333333
#aminte,0.013888888888888888,0.08653846153846154,0.5,0.125,0.2403846153846154,18.375,0.625,0.08333333333333333,0.75,0.25
#timandre,0.008333333333333333,0.18525641025641013,0.8333333333333333,0.20833333333333331,0.18525641025641013,0.625,15.041666666666663,0.45,2.45,0.8166666666666669
#arbante,0.027777777777777776,1.5576923076923077,0.0,0.25,0.9423076923076923,0.08333333333333333,0.45,13.5,1.5,0.5
#cleomede,0.6944444444444444,0.17307692307692307,0.0,0.25,0.019230769230769232,0.75,2.45,1.5,13.5,4.5
#arate,0.75,0.7756410256410258,0.3333333333333333,0.08333333333333333,1.0833333333333333,0.25,0.8166666666666664,0.5,4.5,20.166666666666664
Successions,#philoxene,#helene,#cleone,#un-huissier,#phalante,#aminte,#timandre,#arbante,#cleomede,#arate
#philoxene,0.0,0.2777777777777778,0.1388888888888889,0.0,0.4722222222222222,0.027777777777777776,0.05555555555555555,0.0,0.027777777777777776,0.0
#helene,0.16666666666666666,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.5925925925925926,0.018518518518518517,0.09259259259259259,0.018518518518518517,0.05555555555555555,0.0
#cleone,0.5555555555555556,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
#un-huissier,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#phalante,0.2786885245901639,0.47540983606557374,0.01639344262295082,0.0,0.03278688524590164,0.04918032786885246,0.04918032786885246,0.06557377049180328,0.01639344262295082,0.01639344262295082
#aminte,0.2,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
#timandre,0.23076923076923078,0.38461538461538464,0.0,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693
#arbante,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
#cleomede,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111
#arate,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
