VALEUR,#arlequin,#cassandre,#gilles,#colombine,#cassandre #colombine,#gilles #colombine #cassandre,#gilles #colombine,#cassandre #gilles
Fréquences (scènes),0.42105263157894735,0.5263157894736842,0.6842105263157895,0.3684210526315789,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
Fréquences(répliques),0.37209302325581395,0.18604651162790697,0.17275747508305647,0.22259136212624583,0.0,0.04318936877076412,0.0033222591362126247,0.0
Confrontation,0.13636363636363635,0.22727272727272727,0.23863636363636365,0.18181818181818182,0.056818181818181816,0.056818181818181816,0.056818181818181816,0.045454545454545456
Déviations,#arlequin,#cassandre,#gilles,#colombine,#cassandre #colombine,#gilles #colombine #cassandre,#gilles #colombine,#cassandre #gilles
#arlequin,6.36842105263158,0.010526315789473661,0.04099190283400812,0.3045112781954886,0.42105263157894735,0.42105263157894735,0.42105263157894735,0.7960526315789475
#cassandre,0.010526315789473661,4.263157894736843,0.0036437246963562774,0.4699248120300753,0.42631578947368426,0.42631578947368426,0.42631578947368426,0.42631578947368426
#gilles,0.04099190283400798,0.0036437246963562774,1.8947368421052624,0.009253903990746156,0.1457489878542511,0.1457489878542511,0.1457489878542511,0.1457489878542511
#colombine,0.3045112781954886,0.4699248120300753,0.009253903990746075,7.57894736842105,1.0827067669172932,1.0827067669172932,1.0827067669172932,1.0827067669172932
#cassandre #colombine,0.42105263157894735,0.42631578947368426,0.145748987854251,1.0827067669172932,17.05263157894737,17.05263157894737,17.05263157894737,0.05263157894736842
#cassandre #colombine,0.42105263157894735,0.42631578947368426,0.145748987854251,1.0827067669172932,17.05263157894737,17.05263157894737,17.05263157894737,0.05263157894736842
#cassandre #colombine,0.42105263157894735,0.42631578947368426,0.145748987854251,1.0827067669172932,17.05263157894737,17.05263157894737,17.05263157894737,0.05263157894736842
#cassandre #gilles,0.7960526315789475,0.42631578947368426,0.145748987854251,1.0827067669172932,0.05263157894736842,0.05263157894736842,0.05263157894736842,17.05263157894737
Successions,#arlequin,#cassandre,#gilles,#colombine,#cassandre #colombine,#gilles #colombine #cassandre,#gilles #colombine,#cassandre #gilles
#arlequin,0.0,0.35294117647058826,0.5882352941176471,0.058823529411764705,0.0,0.0,0.0,0.0
#cassandre,0.1511627906976744,0.011627906976744186,0.5116279069767442,0.29069767441860467,0.0,0.03488372093023256,0.0,0.0
#gilles,0.2909090909090909,0.38181818181818183,0.00909090909090909,0.3,0.00909090909090909,0.00909090909090909,0.0,0.0
#colombine,0.09523809523809523,0.36507936507936506,0.5238095238095238,0.0,0.0,0.0,0.0,0.015873015873015872
#cassandre #colombine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#gilles #colombine #cassandre,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0
#gilles #colombine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#cassandre #gilles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
