VALEUR,#oronte,#agamemnon,#menelas,#ulysse,#achille,#clytemnestre,#iphigenie,#phenice,#clytie
Fréquences (scènes),0.11538461538461539,0.5384615384615384,0.19230769230769232,0.11538461538461539,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.038461538461538464,0.07692307692307693
Fréquences(répliques),0.09766763848396501,0.2755102040816326,0.08527696793002916,0.07871720116618076,0.16107871720116618,0.16763848396501457,0.1260932944606414,0.0014577259475218659,0.006559766763848397
Confrontation,0.07352941176470588,0.25,0.058823529411764705,0.058823529411764705,0.08823529411764706,0.25,0.16176470588235295,0.014705882352941176,0.04411764705882353
Déviations,#oronte,#agamemnon,#menelas,#ulysse,#achille,#clytemnestre,#iphigenie,#phenice,#clytie
#oronte,20.346153846153843,0.09157509157509156,0.576923076923077,0.34615384615384615,0.13675213675213677,0.27350427350427353,0.9230769230769231,0.11538461538461539,0.23076923076923078
#agamemnon,0.09157509157509156,5.538461538461539,0.035164835164835116,0.23443223443223446,1.5402930402930401,0.03296703296703298,0.39697802197802234,0.5384615384615385,0.0054945054945055175
#menelas,0.576923076923077,0.03516483516483523,16.96153846153846,0.3102564102564101,1.153846153846154,2.307692307692308,1.5384615384615385,0.19230769230769232,0.38461538461538464
#ulysse,0.34615384615384615,0.23443223443223446,0.3102564102564101,20.346153846153843,0.13675213675213677,0.10683760683760682,0.9230769230769231,0.11538461538461539,0.23076923076923078
#achille,0.13675213675213677,1.5402930402930401,1.153846153846154,0.13675213675213677,15.384615384615381,0.21367521367521364,0.38782051282051294,0.23076923076923078,0.46153846153846156
#clytemnestre,0.27350427350427353,0.03296703296703298,2.307692307692308,0.10683760683760682,0.21367521367521364,7.538461538461539,0.46314102564102544,0.6282051282051281,0.9230769230769231
#iphigenie,0.9230769230769231,0.39697802197802184,1.5384615384615385,0.9230769230769231,0.38782051282051294,0.46314102564102544,12.46153846153846,0.3076923076923077,3.115384615384615
#phenice,0.11538461538461539,0.5384615384615384,0.19230769230769232,0.11538461538461539,0.23076923076923078,0.6282051282051281,0.3076923076923077,24.038461538461537,0.07692307692307693
#clytie,0.23076923076923078,0.005494505494505487,0.38461538461538464,0.23076923076923078,0.46153846153846156,0.9230769230769231,3.115384615384615,0.07692307692307693,22.153846153846157
Successions,#oronte,#agamemnon,#menelas,#ulysse,#achille,#clytemnestre,#iphigenie,#phenice,#clytie
#oronte,0.0,0.5625,0.0,0.0,0.0625,0.375,0.0,0.0,0.0
#agamemnon,0.14516129032258066,0.016129032258064516,0.1935483870967742,0.0,0.12903225806451613,0.3709677419354839,0.12903225806451613,0.0,0.016129032258064516
#menelas,0.0,0.7222222222222222,0.05555555555555555,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
#ulysse,0.0,0.09090909090909091,0.45454545454545453,0.0,0.45454545454545453,0.0,0.0,0.0,0.0
#achille,0.027777777777777776,0.19444444444444445,0.0,0.16666666666666666,0.027777777777777776,0.2777777777777778,0.3055555555555556,0.0,0.0
#clytemnestre,0.1320754716981132,0.41509433962264153,0.0,0.018867924528301886,0.20754716981132076,0.018867924528301886,0.16981132075471697,0.03773584905660377,0.0
#iphigenie,0.0,0.25,0.0,0.0,0.3125,0.3125,0.0,0.0,0.125
#phenice,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#clytie,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0
