VALEUR,#la-comtesse,#jasmin,#le-cocher,#finette,#madame-bertrand,#nicolas,#marotte,#bertrand,#lolive,#la-fleur,#madame-simonneau,#monsieur-grimaudin,#madame-du-rollet,#dorante,#monsieur-simonneau,#dorante #monsieur-grimaudin,#monsieur-du-rollet,#le-chevalier,#ganivet,#la-mariee,#la-mere,#les-filles-de-la-noce,#le-marie,#les-mitrons #les-mitronnes,#les-mitrons,#tous-les-acteurs-et-actrices,#le-chœur,#tous-les-acteurs
Fréquences (scènes),0.2631578947368421,0.02631578947368421,0.07894736842105263,0.23684210526315788,0.5789473684210527,0.13157894736842105,0.13157894736842105,0.47368421052631576,0.15789473684210525,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.15789473684210525,0.02631578947368421,0.07894736842105263,0.23684210526315788,0.10526315789473684,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
Fréquences(répliques),0.0,0.0,0.1095890410958904,0.0,0.0,0.0,0.0,0.0,0.2328767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273972602739726,0.0,0.0273972602739726,0.1917808219178082,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0547945205479452,0.0273972602739726
Confrontation,0.06220095693779904,0.0023923444976076554,0.03349282296650718,0.0645933014354067,0.10526315789473684,0.02631578947368421,0.019138755980861243,0.11483253588516747,0.05502392344497608,0.004784688995215311,0.03588516746411483,0.03110047846889952,0.03588516746411483,0.03110047846889952,0.05502392344497608,0.01674641148325359,0.019138755980861243,0.050239234449760764,0.04066985645933014,0.03349282296650718,0.011961722488038277,0.0215311004784689,0.0215311004784689,0.0215311004784689,0.0215311004784689,0.0215311004784689,0.0215311004784689,0.0215311004784689
Déviations,#la-comtesse,#jasmin,#le-cocher,#finette,#madame-bertrand,#nicolas,#marotte,#bertrand,#lolive,#la-fleur,#madame-simonneau,#monsieur-grimaudin,#madame-du-rollet,#dorante,#monsieur-simonneau,#dorante #monsieur-grimaudin,#monsieur-du-rollet,#le-chevalier,#ganivet,#la-mariee,#la-mere,#les-filles-de-la-noce,#le-marie,#les-mitrons #les-mitronnes,#les-mitrons,#tous-les-acteurs-et-actrices,#le-chœur,#tous-les-acteurs
#la-comtesse,20.63157894736842,2.0631578947368427,1.856140350877193,13.390643274853803,2.4803827751196175,0.07578947368421048,0.07578947368421048,1.581286549707602,0.212280701754386,0.2631578947368421,0.7894736842105263,0.5263157894736842,0.7894736842105263,0.5263157894736842,1.5789473684210527,0.2631578947368421,0.7894736842105263,2.9239766081871355,3.602631578947369,0.5263157894736842,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421
#jasmin,2.0631578947368427,36.02631578947369,0.07894736842105263,0.23684210526315788,0.5789473684210527,0.13157894736842105,0.13157894736842105,0.47368421052631576,0.15789473684210525,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.15789473684210525,0.02631578947368421,0.07894736842105263,0.23684210526315788,0.10526315789473684,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
#le-cocher,1.856140350877193,0.07894736842105263,32.23684210526316,0.1179337231968811,0.3125996810207337,0.39473684210526316,0.9280701754385965,1.4210526315789473,0.5847953216374271,0.07894736842105263,0.23684210526315788,0.15789473684210525,0.23684210526315788,0.15789473684210525,0.47368421052631576,0.07894736842105263,0.23684210526315788,0.7105263157894737,0.3157894736842105,4.491228070175438,0.07894736842105263,10.74561403508772,10.74561403508772,10.74561403508772,10.74561403508772,10.74561403508772,10.74561403508772,10.74561403508772
#finette,13.390643274853803,0.23684210526315788,0.1179337231968811,22.131578947368425,3.402445507708666,0.02865497076023389,1.1842105263157894,0.374269005847953,0.2358674463937622,0.23684210526315788,0.7105263157894737,0.47368421052631576,0.7105263157894737,0.47368421052631576,1.4210526315789473,0.23684210526315788,0.7105263157894737,3.8599740090968173,9.836257309941521,0.5847953216374271,2.4590643274853803,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788
#madame-bertrand,2.4803827751196166,0.5789473684210527,0.31259968102073354,3.4024455077086655,6.736842105263158,0.4220095693779907,0.4220095693779907,0.03216374269005853,1.7615629984051033,0.30622009569377984,0.03987240829346097,0.6124401913875597,0.03987240829346097,0.6124401913875597,1.83732057416268,0.30622009569377984,0.91866028708134,3.4024455077086655,2.3157894736842106,1.1578947368421053,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527
#nicolas,0.07578947368421048,0.13157894736842105,0.39473684210526316,0.02865497076023389,0.4220095693779903,28.65789473684211,0.17789473684210536,0.05730994152046778,0.7894736842105263,0.13157894736842105,0.39473684210526316,0.2631578947368421,0.39473684210526316,0.2631578947368421,0.7894736842105263,0.13157894736842105,0.39473684210526316,0.02865497076023389,0.42631578947368426,0.2631578947368421,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105
#marotte,0.07578947368421048,0.13157894736842105,0.9280701754385965,1.1842105263157894,0.4220095693779903,0.17789473684210536,28.65789473684211,2.3684210526315788,0.7894736842105263,0.13157894736842105,0.39473684210526316,0.2631578947368421,0.39473684210526316,0.2631578947368421,0.7894736842105263,0.13157894736842105,0.39473684210526316,0.02865497076023389,0.5263157894736842,0.2631578947368421,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105
#bertrand,1.581286549707602,0.47368421052631576,1.4210526315789473,0.374269005847953,0.032163742690058325,0.05730994152046778,2.3684210526315788,10.526315789473689,0.4717348927875244,0.5847953216374271,1.7543859649122808,1.1695906432748542,1.7543859649122808,1.1695906432748542,1.6384015594541912,0.5847953216374271,0.2358674463937622,0.374269005847953,0.005847953216374281,0.0029239766081871404,0.5847953216374271,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
#lolive,0.212280701754386,0.15789473684210525,0.5847953216374271,0.2358674463937622,1.7615629984051038,0.7894736842105263,0.7894736842105263,0.4717348927875244,26.94736842105263,0.15789473684210525,0.47368421052631576,0.3157894736842105,0.47368421052631576,0.3157894736842105,0.9473684210526315,0.15789473684210525,0.47368421052631576,0.2358674463937622,2.9649122807017547,8.982456140350877,4.491228070175438,4.491228070175438,4.491228070175438,4.491228070175438,4.491228070175438,4.491228070175438,4.491228070175438,4.491228070175438
#la-fleur,0.2631578947368421,0.02631578947368421,0.07894736842105263,0.23684210526315788,0.30622009569377984,0.13157894736842105,0.13157894736842105,0.5847953216374271,0.15789473684210525,36.02631578947369,0.07894736842105263,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.15789473684210525,0.02631578947368421,0.07894736842105263,0.23684210526315788,0.10526315789473684,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
#madame-simonneau,0.7894736842105263,0.07894736842105263,0.23684210526315788,0.7105263157894737,0.0398724082934609,0.39473684210526316,0.39473684210526316,1.7543859649122808,0.47368421052631576,0.07894736842105263,32.23684210526316,21.49122807017544,32.23684210526316,21.49122807017544,4.918128654970761,10.74561403508772,0.23684210526315788,0.7105263157894737,0.3157894736842105,0.15789473684210525,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263
#monsieur-grimaudin,0.5263157894736842,0.05263157894736842,0.15789473684210525,0.47368421052631576,0.6124401913875597,0.2631578947368421,0.2631578947368421,1.1695906432748542,0.3157894736842105,0.05263157894736842,21.49122807017544,34.10526315789474,21.49122807017544,34.10526315789474,8.982456140350877,17.05263157894737,0.15789473684210525,0.47368421052631576,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
#madame-simonneau,0.7894736842105263,0.07894736842105263,0.23684210526315788,0.7105263157894737,0.0398724082934609,0.39473684210526316,0.39473684210526316,1.7543859649122808,0.47368421052631576,0.07894736842105263,32.23684210526316,21.49122807017544,32.23684210526316,21.49122807017544,4.918128654970761,10.74561403508772,0.23684210526315788,0.7105263157894737,0.3157894736842105,0.15789473684210525,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263
#monsieur-grimaudin,0.5263157894736842,0.05263157894736842,0.15789473684210525,0.47368421052631576,0.6124401913875597,0.2631578947368421,0.2631578947368421,1.1695906432748542,0.3157894736842105,0.05263157894736842,21.49122807017544,34.10526315789474,21.49122807017544,34.10526315789474,8.982456140350877,17.05263157894737,0.15789473684210525,0.47368421052631576,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
#monsieur-simonneau,1.5789473684210527,0.15789473684210525,0.47368421052631576,1.4210526315789473,1.8373205741626792,0.7894736842105263,0.7894736842105263,1.6384015594541912,0.9473684210526315,0.15789473684210525,4.918128654970761,8.982456140350877,4.918128654970761,8.982456140350877,26.94736842105263,4.491228070175438,13.473684210526315,1.4210526315789473,0.631578947368421,0.3157894736842105,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525
#dorante #monsieur-grimaudin,0.2631578947368421,0.02631578947368421,0.07894736842105263,0.23684210526315788,0.30622009569377984,0.13157894736842105,0.13157894736842105,0.5847953216374271,0.15789473684210525,0.02631578947368421,10.74561403508772,17.05263157894737,10.74561403508772,17.05263157894737,4.491228070175438,36.02631578947369,0.07894736842105263,0.23684210526315788,0.10526315789473684,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
#monsieur-du-rollet,0.7894736842105263,0.07894736842105263,0.23684210526315788,0.7105263157894737,0.9186602870813396,0.39473684210526316,0.39473684210526316,0.2358674463937622,0.47368421052631576,0.07894736842105263,0.23684210526315788,0.15789473684210525,0.23684210526315788,0.15789473684210525,13.473684210526315,0.07894736842105263,32.23684210526316,0.7105263157894737,0.3157894736842105,0.15789473684210525,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.07894736842105263
#le-chevalier,2.9239766081871355,0.23684210526315788,0.7105263157894737,3.8599740090968173,3.402445507708666,0.02865497076023389,0.02865497076023389,0.374269005847953,0.2358674463937622,0.23684210526315788,0.7105263157894737,0.47368421052631576,0.7105263157894737,0.47368421052631576,1.4210526315789473,0.23684210526315788,0.7105263157894737,22.131578947368425,4.447368421052632,0.47368421052631576,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788,0.23684210526315788
#ganivet,3.602631578947369,0.10526315789473684,0.3157894736842105,9.836257309941521,2.3157894736842106,0.42631578947368426,0.5263157894736842,0.005847953216374281,2.9649122807017547,0.10526315789473684,0.3157894736842105,0.21052631578947367,0.3157894736842105,0.21052631578947367,0.631578947368421,0.10526315789473684,0.3157894736842105,4.447368421052632,30.42105263157895,2.960526315789474,7.605263157894737,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684
#la-mariee,0.5263157894736842,0.05263157894736842,4.491228070175438,0.5847953216374271,1.1578947368421053,0.2631578947368421,0.2631578947368421,0.0029239766081871404,8.982456140350877,0.05263157894736842,0.15789473684210525,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.3157894736842105,0.05263157894736842,0.15789473684210525,0.47368421052631576,2.960526315789474,34.10526315789474,17.05263157894737,17.05263157894737,17.05263157894737,17.05263157894737,17.05263157894737,17.05263157894737,17.05263157894737,17.05263157894737
#la-mere,0.2631578947368421,0.02631578947368421,0.07894736842105263,2.4590643274853803,0.5789473684210527,0.13157894736842105,0.13157894736842105,0.5847953216374271,4.491228070175438,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.15789473684210525,0.02631578947368421,0.07894736842105263,0.23684210526315788,7.605263157894737,17.05263157894737,36.02631578947369,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.02631578947368421
#les-filles-de-la-noce,0.2631578947368421,0.02631578947368421,10.74561403508772,0.23684210526315788,0.5789473684210527,0.13157894736842105,0.13157894736842105,0.47368421052631576,4.491228070175438,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.15789473684210525,0.02631578947368421,0.07894736842105263,0.23684210526315788,0.10526315789473684,17.05263157894737,0.02631578947368421,36.02631578947369,36.02631578947369,36.02631578947369,36.02631578947369,36.02631578947369,36.02631578947369,36.02631578947369
