VALEUR,#sebaste,#clarice,#elise,#alcionne,#nicanor,#amintas,#criton,#licas,#orosmane,#argante
Fréquences (scènes),0.12121212121212122,0.21212121212121213,0.6363636363636364,0.21212121212121213,0.3333333333333333,0.3333333333333333,0.06060606060606061,0.12121212121212122,0.2727272727272727,0.030303030303030304
Fréquences(répliques),0.09040590405904059,0.055350553505535055,0.3290282902829028,0.08856088560885608,0.11377613776137761,0.14145141451414514,0.007995079950799507,0.016605166051660517,0.15006150061500614,0.006765067650676507
Confrontation,0.078125,0.078125,0.265625,0.1015625,0.1484375,0.1484375,0.015625,0.0390625,0.109375,0.015625
Déviations,#sebaste,#clarice,#elise,#alcionne,#nicanor,#amintas,#criton,#licas,#orosmane,#argante
#sebaste,25.484848484848484,1.5627705627705624,0.08116883116883118,0.027056277056277046,0.3333333333333334,0.0833333333333333,0.24242424242424243,0.48484848484848486,0.007575757575757562,0.12121212121212122
#clarice,1.5627705627705624,20.484848484848488,0.06679035250463833,0.17872603586889302,2.333333333333333,2.333333333333333,0.4242424242424243,0.8484848484848486,0.4329004329004328,0.21212121212121215
#elise,0.08116883116883118,0.06679035250463809,4.363636363636364,0.06679035250463809,0.14285714285714285,0.5714285714285714,1.2727272727272727,0.11688311688311687,0.28282828282828315,0.2077922077922078
#alcionne,0.027056277056277046,0.17872603586889302,0.06679035250463833,20.484848484848488,0.04761904761904754,0.1904761904761907,0.4242424242424243,0.8484848484848486,1.909090909090909,0.21212121212121215
#nicanor,0.33333333333333315,2.3333333333333335,0.14285714285714285,0.04761904761904766,14.66666666666667,0.484848484848485,0.16666666666666657,0.33333333333333315,1.3333333333333333,0.33333333333333337
#amintas,0.0833333333333334,2.3333333333333335,0.5714285714285714,0.19047619047619038,0.484848484848485,14.66666666666667,0.16666666666666657,0.0833333333333334,0.0,0.33333333333333337
#criton,0.24242424242424243,0.4242424242424243,1.2727272727272727,0.4242424242424243,0.1666666666666667,0.1666666666666667,29.12121212121212,0.24242424242424243,0.5454545454545454,0.06060606060606061
#licas,0.48484848484848486,0.8484848484848486,0.11688311688311687,0.8484848484848486,0.3333333333333334,0.0833333333333333,0.24242424242424243,25.484848484848484,1.0909090909090908,0.12121212121212122
#orosmane,0.007575757575757562,0.43290043290043295,0.2828282828282827,1.9090909090909092,1.3333333333333333,0.0,0.5454545454545454,1.0909090909090908,17.45454545454546,1.9393939393939397
#argante,0.12121212121212122,0.21212121212121215,0.2077922077922078,0.21212121212121215,0.3333333333333333,0.3333333333333333,0.06060606060606061,0.12121212121212122,1.9393939393939397,31.03030303030303
Successions,#sebaste,#clarice,#elise,#alcionne,#nicanor,#amintas,#criton,#licas,#orosmane,#argante
#sebaste,0.0,0.2727272727272727,0.3181818181818182,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.045454545454545456,0.0
#clarice,0.3888888888888889,0.0,0.3888888888888889,0.16666666666666666,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
#elise,0.1095890410958904,0.136986301369863,0.0273972602739726,0.136986301369863,0.1643835616438356,0.1095890410958904,0.0,0.0273972602739726,0.273972602739726,0.0136986301369863
#alcionne,0.043478260869565216,0.08695652173913043,0.5217391304347826,0.043478260869565216,0.043478260869565216,0.2608695652173913,0.0,0.0,0.0,0.0
#nicanor,0.13333333333333333,0.0,0.26666666666666666,0.06666666666666667,0.022222222222222223,0.26666666666666666,0.06666666666666667,0.08888888888888889,0.08888888888888889,0.0
#amintas,0.024390243902439025,0.0,0.24390243902439024,0.14634146341463414,0.2926829268292683,0.0,0.07317073170731707,0.07317073170731707,0.14634146341463414,0.0
#criton,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
#licas,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0
#orosmane,0.0,0.0,0.5945945945945946,0.0,0.13513513513513514,0.1891891891891892,0.0,0.0,0.02702702702702703,0.05405405405405406
#argante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
