VALEUR,#brecourt,#duparc,#pierrette,#moliere,#armande,#madeleine,#le-cavalier,#pierette,#baron,#conde,#le-roi,#la-petite-madeleine,#une-belle-dame,#un-doucereux,#une-autre-dame,#un-marquis,#la-dame,#le-marquis,#une-vieille-dame,#le-bel-esprit,#la-vieille-dame,#premier-ouvrier,#second-ouvrier,#troisieme-ouvrier,#autre-ouvrier,#un-vieil-ouvrier,#un-autre-ouvrier,#un-ouvrier
Fréquences (scènes),0.2608695652173913,0.21739130434782608,0.36231884057971014,0.5652173913043478,0.34782608695652173,0.3333333333333333,0.10144927536231885,0.014492753623188406,0.2463768115942029,0.11594202898550725,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.028985507246376812
Fréquences(répliques),0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.09735973597359736,0.0924092409240924,0.11056105610561057,0.14521452145214522,0.0858085808580858,0.11056105610561057,0.0165016501650165,0.0033003300330033004,0.06435643564356436,0.05115511551155116,0.0016501650165016502,0.0033003300330033004,0.01485148514851485,0.01485148514851485,0.01485148514851485,0.01485148514851485,0.01485148514851485,0.01485148514851485,0.01485148514851485,0.01485148514851485,0.01485148514851485,0.01155115511551155,0.01155115511551155,0.01155115511551155,0.01155115511551155,0.01155115511551155,0.01155115511551155,0.01485148514851485
Déviations,#brecourt,#duparc,#pierrette,#moliere,#armande,#madeleine,#le-cavalier,#pierette,#baron,#conde,#le-roi,#la-petite-madeleine,#une-belle-dame,#un-doucereux,#une-autre-dame,#un-marquis,#la-dame,#le-marquis,#une-vieille-dame,#le-bel-esprit,#la-vieille-dame,#premier-ouvrier,#second-ouvrier,#troisieme-ouvrier,#autre-ouvrier,#un-vieil-ouvrier,#un-autre-ouvrier,#un-ouvrier
#brecourt,37.69565217391305,12.835265700483093,1.8550724637681164,0.0670754366406542,0.010869565217391254,2.6666666666666665,0.016563146997929584,0.2608695652173913,0.07203751065643645,0.3994565217391305,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.43840579710144933
#duparc,12.835265700483093,42.260869565217405,1.210782608695652,0.7500557413600896,0.11739130434782606,5.0,0.17888198757763982,0.21739130434782608,1.4368286445012788,0.03913043478260871,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.7347826086956523
#pierrette,1.8550724637681164,1.210782608695652,28.05797101449275,0.24735785953177267,0.8356521739130433,0.33333333333333387,0.08480331262939952,1.12231884057971,1.6205967604433082,0.27855072463768116,0.36231884057971014,1.12231884057971,0.36231884057971014,0.36231884057971014,0.36231884057971014,0.36231884057971014,0.36231884057971014,0.36231884057971014,0.36231884057971014,0.36231884057971014,0.36231884057971014,1.12231884057971,1.12231884057971,1.12231884057971,1.12231884057971,1.12231884057971,1.12231884057971,0.10463768115942028
#moliere,0.0670754366406542,0.7500557413600896,0.24735785953177267,13.04347826086957,0.013935340022296554,0.6923076923076923,0.9675107501194459,0.3344481605351171,0.015935471178437854,0.5121237458193978,0.3344481605351171,0.3344481605351171,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.5652173913043478,0.6688963210702342
#armande,0.010869565217391254,0.11739130434782606,0.8356521739130433,0.013935340022296554,29.347826086956523,1.125,0.845496894409938,0.34782608695652173,0.1998081841432223,1.1419836956521738,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.6956521739130435
#madeleine,2.6666666666666665,5.0,0.3333333333333331,0.6923076923076932,1.125,30.66666666666667,0.761904761904762,0.3333333333333333,0.07843137254901968,0.041666666666666706,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666667
#le-cavalier,0.01656314699792963,0.17888198757763968,0.08480331262939952,0.9675107501194455,0.845496894409938,0.7619047619047616,55.71014492753622,0.10144927536231885,1.7246376811594204,0.8115942028985508,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.10144927536231885,0.2028985507246377
#pierette,0.2608695652173913,0.21739130434782608,1.12231884057971,0.3344481605351171,0.34782608695652173,0.3333333333333333,0.10144927536231885,67.01449275362319,0.2463768115942029,0.11594202898550725,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.028985507246376812
#baron,0.07203751065643645,1.4368286445012788,1.6205967604433076,0.015935471178438,0.19980818414322266,0.07843137254901947,1.7246376811594204,0.2463768115942029,39.18840579710145,0.47836743393009384,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,0.2463768115942029,4.610400682011935
