VALEUR,#nymphe,#apollon,#apollon #nymphe #acanthe,#choeur,#nymphe #acanthe,#semire,#astree,#philis,#hylas,#astree #philis,#celadon,#druide,#druide #choeur,#berger #choeur,#berger,#galatee,#leonide,#celadon #leonide,#ismene,#genie,#le-genie,#tircis,#tircis #hylas,#astree #celadon,#galatee #ismene #astree #celadon,#ismene #galatee,#lizette,#galioffo,#gambarini,#lizette #galioffo #gambarini
#astree,0.375,0.375,0.375,1.875,0.375,0.375,9.375,5.208333333333333,0.16666666666666666,1.0416666666666667,0.1488095238095238,0.75,0.375,0.375,0.375,1.875,1.125,0.375,1.125,0.375,0.375,0.75,0.375,0.08333333333333333,0.375,0.375,0.375,0.375,0.375,0.375
#philis,0.20833333333333331,0.20833333333333331,0.20833333333333331,1.0416666666666667,0.20833333333333331,0.20833333333333331,5.208333333333333,15.041666666666663,0.03333333333333337,3.008333333333334,1.4583333333333335,0.41666666666666663,0.20833333333333331,0.20833333333333331,0.20833333333333331,1.0416666666666667,0.625,0.20833333333333331,0.625,0.20833333333333331,0.20833333333333331,0.41666666666666663,0.20833333333333331,0.41666666666666663,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331
#hylas,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.6333333333333329,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.03333333333333332,16.66666666666667,4.166666666666668,1.1666666666666667,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.03333333333333332,0.5,0.16666666666666666,0.5,4.166666666666668,4.166666666666668,8.333333333333336,4.166666666666668,0.3333333333333333,0.16666666666666666,4.166666666666668,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#astree #philis,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.041666666666666664,1.0416666666666667,3.008333333333333,4.166666666666668,22.04166666666667,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#celadon,0.29166666666666663,0.29166666666666663,0.29166666666666663,1.4583333333333335,0.29166666666666663,0.29166666666666663,0.1488095238095238,1.4583333333333335,1.1666666666666665,0.29166666666666663,12.041666666666664,0.5833333333333333,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.20119047619047606,1.4464285714285714,1.7202380952380956,1.4464285714285714,0.29166666666666663,0.29166666666666663,0.5833333333333333,0.29166666666666663,3.440476190476191,1.7202380952380956,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663,0.29166666666666663
#druide,0.08333333333333333,0.08333333333333333,0.08333333333333333,6.016666666666666,0.08333333333333333,0.08333333333333333,0.75,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.5833333333333334,20.166666666666664,10.083333333333332,10.083333333333332,10.083333333333332,0.4166666666666667,0.25,0.08333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#druide #choeur,0.041666666666666664,0.041666666666666664,0.041666666666666664,3.008333333333333,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,10.083333333333332,22.04166666666667,22.04166666666667,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#druide #choeur,0.041666666666666664,0.041666666666666664,0.041666666666666664,3.008333333333333,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,10.083333333333332,22.04166666666667,22.04166666666667,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#berger,0.041666666666666664,0.041666666666666664,0.041666666666666664,3.008333333333333,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,10.083333333333332,0.041666666666666664,0.041666666666666664,22.04166666666667,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#galatee,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.0016666666666666724,0.20833333333333331,0.20833333333333331,1.875,1.0416666666666667,0.03333333333333337,0.20833333333333331,0.20119047619047606,0.41666666666666663,0.20833333333333331,0.20833333333333331,0.20833333333333331,15.041666666666663,0.225,0.20833333333333331,3.025,0.20833333333333331,0.20833333333333331,0.41666666666666663,0.20833333333333331,0.8166666666666669,3.008333333333334,3.008333333333334,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331
#leonide,0.125,0.125,0.125,0.625,0.125,0.125,1.125,0.625,0.5,0.125,1.4464285714285714,0.25,0.125,0.125,0.125,0.225,18.375,6.125,1.0416666666666667,0.125,0.125,0.25,0.125,0.25,0.125,0.125,0.125,0.125,0.125,0.125
#celadon #leonide,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,1.720238095238095,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,6.125,22.04166666666667,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#ismene,0.125,0.125,0.125,0.225,0.125,0.125,1.125,0.625,0.5,0.125,1.4464285714285714,0.25,0.125,0.125,0.125,3.025,1.0416666666666667,0.125,18.375,0.125,0.125,0.25,0.125,2.25,6.125,6.125,0.125,0.125,0.125,0.125
#genie,0.041666666666666664,0.041666666666666664,0.041666666666666664,3.008333333333333,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,4.166666666666668,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,22.04166666666667,22.04166666666667,10.083333333333332,22.04166666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#genie,0.041666666666666664,0.041666666666666664,0.041666666666666664,3.008333333333333,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,4.166666666666668,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,22.04166666666667,22.04166666666667,10.083333333333332,22.04166666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#tircis,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.8166666666666664,0.08333333333333333,0.08333333333333333,0.75,0.4166666666666667,8.333333333333336,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.25,0.08333333333333333,0.25,10.083333333333332,10.083333333333332,20.166666666666664,10.083333333333332,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#genie,0.041666666666666664,0.041666666666666664,0.041666666666666664,3.008333333333333,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,4.166666666666668,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,22.04166666666667,22.04166666666667,10.083333333333332,22.04166666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#astree #celadon,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333,3.44047619047619,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.8166666666666664,0.25,0.08333333333333333,2.25,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,20.166666666666664,10.083333333333332,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#galatee #ismene #astree #celadon,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,1.720238095238095,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,3.008333333333333,0.125,0.041666666666666664,6.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,10.083333333333332,22.04166666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#ismene #galatee,0.041666666666666664,0.041666666666666664,0.041666666666666664,3.008333333333333,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,4.166666666666668,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,3.008333333333333,0.125,0.041666666666666664,6.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,22.04166666666667,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#lizette,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,22.04166666666667,22.04166666666667,22.04166666666667,22.04166666666667
#lizette,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,22.04166666666667,22.04166666666667,22.04166666666667,22.04166666666667
#lizette,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,22.04166666666667,22.04166666666667,22.04166666666667,22.04166666666667
#lizette,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,22.04166666666667,22.04166666666667,22.04166666666667,22.04166666666667
Successions,#nymphe,#apollon,#apollon #nymphe #acanthe,#choeur,#nymphe #acanthe,#semire,#astree,#philis,#hylas,#astree #philis,#celadon,#druide,#druide #choeur,#berger #choeur,#berger,#galatee,#leonide,#celadon #leonide,#ismene,#genie,#le-genie,#tircis,#tircis #hylas,#astree #celadon,#galatee #ismene #astree #celadon,#ismene #galatee,#lizette,#galioffo,#gambarini,#lizette #galioffo #gambarini
#nymphe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#apollon,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nymphe,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
#nymphe #acanthe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nymphe #acanthe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#astree,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.5,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philis,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.5555555555555556,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#hylas,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#astree #philis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#celadon,0.0,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0
#druide,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#druide #choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#berger #choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nymphe #acanthe,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#galatee,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
#leonide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#celadon #leonide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ismene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
#genie,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-genie,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tircis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#astree #philis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#astree #celadon,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#galatee #ismene #astree #celadon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ismene #galatee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lizette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
#galioffo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#gambarini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#lizette #galioffo #gambarini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
