VALEUR,#nymphe,#apollon,#apollon #nymphe #acanthe,#choeur,#nymphe #acanthe,#semire,#astree,#philis,#hylas,#astree #philis,#celadon,#druide,#druide #choeur,#berger #choeur,#berger,#galatee,#leonide,#celadon #leonide,#ismene,#genie,#le-genie,#tircis,#tircis #hylas,#astree #celadon,#galatee #ismene #astree #celadon,#ismene #galatee,#lizette,#galioffo,#gambarini,#lizette #galioffo #gambarini
Fréquences (scènes),0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
Fréquences(répliques),0.033854166666666664,0.040364583333333336,0.005208333333333333,0.04296875,0.006510416666666667,0.036458333333333336,0.19010416666666666,0.09244791666666667,0.036458333333333336,0.0026041666666666665,0.13411458333333334,0.01953125,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.11197916666666667,0.055989583333333336,0.0026041666666666665,0.055989583333333336,0.005208333333333333,0.015625,0.01953125,0.00390625,0.0078125,0.005208333333333333,0.005208333333333333,0.026041666666666668,0.01171875,0.014322916666666666,0.0026041666666666665
Confrontation,0.024096385542168676,0.024096385542168676,0.024096385542168676,0.10843373493975904,0.024096385542168676,0.0,0.060240963855421686,0.04216867469879518,0.0783132530120482,0.018072289156626505,0.07228915662650602,0.030120481927710843,0.018072289156626505,0.018072289156626505,0.012048192771084338,0.060240963855421686,0.030120481927710843,0.012048192771084338,0.060240963855421686,0.030120481927710843,0.030120481927710843,0.03614457831325301,0.030120481927710843,0.03614457831325301,0.024096385542168676,0.024096385542168676,0.018072289156626505,0.018072289156626505,0.018072289156626505,0.018072289156626505
Déviations,#nymphe,#apollon,#apollon #nymphe #acanthe,#choeur,#nymphe #acanthe,#semire,#astree,#philis,#hylas,#astree #philis,#celadon,#druide,#druide #choeur,#berger #choeur,#berger,#galatee,#leonide,#celadon #leonide,#ismene,#genie,#le-genie,#tircis,#tircis #hylas,#astree #celadon,#galatee #ismene #astree #celadon,#ismene #galatee,#lizette,#galioffo,#gambarini,#lizette #galioffo #gambarini
#nymphe,22.04166666666667,22.04166666666667,22.04166666666667,3.008333333333333,22.04166666666667,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#nymphe,22.04166666666667,22.04166666666667,22.04166666666667,3.008333333333333,22.04166666666667,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#nymphe,22.04166666666667,22.04166666666667,22.04166666666667,3.008333333333333,22.04166666666667,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#choeur,3.008333333333334,3.008333333333334,3.008333333333334,15.041666666666663,3.008333333333334,0.20833333333333331,1.875,1.0416666666666667,1.6333333333333337,0.20833333333333331,1.4583333333333335,6.016666666666668,3.008333333333334,3.008333333333334,3.008333333333334,0.0016666666666666724,0.625,0.20833333333333331,0.225,3.008333333333334,3.008333333333334,0.8166666666666669,3.008333333333334,0.41666666666666663,0.20833333333333331,3.008333333333334,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331
#nymphe,22.04166666666667,22.04166666666667,22.04166666666667,3.008333333333333,22.04166666666667,0.041666666666666664,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#semire,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.041666666666666664,22.04166666666667,0.375,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.125,0.041666666666666664,0.125,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
