VALEUR,#marton,#julie,#florville,#valsain,#gercour,#sudmer,#madame-gercour,#le-laquais,#lafleur
Fréquences (scènes),0.37735849056603776,0.05660377358490566,0.22641509433962265,0.6226415094339622,0.2830188679245283,0.22641509433962265,0.1509433962264151,0.018867924528301886,0.05660377358490566
Fréquences(répliques),0.12366737739872068,0.024307036247334754,0.1978678038379531,0.29466950959488275,0.13134328358208955,0.1791044776119403,0.04349680170575693,0.0008528784648187633,0.004690831556503198
Confrontation,0.17763157894736842,0.046052631578947366,0.13815789473684212,0.24342105263157895,0.17105263157894737,0.125,0.05263157894736842,0.013157894736842105,0.03289473684210526
Déviations,#marton,#julie,#florville,#valsain,#gercour,#sudmer,#madame-gercour,#le-laquais,#lafleur
#marton,20.547169811320753,0.6654088050314466,0.04913522012578619,3.343739279588336,0.020377358490566082,2.6616352201257865,3.0188679245283017,0.3773584905660377,1.1320754716981132
#julie,0.6654088050314462,47.169811320754704,0.15146750524109007,0.009338669716028236,0.02683438155136267,0.15146750524109007,0.4528301886792453,0.05660377358490566,0.169811320754717
#florville,0.04913522012578599,0.15146750524109007,31.71698113207547,0.029778921288355156,0.10733752620545069,0.029481132075471636,1.8113207547169812,0.22641509433962265,0.15146750524109007
#valsain,3.343739279588337,0.009338669716028203,0.029778921288355267,7.5471698113207575,0.012349914236706715,1.6131122546216887,7.146941109205425e-05,0.22870211549456834,0.6861063464837049
#gercour,0.020377358490565975,0.02683438155136267,0.10733752620545069,0.012349914236706715,27.24528301886792,0.04622641509433965,0.030817610062893068,0.2830188679245283,0.02683438155136267
#sudmer,2.6616352201257847,0.15146750524109007,0.029481132075471636,1.613112254621688,0.04622641509433965,31.71698113207547,1.8113207547169812,0.22641509433962265,0.679245283018868
#madame-gercour,3.0188679245283017,0.4528301886792453,1.8113207547169812,7.146941109205425e-05,0.030817610062893068,1.8113207547169812,38.20754716981133,4.775943396226416,0.4528301886792453
#le-laquais,0.3773584905660377,0.05660377358490566,0.22641509433962265,0.22870211549456834,0.2830188679245283,0.22641509433962265,4.775943396226416,51.0188679245283,0.05660377358490566
#lafleur,1.1320754716981134,0.169811320754717,0.15146750524109007,0.6861063464837054,0.02683438155136267,0.679245283018868,0.4528301886792453,0.05660377358490566,47.169811320754704
Successions,#marton,#julie,#florville,#valsain,#gercour,#sudmer,#madame-gercour,#le-laquais,#lafleur
#marton,0.021739130434782608,0.18115942028985507,0.1956521739130435,0.2391304347826087,0.06521739130434782,0.2971014492753623,0.0,0.0,0.0
#julie,0.6578947368421053,0.0,0.02631578947368421,0.2894736842105263,0.0,0.02631578947368421,0.0,0.0,0.0
#florville,0.16759776536312848,0.0111731843575419,0.00558659217877095,0.25139664804469275,0.0893854748603352,0.4748603351955307,0.0,0.0,0.0
#valsain,0.13215859030837004,0.04405286343612335,0.19823788546255505,0.039647577092511016,0.23788546255506607,0.09691629955947137,0.19823788546255505,0.00881057268722467,0.04405286343612335
#gercour,0.06716417910447761,0.0,0.1417910447761194,0.40298507462686567,0.014925373134328358,0.2462686567164179,0.12686567164179105,0.0,0.0
#sudmer,0.22950819672131148,0.0,0.4644808743169399,0.12021857923497267,0.18579234972677597,0.0,0.0,0.0,0.0
#madame-gercour,0.0,0.015625,0.0,0.6875,0.28125,0.0,0.015625,0.0,0.0
#le-laquais,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
#lafleur,0.0,0.0,0.1,0.8,0.1,0.0,0.0,0.0,0.0
