VALEUR,#diane,#dorothee,#celiree,#orante,#filemon,#sylvian,#damon,#lysimant,#ariste,#orimand,#le-laquais,#lysandre,#l-exempt
Fréquences (scènes),0.2558139534883721,0.16279069767441862,0.20930232558139536,0.27906976744186046,0.18604651162790697,0.18604651162790697,0.06976744186046512,0.3488372093023256,0.11627906976744186,0.11627906976744186,0.09302325581395349,0.046511627906976744,0.023255813953488372
Fréquences(répliques),0.0899149453219927,0.06500607533414338,0.17193195625759417,0.16707168894289187,0.07594167679222358,0.06257594167679223,0.06986634264884568,0.1385176184690158,0.07837181044957472,0.04191980558930741,0.004860267314702308,0.03341433778857837,0.0006075334143377885
Confrontation,0.12280701754385964,0.09210526315789473,0.03508771929824561,0.09210526315789473,0.07456140350877193,0.10087719298245613,0.04824561403508772,0.13596491228070176,0.07017543859649122,0.08771929824561403,0.03070175438596491,0.06578947368421052,0.043859649122807015
Déviations,#diane,#dorothee,#celiree,#orante,#filemon,#sylvian,#damon,#lysimant,#ariste,#orimand,#le-laquais,#lysandre,#l-exempt
#diane,23.813953488372093,0.8166717003926305,0.7366690157387833,1.3955250176180412,0.0010570824524312934,0.44423890063424937,0.07047216349541928,1.219027484143763,0.40634249471458767,2.3154334038054967,3.8187103594080334,4.329809725158562,2.164904862579281
#dorothee,0.8166717003926302,30.13953488372092,0.14765596160945008,0.0011074197120708683,0.07018272425249174,2.213039867109634,0.5359911406423035,0.9942414174972308,0.04252491694352154,1.7282392026578068,0.6511627906976745,8.61129568106312,4.30564784053156
#celiree,0.7366690157387833,0.14765596160945008,26.88372093023256,0.8819982773471144,1.6744186046511627,1.6744186046511627,0.627906976744186,0.41360895779500445,1.0465116279069768,1.0465116279069768,0.8372093023255813,0.41860465116279066,0.20930232558139533
#orante,1.3955250176180412,0.0011074197120708683,0.8819982773471144,22.348837209302335,0.26380813953488375,0.02422480620155038,0.031653746770025866,1.1416020671834628,1.845348837209302,0.11201550387596901,1.1162790697674418,0.3498062015503876,1.8624031007751936
#filemon,0.0010570824524312934,0.07018272425249174,1.6744186046511629,0.26380813953488375,28.48837209302326,1.5352470930232558,0.3498062015503876,0.22403100775193802,1.2302325581395352,0.005232558139534886,0.7441860465116278,1.059593023255814,3.5610465116279073
#sylvian,0.44423890063424937,2.213039867109634,1.6744186046511629,0.02422480620155038,1.5352470930232558,28.48837209302326,3.724806201550387,0.01569767441860464,1.2302325581395352,1.2302325581395352,0.7441860465116278,7.122093023255815,3.5610465116279073
#damon,0.07047216349541928,0.5359911406423035,0.627906976744186,0.031653746770025866,0.3498062015503876,3.724806201550387,37.2093023255814,0.002067183462532307,1.2155038759689925,1.2155038759689925,0.27906976744186046,5.3062015503875966,12.403100775193797
#lysimant,1.219027484143763,0.9942414174972308,0.41360895779500445,1.1416020671834628,0.22403100775193802,0.01569767441860464,0.002067183462532307,18.23255813953488,0.037519379844961245,2.9175193798449612,0.26201550387596895,2.431007751937985,1.2155038759689925
#ariste,0.40634249471458767,0.04252491694352154,1.0465116279069768,1.845348837209302,1.2302325581395352,1.2302325581395352,1.2155038759689925,0.037519379844961245,33.581395348837205,0.30139534883720925,0.46511627906976744,2.532558139534884,6.716279069767442
#orimand,2.3154334038054967,1.7282392026578068,1.0465116279069768,0.11201550387596901,0.005232558139534886,1.2302325581395352,1.2155038759689925,2.9175193798449612,0.30139534883720925,33.581395348837205,5.065116279069768,13.432558139534883,6.716279069767442
#le-laquais,3.8187103594080334,0.6511627906976745,0.8372093023255814,1.1162790697674418,0.7441860465116278,0.7441860465116278,0.27906976744186046,0.26201550387596895,0.46511627906976744,5.065116279069768,35.37209302325582,0.18604651162790695,0.09302325581395347
#lysandre,4.329809725158562,8.61129568106312,0.4186046511627907,0.3498062015503876,1.059593023255814,7.122093023255815,5.3062015503875966,2.431007751937985,2.532558139534884,13.432558139534883,0.18604651162790695,39.093023255813954,19.546511627906977
#l-exempt,2.164904862579281,4.30564784053156,0.20930232558139536,1.8624031007751936,3.5610465116279073,3.5610465116279073,12.403100775193797,1.2155038759689925,6.716279069767442,6.716279069767442,0.09302325581395347,19.546511627906977,41.02325581395348
Successions,#diane,#dorothee,#celiree,#orante,#filemon,#sylvian,#damon,#lysimant,#ariste,#orimand,#le-laquais,#lysandre,#l-exempt
#diane,0.0,0.14285714285714285,0.0,0.0,0.09523809523809523,0.0,0.0,0.38095238095238093,0.0,0.19047619047619047,0.19047619047619047,0.0,0.0
#dorothee,0.1111111111111111,0.037037037037037035,0.4444444444444444,0.0,0.0,0.14814814814814814,0.0,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.0,0.07407407407407407,0.0
#celiree,0.0,0.27906976744186046,0.023255813953488372,0.3953488372093023,0.0,0.0,0.0,0.3023255813953488,0.0,0.0,0.0,0.0,0.0
#orante,0.021739130434782608,0.021739130434782608,0.32608695652173914,0.043478260869565216,0.1956521739130435,0.043478260869565216,0.021739130434782608,0.10869565217391304,0.21739130434782608,0.0,0.0,0.0,0.0
#filemon,0.0,0.0,0.0,0.43478260869565216,0.043478260869565216,0.2608695652173913,0.0,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.0,0.0,0.043478260869565216
#sylvian,0.08333333333333333,0.125,0.0,0.041666666666666664,0.2916666666666667,0.041666666666666664,0.2916666666666667,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0
#damon,0.0,0.0,0.0,0.0,0.07692307692307693,0.6923076923076923,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0
#lysimant,0.15789473684210525,0.10526315789473684,0.34210526315789475,0.13157894736842105,0.02631578947368421,0.0,0.05263157894736842,0.02631578947368421,0.0,0.13157894736842105,0.02631578947368421,0.0,0.0
#ariste,0.0,0.0,0.07692307692307693,0.8461538461538461,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
#orimand,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.0,0.0,0.10526315789473684,0.15789473684210525,0.0
#le-laquais,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
#lysandre,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.375,0.0,0.125,0.0
#l-exempt,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
