VALEUR,#hippolyte,#idas,#aricie,#phedre,#cleone,#thesee,#arcas,#megiste
Fréquences (scènes),0.3333333333333333,0.07407407407407407,0.4444444444444444,0.5555555555555556,0.07407407407407407,0.37037037037037035,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.1704109589041096,0.06904109589041096,0.1589041095890411,0.3265753424657534,0.009315068493150684,0.2547945205479452,0.009315068493150684,0.0016438356164383563
Confrontation,0.1724137931034483,0.05172413793103448,0.2413793103448276,0.22413793103448276,0.034482758620689655,0.22413793103448276,0.017241379310344827,0.034482758620689655
Déviations,#hippolyte,#idas,#aricie,#phedre,#cleone,#thesee,#arcas,#megiste
#hippolyte,12.0,0.1666666666666667,0.25,0.2,0.6666666666666666,0.5333333333333331,0.3333333333333333,0.3333333333333333
#idas,0.1666666666666667,23.148148148148152,0.013888888888888902,1.1111111111111112,0.14814814814814814,0.09074074074074077,0.07407407407407407,0.07407407407407407
#aricie,0.25,0.013888888888888902,8.333333333333336,1.0666666666666669,0.013888888888888902,0.04444444444444448,0.4444444444444444,0.6944444444444445
#phedre,0.2,1.1111111111111112,1.0666666666666662,5.333333333333332,0.01111111111111112,0.4355555555555554,0.5555555555555556,0.5555555555555556
#cleone,0.6666666666666666,0.14814814814814814,0.013888888888888902,0.01111111111111112,23.148148148148152,0.7407407407407407,0.07407407407407407,0.07407407407407407
#thesee,0.5333333333333331,0.09074074074074077,0.04444444444444448,0.4355555555555554,0.7407407407407407,10.703703703703706,1.0703703703703706,1.0703703703703706
#arcas,0.3333333333333333,0.07407407407407407,0.4444444444444444,0.5555555555555556,0.07407407407407407,1.0703703703703706,25.03703703703704,0.037037037037037035
#megiste,0.3333333333333333,0.07407407407407407,0.6944444444444445,0.5555555555555556,0.07407407407407407,1.0703703703703706,0.037037037037037035,25.03703703703704
Successions,#hippolyte,#idas,#aricie,#phedre,#cleone,#thesee,#arcas,#megiste
#hippolyte,0.023809523809523808,0.11904761904761904,0.3333333333333333,0.42857142857142855,0.0,0.09523809523809523,0.0,0.0
#idas,0.45454545454545453,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0
#aricie,0.2978723404255319,0.10638297872340426,0.02127659574468085,0.40425531914893614,0.0425531914893617,0.10638297872340426,0.0,0.02127659574468085
#phedre,0.288135593220339,0.0,0.288135593220339,0.05084745762711865,0.03389830508474576,0.3389830508474576,0.0,0.0
#cleone,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
#thesee,0.13636363636363635,0.022727272727272728,0.22727272727272727,0.38636363636363635,0.0,0.022727272727272728,0.20454545454545456,0.0
#arcas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#arcas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
