VALEUR,#rosemberg,#l-hotelier,#le-chevalier,#barberine,#ulric,#la-reine,#premier-courtisan,#deuxieme-courtisan,#polacco,#kalekairi,#une-voix,#la-sentinelle
Fréquences (scènes),0.8888888888888888,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.2777777777777778,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.5,0.05555555555555555,0.05555555555555555
Fréquences(répliques),0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.2661290322580645,0.024193548387096774,0.024193548387096774,0.1532258064516129,0.11290322580645161,0.08870967741935484,0.056451612903225805,0.04032258064516129,0.04032258064516129,0.1532258064516129,0.024193548387096774,0.016129032258064516
Déviations,#rosemberg,#l-hotelier,#le-chevalier,#barberine,#ulric,#la-reine,#premier-courtisan,#deuxieme-courtisan,#polacco,#kalekairi,#une-voix,#la-sentinelle
#rosemberg,0.22222222222222243,0.027777777777777804,0.027777777777777804,0.08888888888888896,0.04444444444444448,0.041666666666666706,0.027777777777777804,0.013888888888888902,0.013888888888888902,0.0,0.013888888888888902,0.013888888888888902
#l-hotelier,0.027777777777777804,14.222222222222221,2.7222222222222223,1.1111111111111112,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111
#le-chevalier,0.027777777777777804,2.7222222222222223,14.222222222222221,1.1111111111111112,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111
#barberine,0.08888888888888896,1.1111111111111112,1.1111111111111112,3.5555555555555562,0.2177777777777777,0.26666666666666655,1.1111111111111112,0.5555555555555556,0.5555555555555556,0.8,0.3555555555555555,0.5555555555555556
#ulric,0.04444444444444448,0.5555555555555556,0.5555555555555556,0.2177777777777777,9.38888888888889,5.6333333333333355,3.755555555555555,1.8777777777777775,1.8777777777777775,0.9,0.2777777777777778,0.2777777777777778
#la-reine,0.041666666666666706,0.3333333333333333,0.3333333333333333,0.2666666666666667,5.633333333333332,12.5,1.3333333333333337,4.166666666666668,4.166666666666668,0.16666666666666666,0.16666666666666666,0.16666666666666666
#premier-courtisan,0.027777777777777804,0.2222222222222222,0.2222222222222222,1.1111111111111112,3.755555555555555,1.3333333333333337,14.222222222222221,7.111111111111111,7.111111111111111,1.0,0.1111111111111111,0.1111111111111111
#deuxieme-courtisan,0.013888888888888902,0.1111111111111111,0.1111111111111111,0.5555555555555556,1.8777777777777775,4.166666666666668,7.111111111111111,16.055555555555557,16.055555555555557,0.5,0.05555555555555555,0.05555555555555555
#deuxieme-courtisan,0.013888888888888902,0.1111111111111111,0.1111111111111111,0.5555555555555556,1.8777777777777775,4.166666666666668,7.111111111111111,16.055555555555557,16.055555555555557,0.5,0.05555555555555555,0.05555555555555555
#kalekairi,0.0,1.0,1.0,0.8,0.9,0.16666666666666666,1.0,0.5,0.5,4.5,0.5,0.5
#une-voix,0.013888888888888902,0.1111111111111111,0.1111111111111111,0.3555555555555555,0.2777777777777778,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.5,16.055555555555557,0.05555555555555555
#la-sentinelle,0.013888888888888902,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.2777777777777778,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.5,0.05555555555555555,16.055555555555557
Successions,#rosemberg,#l-hotelier,#le-chevalier,#barberine,#ulric,#la-reine,#premier-courtisan,#deuxieme-courtisan,#polacco,#kalekairi,#une-voix,#la-sentinelle
#rosemberg,0.010256410256410256,0.041025641025641026,0.16923076923076924,0.3128205128205128,0.11794871794871795,0.05128205128205128,0.015384615384615385,0.015384615384615385,0.05641025641025641,0.2,0.005128205128205128,0.005128205128205128
#l-hotelier,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.9714285714285714,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#barberine,0.59375,0.0,0.010416666666666666,0.0,0.13541666666666666,0.03125,0.0,0.0,0.0,0.22916666666666666,0.0,0.0
#ulric,0.4375,0.0,0.0,0.2916666666666667,0.0,0.0625,0.041666666666666664,0.0,0.16666666666666666,0.0,0.0,0.0
#la-reine,0.47368421052631576,0.0,0.0,0.10526315789473684,0.15789473684210525,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.0
#premier-courtisan,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#deuxieme-courtisan,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
#polacco,0.631578947368421,0.0,0.0,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#kalekairi,0.696969696969697,0.0,0.0,0.2878787878787879,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0
#une-voix,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-voix,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
