VALEUR,#belton,#laforest,#moliere,#mignard,#bridois,#madame-d-ampouf,#armantine,#ensemble,#sophie,#valaurier
Fréquences (scènes),0.4117647058823529,0.17647058823529413,0.7058823529411765,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.35294117647058826,0.058823529411764705,0.17647058823529413,0.11764705882352941
Fréquences(répliques),0.08064516129032258,0.0935483870967742,0.17096774193548386,0.1064516129032258,0.15806451612903225,0.13870967741935483,0.08387096774193549,0.0032258064516129032,0.08387096774193549,0.08064516129032258
Confrontation,0.16393442622950818,0.03278688524590164,0.20491803278688525,0.10655737704918032,0.07377049180327869,0.07377049180327869,0.13114754098360656,0.01639344262295082,0.10655737704918032,0.09016393442622951
Déviations,#belton,#laforest,#moliere,#mignard,#bridois,#madame-d-ampouf,#armantine,#ensemble,#sophie,#valaurier
#belton,5.882352941176469,0.47338935574229685,0.22689075630252092,1.2292917166866748,0.037815126050420186,0.04481792717086836,0.11344537815126046,0.8403361344537816,2.521008403361344,1.6806722689075633
#laforest,0.47338935574229685,11.529411764705882,0.0065359477124183035,1.2352941176470589,0.3529411764705882,0.5294117647058824,1.0588235294117647,0.1764705882352941,0.5294117647058824,0.3529411764705882
#moliere,0.22689075630252092,0.0065359477124183035,1.4705882352941175,0.17927170868347345,0.2450980392156864,0.5898692810457516,0.013071895424836607,0.1225490196078432,0.3676470588235294,0.2450980392156864
#mignard,1.2292917166866748,1.2352941176470589,0.17927170868347345,5.882352941176469,1.6806722689075633,0.47338935574229685,0.08963585434173672,0.4117647058823529,0.04481792717086836,0.037815126050420186
#bridois,0.037815126050420186,0.35294117647058826,0.2450980392156862,1.6806722689075633,13.235294117647058,1.1862745098039214,0.1225490196078431,0.11764705882352941,1.1862745098039214,2.485294117647059
#madame-d-ampouf,0.04481792717086836,0.5294117647058824,0.5898692810457516,0.47338935574229685,1.1862745098039218,11.529411764705882,0.8366013071895425,0.1764705882352941,0.41830065359477125,1.1862745098039218
#armantine,0.11344537815126046,1.0588235294117647,0.013071895424836607,0.08963585434173672,0.1225490196078432,0.8366013071895425,7.117647058823529,0.3529411764705882,0.8366013071895425,2.3725490196078436
#ensemble,0.8403361344537816,0.17647058823529413,0.1225490196078431,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.35294117647058826,15.058823529411764,0.17647058823529413,0.11764705882352941
#sophie,2.521008403361344,0.5294117647058824,0.3676470588235294,0.04481792717086836,1.1862745098039218,0.41830065359477125,0.8366013071895425,0.1764705882352941,11.529411764705882,7.686274509803922
#valaurier,1.6806722689075633,0.35294117647058826,0.2450980392156862,0.037815126050420186,2.485294117647059,1.1862745098039214,2.3725490196078427,0.11764705882352941,7.686274509803921,13.235294117647058
Successions,#belton,#laforest,#moliere,#mignard,#bridois,#madame-d-ampouf,#armantine,#ensemble,#sophie,#valaurier
#belton,0.0,0.40540540540540543,0.5135135135135135,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.02702702702702703,0.0
#laforest,0.6666666666666666,0.0,0.23809523809523808,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616
#moliere,0.234375,0.0625,0.015625,0.234375,0.109375,0.03125,0.1875,0.0,0.09375,0.03125
#mignard,0.03225806451612903,0.0,0.5806451612903226,0.0,0.12903225806451613,0.1935483870967742,0.06451612903225806,0.0,0.0,0.0
#bridois,0.0,0.07692307692307693,0.38461538461538464,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0
#madame-d-ampouf,0.0,0.0,0.07692307692307693,0.5384615384615384,0.07692307692307693,0.0,0.3076923076923077,0.0,0.0,0.0
#armantine,0.20833333333333334,0.0,0.4583333333333333,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0
#ensemble,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sophie,0.25,0.0,0.375,0.0,0.0,0.0,0.125,0.125,0.0,0.125
#valaurier,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0
