VALEUR,#florence,#philipin,#geraste,#anselme,#lucrece,#ariste,#licaste,#kerlonte,#florame,#lisidan
Fréquences (scènes),0.3469387755102041,0.40816326530612246,0.42857142857142855,0.6326530612244898,0.1836734693877551,0.32653061224489793,0.16326530612244897,0.04081632653061224,0.12244897959183673,0.12244897959183673
Fréquences(répliques),0.1036846615252785,0.13110539845758354,0.194515852613539,0.26306769494430166,0.044130248500428446,0.07883461868037704,0.06255355612682091,0.024850042844901457,0.05741216795201371,0.03984575835475578
Confrontation,0.09821428571428571,0.14285714285714285,0.16071428571428573,0.19047619047619047,0.06547619047619048,0.14285714285714285,0.050595238095238096,0.03273809523809524,0.050595238095238096,0.06547619047619048
Déviations,#florence,#philipin,#geraste,#anselme,#lucrece,#ariste,#licaste,#kerlonte,#florame,#lisidan
#florence,20.897959183673468,1.3505402160864348,2.5210084033613445,1.3110792704178449,1.128984927304255,0.03631452581032414,2.7755102040816326,0.13505402160864347,2.0816326530612246,0.5620248099239696
#philipin,1.3505402160864348,17.163265306122447,0.7714285714285712,1.0546741277156026,0.762358276643991,6.408737244897961,0.021556122448979535,1.716326530612245,0.8573129251700681,0.08231292517006805
#geraste,2.5210084033613445,0.7714285714285712,16.0,1.0384024577572961,0.005291005291005286,0.1904761904761906,3.720238095238096,1.5238095238095237,0.07142857142857152,0.793650793650794
#anselme,1.3110792704178449,1.0546741277156026,1.038402457757297,6.612244897959179,0.01645819618169845,0.12446510862409454,0.2225148123765633,0.42659644502962496,0.381939872723283,0.381939872723283
#lucrece,1.128984927304255,0.762358276643991,0.00529100529100532,0.01645819618169845,32.6530612244898,0.001275510204081645,1.4693877551020407,0.36734693877551017,0.009448223733938001,0.009448223733938001
#ariste,0.03631452581032429,6.408737244897961,0.19047619047619094,0.12446510862409454,0.001275510204081645,22.224489795918377,0.1434948979591834,2.778061224489797,0.000850340136054433,0.5529336734693882
#licaste,2.775510204081632,0.021556122448979535,3.720238095238097,0.2225148123765633,1.4693877551020407,0.1434948979591834,34.30612244897961,1.3890306122448985,0.9795918367346937,0.9795918367346937
#kerlonte,0.13505402160864358,1.716326530612245,1.5238095238095244,0.42659644502962496,0.36734693877551017,2.778061224489797,1.3890306122448985,45.081632653061234,0.24489795918367344,2.3282312925170072
#florame,2.0816326530612246,0.8573129251700681,0.07142857142857152,0.38193987272328267,0.00944822373393804,0.0008503401360544237,0.9795918367346939,0.24489795918367346,37.734693877551024,24.762471655328802
#lisidan,0.5620248099239696,0.08231292517006805,0.793650793650794,0.38193987272328267,0.00944822373393804,0.5529336734693878,0.9795918367346939,2.3282312925170063,24.762471655328802,37.734693877551024
Successions,#florence,#philipin,#geraste,#anselme,#lucrece,#ariste,#licaste,#kerlonte,#florame,#lisidan
#florence,0.0,0.5660377358490566,0.03773584905660377,0.1320754716981132,0.10377358490566038,0.16037735849056603,0.0,0.0,0.0,0.0
#philipin,0.33962264150943394,0.012578616352201259,0.0,0.18238993710691823,0.0,0.23270440251572327,0.1949685534591195,0.012578616352201259,0.012578616352201259,0.012578616352201259
#geraste,0.037037037037037035,0.006172839506172839,0.006172839506172839,0.5740740740740741,0.05555555555555555,0.07407407407407407,0.2037037037037037,0.006172839506172839,0.006172839506172839,0.030864197530864196
#anselme,0.06343283582089553,0.07835820895522388,0.29850746268656714,0.033582089552238806,0.10074626865671642,0.15298507462686567,0.03731343283582089,0.06343283582089553,0.13805970149253732,0.033582089552238806
#lucrece,0.24489795918367346,0.04081632653061224,0.1836734693877551,0.4897959183673469,0.0,0.04081632653061224,0.0,0.0,0.0,0.0
#ariste,0.15384615384615385,0.3418803418803419,0.20512820512820512,0.24786324786324787,0.017094017094017096,0.008547008547008548,0.0,0.0,0.008547008547008548,0.017094017094017096
#licaste,0.0,0.4,0.48,0.10666666666666667,0.0,0.013333333333333334,0.0,0.0,0.0,0.0
#kerlonte,0.0,0.05,0.05,0.8,0.0,0.05,0.05,0.0,0.0,0.0
#florame,0.0,0.0,0.04225352112676056,0.5070422535211268,0.0,0.028169014084507043,0.0,0.0,0.0,0.4225352112676056
#lisidan,0.0,0.020833333333333332,0.08333333333333333,0.20833333333333334,0.0,0.0625,0.0,0.0,0.625,0.0
