VALEUR,#atabalipa,#mahomet,#le-grand-turc,#pour-les-eunuques,#le-baillif-de-groënland,#le-baillis-de-frisland,#le-grand-cacique,#le-grand-cam,#les-grenadins,#un-grenadin,#la-douairiere,#le-fanfan
Fréquences (scènes),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Fréquences(répliques),0.06282722513089005,0.17277486910994763,0.08376963350785341,0.041884816753926704,0.041884816753926704,0.041884816753926704,0.020942408376963352,0.041884816753926704,0.14659685863874344,0.2198952879581152,0.06282722513089005,0.06282722513089005
Confrontation,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.09782608695652174,0.010869565217391304,0.010869565217391304
Déviations,#atabalipa,#mahomet,#le-grand-turc,#pour-les-eunuques,#le-baillif-de-groënland,#le-baillis-de-frisland,#le-grand-cacique,#le-grand-cam,#les-grenadins,#un-grenadin,#la-douairiere,#le-fanfan
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#atabalipa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Successions,#atabalipa,#mahomet,#le-grand-turc,#pour-les-eunuques,#le-baillif-de-groënland,#le-baillis-de-frisland,#le-grand-cacique,#le-grand-cam,#les-grenadins,#un-grenadin,#la-douairiere,#le-fanfan
#atabalipa,,,,,,,,,,,,
#mahomet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-turc,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pour-les-eunuques,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-baillif-de-groënland,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-baillis-de-frisland,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-cacique,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-cam,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#les-grenadins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#un-grenadin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#la-douairiere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334
#le-fanfan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
