VALEUR,#prologue,#abraham,#sarah,#satan,#l-ange,#demi-troupe,#isaac,#troupe-de-bergers,#epilogue
Fréquences (scènes),0.07692307692307693,0.6153846153846154,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.23076923076923078,0.0
Fréquences(répliques),0.05714285714285714,0.37857142857142856,0.11190476190476191,0.14404761904761904,0.047619047619047616,0.055952380952380955,0.125,0.02738095238095238,0.05238095238095238
Confrontation,0.0,0.2857142857142857,0.09523809523809523,0.047619047619047616,0.07142857142857142,0.09523809523809523,0.23809523809523808,0.16666666666666666,0.0
Déviations,#prologue,#abraham,#sarah,#satan,#l-ange,#demi-troupe,#isaac,#troupe-de-bergers,#epilogue
#prologue,11.076923076923078,0.6153846153846154,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.23076923076923078,0.0
#abraham,0.6153846153846154,1.9230769230769227,0.012820512820512803,0.38782051282051294,0.48076923076923067,0.04326923076923079,0.2769230769230768,0.012820512820512803,0.0
#sarah,0.23076923076923078,0.012820512820512803,7.692307692307691,0.6923076923076923,0.46153846153846156,0.46153846153846156,0.020512820512820544,0.13675213675213677,0.0
#satan,0.23076923076923078,0.38782051282051294,0.6923076923076923,7.692307692307691,0.46153846153846156,0.46153846153846156,0.020512820512820544,0.6923076923076923,0.0
#l-ange,0.15384615384615385,0.48076923076923067,0.46153846153846156,0.46153846153846156,9.307692307692307,0.3076923076923077,0.0692307692307692,0.46153846153846156,0.0
#demi-troupe,0.15384615384615385,0.04326923076923079,0.46153846153846156,0.46153846153846156,0.3076923076923077,9.307692307692307,0.0692307692307692,5.128205128205127,0.0
#isaac,0.38461538461538464,0.2769230769230768,0.020512820512820544,0.020512820512820544,0.0692307692307692,0.0692307692307692,4.9230769230769225,0.6205128205128202,0.0
#troupe-de-bergers,0.23076923076923078,0.012820512820512803,0.13675213675213677,0.6923076923076923,0.46153846153846156,5.128205128205127,0.6205128205128202,7.692307692307691,0.0
#epilogue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#prologue,#abraham,#sarah,#satan,#l-ange,#demi-troupe,#isaac,#troupe-de-bergers,#epilogue
#prologue,,,,,,,,,
#abraham,0.01818181818181818,0.01818181818181818,0.2545454545454545,0.2,0.09090909090909091,0.0,0.34545454545454546,0.07272727272727272,0.0
#sarah,0.0,0.8421052631578947,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0
#satan,0.0,0.75,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
#l-ange,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#demi-troupe,0.0,0.07692307692307693,0.0,0.0,0.0,0.8461538461538461,0.0,0.07692307692307693,0.0
#isaac,0.0,0.6296296296296297,0.14814814814814814,0.037037037037037035,0.0,0.07407407407407407,0.0,0.1111111111111111,0.0
#troupe-de-bergers,0.0,0.625,0.0,0.0,0.0,0.0,0.375,0.0,0.0
#epilogue,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
