VALEUR,#angelique,#philipin,#lisette,#la-tante,#leandre,#oronte,#cascaret,#la-montagne
Fréquences (scènes),0.425,0.325,0.675,0.65,0.275,0.675,0.05,0.175
Fréquences(répliques),0.09313511149978138,0.080017490161784,0.1639702667249672,0.2606034105815479,0.06908613904678618,0.1845212068211631,0.0021862702229995625,0.1464801049409707
Confrontation,0.13313609467455623,0.08875739644970414,0.1952662721893491,0.1834319526627219,0.10059171597633136,0.20414201183431951,0.020710059171597635,0.07396449704142012
Déviations,#angelique,#philipin,#lisette,#la-tante,#leandre,#oronte,#cascaret,#la-montagne
#angelique,13.225000000000001,0.4209276018099549,0.019662309368191837,0.09977375565610873,0.09745989304812853,0.20266884531590373,0.8500000000000001,0.00021008403361345138
#philipin,0.4209276018099545,18.22499999999999,0.0057692307692307505,1.4085798816568054,0.693881118881119,0.8775641025641028,0.18846153846153843,0.2310439560439561
#lisette,0.019662309368191692,0.0057692307692307505,4.224999999999998,0.136894586894587,0.04452861952861941,0.08233882030178345,0.09074074074074079,0.11124338624338613
#la-tante,0.09977375565610841,1.4085798816568054,0.136894586894587,4.899999999999997,0.18496503496503508,0.11980056980056968,0.06923076923076925,0.04450549450549454
#leandre,0.0974598930481283,0.693881118881119,0.04452861952861941,0.18496503496503508,21.024999999999995,0.04452861952861941,3.8227272727272723,2.2366883116883125
#oronte,0.20266884531590423,0.8775641025641028,0.08233882030178345,0.11980056980056968,0.04452861952861941,4.224999999999998,0.09074074074074079,0.016005291005291047
#cascaret,0.85,0.18846153846153843,0.09074074074074079,0.06923076923076925,3.8227272727272723,0.09074074074074079,36.099999999999994,1.2071428571428573
#la-montagne,0.00021008403361344387,0.2310439560439561,0.1112433862433864,0.04450549450549454,2.2366883116883107,0.016005291005290943,1.2071428571428566,27.225000000000005
Successions,#angelique,#philipin,#lisette,#la-tante,#leandre,#oronte,#cascaret,#la-montagne
#angelique,0.0,0.08,0.21,0.26,0.04,0.3,0.0,0.11
#philipin,0.13432835820895522,0.0,0.44776119402985076,0.19402985074626866,0.014925373134328358,0.13432835820895522,0.0,0.07462686567164178
#lisette,0.1736111111111111,0.19444444444444445,0.0,0.2986111111111111,0.08333333333333333,0.1736111111111111,0.0,0.0763888888888889
#la-tante,0.09491525423728814,0.07457627118644068,0.14915254237288136,0.003389830508474576,0.17966101694915254,0.2677966101694915,0.010169491525423728,0.22033898305084745
#leandre,0.05747126436781609,0.0,0.20689655172413793,0.5977011494252874,0.011494252873563218,0.08045977011494253,0.0,0.04597701149425287
#oronte,0.15384615384615385,0.01775147928994083,0.14792899408284024,0.5443786982248521,0.0650887573964497,0.0,0.0,0.07100591715976332
#cascaret,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25
#la-montagne,0.07207207207207207,0.05405405405405406,0.05405405405405406,0.5855855855855856,0.04504504504504504,0.17117117117117117,0.009009009009009009,0.009009009009009009
