VALEUR,#melpomene,#polimnie,#la-magie,#melpomene #polimnie,#ensemble,#l-amour,#le-choeur,#scanderberg,#osman,#roxane,#sultanes,#une-sultane,#le-choeur #roxane,#bostangis #sultanes,#servilie,#amurat,#une-grecque,#choeur-des-grecques,#la-grecque,#choeur-des-janissaires,#le-vizir,#l-aga-des-janissaires,#scanderberg #servilie,#deux-scythes,#une-asiatique,#une-italienne,#choeur-de-peuples,#une-odalisque,#le-muphti
#le-choeur,0.023809523809523826,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.8571428571428571,1.7857142857142858,14.285714285714286,1.219047619047619,0.5714285714285714,0.5,1.7857142857142858,1.7857142857142858,1.7857142857142858,0.2857142857142857,0.9603174603174606,2.293650793650793,1.7857142857142858,1.7857142857142858,1.7857142857142858,0.2857142857142857,0.2857142857142857,1.7857142857142858,0.5714285714285714,1.7857142857142858,1.7857142857142858,1.7857142857142858,0.2857142857142857,1.7857142857142858,1.7857142857142858
#scanderberg,1.607142857142857,1.0714285714285714,0.5357142857142857,0.5357142857142857,0.09603174603174612,0.5357142857142857,1.219047619047619,6.035714285714288,0.8047619047619048,0.016666666666666666,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.4023809523809524,0.28809523809523774,0.6880952380952385,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.4023809523809524,0.4023809523809524,0.4023809523809524,0.8047619047619048,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5357142857142857
#osman,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.5714285714285714,0.8047619047619048,24.142857142857146,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857142,12.071428571428573,0.6428571428571429,0.6428571428571429,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#roxane,0.75,0.5,0.25,0.25,0.08333333333333333,0.25,0.5,0.016666666666666666,0.5,15.75,2.25,2.25,2.25,2.25,0.027777777777777776,0.6944444444444444,0.25,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25
#sultanes,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.5357142857142857,0.07142857142857142,2.25,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#sultanes,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.5357142857142857,0.07142857142857142,2.25,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#sultanes,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.5357142857142857,0.07142857142857142,2.25,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#bostangis #sultanes,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.2857142857142857,0.4023809523809524,12.071428571428573,2.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#servilie,0.9642857142857142,0.6428571428571428,0.3214285714285714,0.3214285714285714,0.00132275132275133,0.3214285714285714,0.9603174603174602,0.28809523809523824,0.6428571428571428,0.027777777777777776,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,12.89285714285714,0.4237213403880067,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,2.8650793650793656,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,1.4325396825396828
#amurat,0.9642857142857142,0.6428571428571428,0.3214285714285714,0.3214285714285714,0.9642857142857142,0.3214285714285714,2.2936507936507944,0.688095238095238,0.6428571428571428,0.6944444444444444,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.3214285714285714,0.4237213403880067,12.89285714285714,1.4325396825396828,1.4325396825396828,1.4325396825396828,0.3214285714285714,0.3214285714285714,1.4325396825396828,0.6428571428571428,1.4325396825396828,1.4325396825396828,1.4325396825396828,0.3214285714285714,1.4325396825396828,1.4325396825396828
#une-grecque,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,1.4325396825396826,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#une-grecque,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,1.4325396825396826,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#une-grecque,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,1.4325396825396826,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#choeur-des-janissaires,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.2857142857142857,0.4023809523809524,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#choeur-des-janissaires,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.2857142857142857,0.4023809523809524,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#l-aga-des-janissaires,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.4023809523809524,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,1.4325396825396826,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#scanderberg #servilie,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.5714285714285714,0.8047619047619048,0.14285714285714285,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,2.865079365079365,0.6428571428571429,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,24.142857142857146,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#deux-scythes,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,1.4325396825396826,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571
#deux-scythes,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,1.4325396825396826,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571
#deux-scythes,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,1.4325396825396826,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,26.03571428571429,26.03571428571429,26.03571428571429,0.03571428571428571,0.03571428571428571,0.03571428571428571
#choeur-de-peuples,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.2857142857142857,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,0.03571428571428571,0.03571428571428571
#une-odalisque,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,1.4325396825396826,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,0.03571428571428571
#le-muphti,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,1.7857142857142858,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,1.4325396825396826,1.4325396825396826,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429
Successions,#melpomene,#polimnie,#la-magie,#melpomene #polimnie,#ensemble,#l-amour,#le-choeur,#scanderberg,#osman,#roxane,#sultanes,#une-sultane,#le-choeur #roxane,#bostangis #sultanes,#servilie,#amurat,#une-grecque,#choeur-des-grecques,#la-grecque,#choeur-des-janissaires,#le-vizir,#l-aga-des-janissaires,#scanderberg #servilie,#deux-scythes,#une-asiatique,#une-italienne,#choeur-de-peuples,#une-odalisque,#le-muphti
#melpomene,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#polimnie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#polimnie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#polimnie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-amour,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555
#scanderberg,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.019230769230769232,0.038461538461538464,0.09615384615384616,0.40384615384615385,0.0,0.0,0.0,0.019230769230769232,0.2692307692307692,0.07692307692307693,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0
#osman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#roxane,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.6363636363636364,0.06060606060606061,0.06060606060606061,0.0,0.030303030303030304,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.0,0.0
#sultanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-sultane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sultanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sultanes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#servilie,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.43333333333333335,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#amurat,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.23333333333333334,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.36666666666666664,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.1
#une-grecque,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-grecque,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-grecque,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-grecque,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-vizir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-aga-des-janissaires,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#scanderberg #servilie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-grecque,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-asiatique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#une-italienne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#choeur-de-peuples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-grecque,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-muphti,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
