VALEUR,#melpomene,#polimnie,#la-magie,#melpomene #polimnie,#ensemble,#l-amour,#le-choeur,#scanderberg,#osman,#roxane,#sultanes,#une-sultane,#le-choeur #roxane,#bostangis #sultanes,#servilie,#amurat,#une-grecque,#choeur-des-grecques,#la-grecque,#choeur-des-janissaires,#le-vizir,#l-aga-des-janissaires,#scanderberg #servilie,#deux-scythes,#une-asiatique,#une-italienne,#choeur-de-peuples,#une-odalisque,#le-muphti
Fréquences (scènes),0.10714285714285714,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.2857142857142857,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
Fréquences(répliques),0.02987012987012987,0.006493506493506494,0.02207792207792208,0.003896103896103896,0.007792207792207792,0.045454545454545456,0.05844155844155844,0.18311688311688312,0.032467532467532464,0.18571428571428572,0.007792207792207792,0.02857142857142857,0.0025974025974025974,0.005194805194805195,0.10909090909090909,0.2,0.012987012987012988,0.003896103896103896,0.0012987012987012987,0.003896103896103896,0.0012987012987012987,0.007792207792207792,0.003896103896103896,0.012987012987012988,0.0,0.011688311688311689,0.0025974025974025974,0.0025974025974025974,0.006493506493506494
Confrontation,0.036458333333333336,0.026041666666666668,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.010416666666666666,0.11979166666666667,0.13020833333333334,0.020833333333333332,0.078125,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.015625,0.08854166666666667,0.11458333333333333,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.015625,0.026041666666666668,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.010416666666666666,0.015625
Déviations,#melpomene,#polimnie,#la-magie,#melpomene #polimnie,#ensemble,#l-amour,#le-choeur,#scanderberg,#osman,#roxane,#sultanes,#une-sultane,#le-choeur #roxane,#bostangis #sultanes,#servilie,#amurat,#une-grecque,#choeur-des-grecques,#la-grecque,#choeur-des-janissaires,#le-vizir,#l-aga-des-janissaires,#scanderberg #servilie,#deux-scythes,#une-asiatique,#une-italienne,#choeur-de-peuples,#une-odalisque,#le-muphti
#melpomene,22.321428571428577,14.880952380952383,7.440476190476192,7.440476190476192,1.4325396825396828,7.440476190476192,0.023809523809523826,1.6071428571428572,0.21428571428571427,0.75,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.9642857142857144,0.9642857142857144,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.21428571428571427,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714
#polimnie,14.880952380952383,24.142857142857146,12.071428571428573,12.071428571428573,2.880952380952381,0.07142857142857142,0.5714285714285714,1.0714285714285714,0.14285714285714285,0.5,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.6428571428571429,0.6428571428571429,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142
#la-magie,7.440476190476192,12.071428571428573,26.03571428571429,26.03571428571429,7.440476190476192,0.03571428571428571,0.2857142857142857,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#la-magie,7.440476190476192,12.071428571428573,26.03571428571429,26.03571428571429,7.440476190476192,0.03571428571428571,0.2857142857142857,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
#ensemble,1.4325396825396828,2.880952380952381,7.440476190476192,7.440476190476192,22.321428571428577,0.10714285714285714,0.8571428571428571,0.09603174603174601,0.21428571428571427,0.08333333333333333,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.0013227513227513134,0.9642857142857144,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.21428571428571427,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714
#l-amour,7.440476190476192,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.10714285714285714,26.03571428571429,1.7857142857142858,0.5357142857142857,0.07142857142857142,0.25,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.32142857142857145,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
