VALEUR,#arlequin,#le-chat,#adario,#sastaretsi,#ogres,#choeur-d-ogres,#le-vieux-ogre,#choeur,#pierrot,#premier-marmiton,#second-marmiton,#le-pourvoyeur,#la-française,#les-ogres-et-les-ogresses,#premier-grivois,#deuxieme-grivois,#troisieme-grivois,#scaramouche,#la-circassienne,#les-danseuses
Fréquences (scènes),0.9090909090909091,0.09090909090909091,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.045454545454545456
Fréquences(répliques),0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.2441860465116279,0.023255813953488372,0.18604651162790697,0.06976744186046512,0.029069767441860465,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.06976744186046512,0.011627906976744186,0.011627906976744186,0.08139534883720931,0.023255813953488372,0.046511627906976744,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.0755813953488372,0.011627906976744186,0.011627906976744186
Déviations,#arlequin,#le-chat,#adario,#sastaretsi,#ogres,#choeur-d-ogres,#le-vieux-ogre,#choeur,#pierrot,#premier-marmiton,#second-marmiton,#le-pourvoyeur,#la-française,#les-ogres-et-les-ogresses,#premier-grivois,#deuxieme-grivois,#troisieme-grivois,#scaramouche,#la-circassienne,#les-danseuses
#arlequin,0.18181818181818224,0.018181818181818146,0.10909090909090927,0.03636363636363629,0.018181818181818146,0.009090909090909073,0.009090909090909073,0.009090909090909073,0.06545454545454533,0.9090909090909092,0.9090909090909092,0.03636363636363629,0.009090909090909073,0.018181818181818146,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.05454545454545463,0.009090909090909073,0.009090909090909073
#le-chat,0.018181818181818195,18.18181818181818,0.007575757575757562,1.1136363636363635,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.09090909090909091
#adario,0.10909090909090927,0.007575757575757562,4.545454545454547,1.5151515151515156,0.7575757575757578,0.3787878787878789,0.3787878787878789,0.3787878787878789,0.027272727272727317,0.5454545454545454,0.5454545454545454,0.30681818181818193,0.3787878787878789,0.7575757575757578,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.578282828282828,0.5454545454545454,0.5454545454545454
#sastaretsi,0.03636363636363639,1.1136363636363635,1.5151515151515156,14.727272727272725,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.9090909090909091,0.18181818181818182,0.18181818181818182,0.10227272727272725,0.18181818181818182,1.1136363636363635,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.007575757575757562,0.18181818181818182,0.18181818181818182
#ogres,0.018181818181818195,0.18181818181818182,0.7575757575757578,0.36363636363636365,18.18181818181818,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.09090909090909091,3.681818181818181,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.09090909090909091,0.09090909090909091
#choeur-d-ogres,0.009090909090909097,0.09090909090909091,0.3787878787878789,0.18181818181818182,0.09090909090909091,20.045454545454547,20.045454545454547,20.045454545454547,0.22727272727272727,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.2727272727272727,0.045454545454545456,0.045454545454545456
