VALEUR,#gregoire,#une-suivante,#prestine,#gregoire #prestine,#glycere,#les-deux-peres,#daphnis,#le-pere-de-glycere #le-pere-de-daphnis #daphnis #glycere,#phebe,#le-pere-de-daphnis,#le-pere-de-glycere,#les-deux-peres #prestine #daphnis,#tous-ensemble,#gregoire #daphnis,#les-deux-peres #glycere,#ensemble,#prestine #les-deux-peres #glycere #daphnis
Fréquences (scènes),0.3076923076923077,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.5384615384615384,0.23076923076923078,0.5384615384615384,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
Fréquences(répliques),0.13953488372093023,0.09883720930232558,0.25387596899224807,0.0,0.11627906976744186,0.003875968992248062,0.13565891472868216,0.0,0.007751937984496124,0.17054263565891473,0.060077519379844964,0.0,0.001937984496124031,0.0,0.003875968992248062,0.007751937984496124,0.0
Confrontation,0.07386363636363637,0.005681818181818182,0.13068181818181818,0.011363636363636364,0.14772727272727273,0.08522727272727272,0.13636363636363635,0.022727272727272728,0.017045454545454544,0.11363636363636363,0.11363636363636363,0.045454545454545456,0.045454545454545456,0.011363636363636364,0.017045454545454544,0.017045454545454544,0.005681818181818182
Déviations,#gregoire,#une-suivante,#prestine,#gregoire #prestine,#glycere,#les-deux-peres,#daphnis,#le-pere-de-glycere #le-pere-de-daphnis #daphnis #glycere,#phebe,#le-pere-de-daphnis,#le-pere-de-glycere,#les-deux-peres #prestine #daphnis,#tous-ensemble,#gregoire #daphnis,#les-deux-peres #glycere,#ensemble,#prestine #les-deux-peres #glycere #daphnis
#gregoire,6.23076923076923,1.5576923076923075,0.012820512820512803,1.5576923076923075,0.618131868131868,0.006410256410256401,0.010989010989010974,0.3076923076923077,0.3076923076923077,0.38782051282051294,0.38782051282051294,1.5576923076923075,1.5576923076923075,1.5576923076923075,0.3076923076923077,0.3076923076923077,0.3076923076923077
#une-suivante,1.5576923076923075,11.076923076923078,0.46153846153846156,0.07692307692307693,0.5384615384615384,0.23076923076923078,0.5384615384615384,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#prestine,0.012820512820512803,0.46153846153846156,3.7692307692307696,0.6282051282051281,0.1831501831501831,0.27350427350427353,0.1831501831501831,0.6282051282051281,0.6282051282051281,0.019230769230769242,0.019230769230769242,0.6282051282051281,0.6282051282051281,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156
#gregoire #prestine,1.5576923076923075,0.07692307692307693,0.6282051282051281,11.076923076923078,0.5384615384615384,0.23076923076923078,0.5384615384615384,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#glycere,0.6181318681318684,0.5384615384615385,0.1831501831501831,0.5384615384615385,2.7692307692307696,1.1868131868131866,0.014128728414442708,0.3956043956043954,0.3956043956043954,0.1831501831501831,0.1831501831501831,0.3956043956043954,0.3956043956043954,0.5384615384615385,0.3956043956043954,0.3956043956043954,0.5384615384615385
#les-deux-peres,0.006410256410256401,0.23076923076923078,0.27350427350427353,0.23076923076923078,1.1868131868131866,7.692307692307691,0.09157509157509156,2.5641025641025634,0.23076923076923078,0.10683760683760682,0.27350427350427353,2.5641025641025634,2.5641025641025634,0.23076923076923078,0.23076923076923078,2.5641025641025634,0.23076923076923078
