VALEUR,#le-diable,#monsieur-simon,#sanchette,#therese,#lisette,#bertrand,#madame-simon,#vivarez,#la-presidente,#le-major,#le-chevalier,#un-laquais,#le-president,#la-major,#tous-ensemble
Fréquences (scènes),0.35714285714285715,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.6428571428571429,0.07142857142857142,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
Fréquences(répliques),0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.05555555555555555,0.0,0.0
Confrontation,0.04887218045112782,0.045112781954887216,0.03007518796992481,0.08270676691729323,0.13909774436090225,0.0037593984962406013,0.14285714285714285,0.07518796992481203,0.11654135338345864,0.11654135338345864,0.10150375939849623,0.03383458646616541,0.022556390977443608,0.022556390977443608,0.018796992481203006
Déviations,#le-diable,#monsieur-simon,#sanchette,#therese,#lisette,#bertrand,#madame-simon,#vivarez,#la-presidente,#le-major,#le-chevalier,#un-laquais,#le-president,#la-major,#tous-ensemble
#le-diable,5.785714285714286,4.62857142857143,1.7285714285714293,0.02571428571428569,0.45873015873015877,0.3571428571428571,1.2071428571428569,1.4285714285714284,2.142857142857143,2.142857142857143,1.7857142857142858,0.7142857142857142,0.3571428571428571,0.3571428571428571,1.1571428571428575
#monsieur-simon,4.628571428571427,7.142857142857143,0.642857142857143,0.22857142857142854,0.12698412698412706,0.2857142857142857,0.7232142857142856,1.1428571428571428,1.7142857142857142,1.7142857142857142,1.4285714285714286,0.5714285714285714,0.2857142857142857,0.2857142857142857,1.7857142857142858
#sanchette,1.7285714285714284,0.642857142857143,7.142857142857143,0.1285714285714286,0.12698412698412706,0.2857142857142857,2.2857142857142856,1.1428571428571428,1.7142857142857142,1.7142857142857142,1.4285714285714286,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857
#therese,0.02571428571428569,0.22857142857142873,0.12857142857142848,5.785714285714286,0.014285714285714301,0.3571428571428571,0.45714285714285746,0.12857142857142848,0.009523809523809516,0.009523809523809516,0.02571428571428569,2.314285714285715,0.3571428571428571,0.3571428571428571,1.1571428571428575
#lisette,0.45873015873015877,0.12698412698412687,0.12698412698412687,0.014285714285714301,1.7857142857142847,0.1984126984126985,0.14285714285714304,0.07142857142857152,0.3386243386243389,0.3386243386243389,0.19206349206349202,0.06349206349206343,0.1984126984126985,0.1984126984126985,0.1984126984126985
#bertrand,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.19841269841269835,12.071428571428573,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
#madame-simon,1.207142857142857,0.7232142857142856,2.2857142857142856,0.4571428571428571,0.14285714285714274,0.5714285714285714,2.571428571428572,1.285714285714286,1.928571428571429,1.928571428571429,1.607142857142857,0.642857142857143,0.3214285714285715,0.3214285714285715,0.3214285714285715
#vivarez,1.4285714285714286,1.1428571428571428,1.1428571428571428,0.1285714285714286,0.07142857142857137,0.2857142857142857,1.285714285714286,7.142857142857143,3.0476190476190474,3.0476190476190474,1.7285714285714284,0.3214285714285715,0.2857142857142857,0.2857142857142857,0.2857142857142857
#la-presidente,2.142857142857143,1.7142857142857142,1.7142857142857142,0.009523809523809516,0.3386243386243383,0.42857142857142855,1.928571428571429,3.0476190476190474,4.571428571428573,4.571428571428573,3.8095238095238098,0.023809523809523826,0.7619047619047619,0.7619047619047619,0.42857142857142855
#la-presidente,2.142857142857143,1.7142857142857142,1.7142857142857142,0.009523809523809516,0.3386243386243383,0.42857142857142855,1.928571428571429,3.0476190476190474,4.571428571428573,4.571428571428573,3.8095238095238098,0.023809523809523826,0.7619047619047619,0.7619047619047619,0.42857142857142855
#le-chevalier,1.7857142857142858,1.4285714285714284,1.4285714285714284,0.02571428571428569,0.19206349206349202,0.3571428571428571,1.6071428571428579,1.7285714285714293,3.8095238095238098,3.8095238095238098,5.785714285714286,0.11428571428571437,1.1571428571428575,1.1571428571428575,0.3571428571428571
#un-laquais,0.7142857142857143,0.5714285714285714,0.5714285714285714,2.3142857142857136,0.06349206349206353,0.14285714285714285,0.642857142857143,0.3214285714285715,0.023809523809523826,0.023809523809523826,0.11428571428571427,10.285714285714288,0.14285714285714285,0.14285714285714285,0.14285714285714285
#le-president,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.19841269841269835,0.07142857142857142,0.3214285714285715,0.2857142857142857,0.7619047619047619,0.7619047619047619,1.1571428571428568,0.14285714285714285,12.071428571428573,12.071428571428573,0.07142857142857142
