VALEUR,#aricie,#hipolyte,#hipolyte #aricie,#phedre,#oenone,#thesee,#tisiphone,#pluton,#choeur-de-demons,#les-parques,#choeur,#mercure,#hypolite,#une-matelotte,#ensemble,#diane,#tous,#bucherons
Fréquences (scènes),0.38095238095238093,0.38095238095238093,0.14285714285714285,0.23809523809523808,0.19047619047619047,0.38095238095238093,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0
Fréquences(répliques),0.18194070080862534,0.18194070080862534,0.018867924528301886,0.15363881401617252,0.03234501347708895,0.18328840970350405,0.04582210242587601,0.07547169811320754,0.013477088948787063,0.014824797843665768,0.013477088948787063,0.016172506738544475,0.004043126684636119,0.009433962264150943,0.03638814016172507,0.016172506738544475,0.0026954177897574125,0.0
Confrontation,0.12280701754385964,0.14035087719298245,0.07017543859649122,0.07017543859649122,0.06140350877192982,0.12280701754385964,0.043859649122807015,0.07894736842105263,0.008771929824561403,0.06140350877192982,0.05263157894736842,0.03508771929824561,0.02631578947368421,0.008771929824561403,0.02631578947368421,0.03508771929824561,0.03508771929824561,0.0
Déviations,#aricie,#hipolyte,#hipolyte #aricie,#phedre,#oenone,#thesee,#tisiphone,#pluton,#choeur-de-demons,#les-parques,#choeur,#mercure,#hypolite,#une-matelotte,#ensemble,#diane,#tous,#bucherons
#aricie,8.04761904761905,2.860119047619048,3.0178571428571432,0.4297619047619047,1.5238095238095237,3.0476190476190474,0.7619047619047619,1.5238095238095237,0.38095238095238093,0.7619047619047619,0.07440476190476193,0.38095238095238093,0.38095238095238093,0.38095238095238093,1.0059523809523812,1.0059523809523812,1.0059523809523812,0.0
#hipolyte,2.860119047619048,8.04761904761905,3.0178571428571432,0.004761904761904773,0.18005952380952375,3.0476190476190474,0.7619047619047619,1.5238095238095237,0.38095238095238093,0.7619047619047619,0.07440476190476193,0.38095238095238093,0.38095238095238093,0.38095238095238093,1.0059523809523812,1.0059523809523812,1.0059523809523812,0.0
#hipolyte #aricie,3.0178571428571432,3.0178571428571432,15.428571428571432,0.7142857142857142,0.5714285714285714,1.1428571428571428,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,5.142857142857144,5.142857142857144,0.0
#phedre,0.4297619047619047,0.004761904761904773,0.7142857142857142,12.19047619047619,4.402380952380953,0.4297619047619047,0.47619047619047616,0.9523809523809523,0.23809523809523808,0.47619047619047616,0.47619047619047616,0.23809523809523808,2.438095238095238,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.0
#oenone,1.5238095238095237,0.18005952380952375,0.5714285714285714,4.402380952380953,13.761904761904763,0.14880952380952386,0.38095238095238093,0.7619047619047619,0.19047619047619047,0.38095238095238093,0.38095238095238093,0.19047619047619047,3.4404761904761907,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0
#thesee,3.0476190476190474,3.0476190476190474,1.1428571428571428,0.4297619047619047,0.14880952380952386,8.04761904761905,2.0119047619047623,1.430059523809524,0.38095238095238093,2.0119047619047623,0.07440476190476193,1.0059523809523812,1.0059523809523812,1.0059523809523812,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.0
#tisiphone,0.7619047619047619,0.7619047619047619,0.2857142857142857,0.47619047619047616,0.38095238095238093,2.0119047619047623,17.190476190476193,1.0059523809523812,0.09523809523809523,3.4404761904761907,0.19047619047619047,8.595238095238097,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.0
#pluton,1.5238095238095237,1.5238095238095237,0.5714285714285714,0.9523809523809523,0.7619047619047619,1.430059523809524,1.0059523809523812,13.761904761904763,3.4404761904761907,6.880952380952381,1.0059523809523812,3.4404761904761907,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0
#choeur-de-demons,0.38095238095238093,0.38095238095238093,0.14285714285714285,0.23809523809523808,0.19047619047619047,0.38095238095238093,0.09523809523809523,3.4404761904761907,19.047619047619047,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0
#les-parques,0.7619047619047619,0.7619047619047619,0.2857142857142857,0.47619047619047616,0.38095238095238093,2.0119047619047623,3.4404761904761907,6.880952380952381,0.09523809523809523,17.190476190476193,3.4404761904761907,8.595238095238097,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.0
#choeur,0.07440476190476193,0.07440476190476193,0.2857142857142857,0.47619047619047616,0.38095238095238093,0.07440476190476193,0.19047619047619047,1.0059523809523812,0.09523809523809523,3.4404761904761907,17.190476190476193,0.09523809523809523,0.09523809523809523,0.09523809523809523,8.595238095238097,0.09523809523809523,0.09523809523809523,0.0
#mercure,0.38095238095238093,0.38095238095238093,0.14285714285714285,0.23809523809523808,0.19047619047619047,1.0059523809523812,8.595238095238097,3.4404761904761907,0.047619047619047616,8.595238095238097,0.09523809523809523,19.047619047619047,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0
#hypolite,0.38095238095238093,0.38095238095238093,0.14285714285714285,2.438095238095238,3.4404761904761907,1.0059523809523812,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.047619047619047616,19.047619047619047,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0
#une-matelotte,0.38095238095238093,0.38095238095238093,0.14285714285714285,0.23809523809523808,0.19047619047619047,1.0059523809523812,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616,19.047619047619047,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0
#ensemble,1.0059523809523812,1.0059523809523812,0.14285714285714285,0.23809523809523808,0.19047619047619047,0.38095238095238093,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.09523809523809523,8.595238095238097,0.047619047619047616,0.047619047619047616,0.047619047619047616,19.047619047619047,0.047619047619047616,0.047619047619047616,0.0
#diane,1.0059523809523812,1.0059523809523812,5.142857142857144,0.23809523809523808,0.19047619047619047,0.38095238095238093,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,19.047619047619047,19.047619047619047,0.0
#diane,1.0059523809523812,1.0059523809523812,5.142857142857144,0.23809523809523808,0.19047619047619047,0.38095238095238093,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,19.047619047619047,19.047619047619047,0.0
#bucherons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#aricie,#hipolyte,#hipolyte #aricie,#phedre,#oenone,#thesee,#tisiphone,#pluton,#choeur-de-demons,#les-parques,#choeur,#mercure,#hypolite,#une-matelotte,#ensemble,#diane,#tous,#bucherons
#aricie,0.06060606060606061,0.7272727272727273,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0
#hipolyte,0.6216216216216216,0.0,0.05405405405405406,0.24324324324324326,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#hipolyte #aricie,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
#phedre,0.2,0.4,0.0,0.08,0.2,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
#oenone,0.0,0.0,0.0,0.5454545454545454,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thesee,0.0,0.023809523809523808,0.0,0.047619047619047616,0.11904761904761904,0.047619047619047616,0.40476190476190477,0.16666666666666666,0.023809523809523808,0.07142857142857142,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0
#tisiphone,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pluton,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-de-demons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
