VALEUR,#cloriande,#coryleon,#un-ecuyer,#roseline,#aristandre,#l-exempt,#camille,#menipe,#felismon,#le-geolier,#adraste,#le-medecin,#garde-i,#garde-ii,#garde-iii,#elyse
Fréquences (scènes),0.3225806451612903,0.2903225806451613,0.03225806451612903,0.16129032258064516,0.3225806451612903,0.1935483870967742,0.5161290322580645,0.16129032258064516,0.22580645161290322,0.12903225806451613,0.16129032258064516,0.06451612903225806,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.16129032258064516
Fréquences(répliques),0.1483467381590706,0.13047363717605004,0.009830205540661306,0.016979445933869526,0.15370866845397677,0.04066130473637176,0.22117962466487937,0.06344950848972297,0.03485254691689008,0.044682752457551385,0.064343163538874,0.0160857908847185,0.0035746201966041107,0.0017873100983020554,0.002680965147453083,0.04736371760500447
Confrontation,0.08169934640522876,0.06862745098039216,0.00980392156862745,0.049019607843137254,0.0718954248366013,0.06535947712418301,0.16993464052287582,0.058823529411764705,0.058823529411764705,0.02287581699346405,0.049019607843137254,0.00980392156862745,0.08496732026143791,0.06535947712418301,0.06535947712418301,0.06862745098039216
Déviations,#cloriande,#coryleon,#un-ecuyer,#roseline,#aristandre,#l-exempt,#camille,#menipe,#felismon,#le-geolier,#adraste,#le-medecin,#garde-i,#garde-ii,#garde-iii,#elyse
#cloriande,14.225806451612906,3.3032258064516125,1.4225806451612906,3.5329032258064523,0.18580645161290332,1.935483870967742,0.2612903225806451,0.23290322580645156,0.7009216589861749,0.06532258064516128,1.1929032258064518,0.6451612903225806,1.935483870967742,1.2903225806451613,1.2903225806451613,1.6129032258064515
#coryleon,3.3032258064516125,15.612903225806448,1.7347670250896063,4.473835125448028,0.2810035842293907,0.3160095579450418,1.5062724014336915,0.20716845878136197,0.5243215565796211,1.161290322580645,0.20716845878136197,0.5806451612903225,1.7419354838709677,1.161290322580645,1.161290322580645,1.4516129032258065
#un-ecuyer,1.4225806451612906,1.734767025089606,29.03225806451613,4.361290322580646,0.3225806451612903,0.1935483870967742,0.5161290322580645,0.16129032258064516,0.22580645161290322,0.12903225806451613,0.16129032258064516,0.06451612903225806,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.16129032258064516
#roseline,3.5329032258064523,4.473835125448028,4.361290322580646,21.806451612903224,0.09290322580645166,0.967741935483871,0.13064516129032255,0.04645161290322583,1.129032258064516,0.6451612903225806,0.04645161290322583,0.3225806451612903,0.967741935483871,0.6451612903225806,0.6451612903225806,0.8064516129032258
#aristandre,0.18580645161290332,0.2810035842293907,0.3225806451612903,0.09290322580645166,14.225806451612906,0.4521505376344086,0.13629032258064522,0.23290322580645156,0.7009216589861749,2.265322580645161,0.09290322580645166,0.6451612903225806,1.935483870967742,1.2903225806451613,1.2903225806451613,1.6129032258064515
#l-exempt,1.935483870967742,0.316009557945042,0.1935483870967742,0.967741935483871,0.4521505376344086,20.16129032258065,0.2634408602150538,0.0010752688172042991,1.3548387096774193,0.7741935483870968,0.967741935483871,0.3870967741935484,6.939068100358425,6.399193548387096,6.399193548387096,4.267741935483871
#camille,0.2612903225806451,1.5062724014336921,0.5161290322580645,0.13064516129032255,0.13629032258064522,0.2634408602150538,7.258064516129033,0.7806451612903228,0.041474654377880206,0.4238911290322581,0.13064516129032255,0.9072580645161291,2.7217741935483875,1.8145161290322582,1.8145161290322582,2.268145161290323
#menipe,0.23290322580645156,0.20716845878136197,0.16129032258064516,0.04645161290322583,0.23290322580645156,0.0010752688172042991,0.7806451612903228,21.806451612903224,0.6718894009216592,0.6451612903225806,1.7664516129032262,1.4225806451612906,0.0010752688172042991,0.1951612903225807,0.1951612903225807,0.8064516129032258
#felismon,0.7009216589861749,0.5243215565796211,0.22580645161290322,1.129032258064516,0.7009216589861749,1.3548387096774193,0.041474654377880206,0.6718894009216592,18.580645161290327,0.9032258064516129,3.100460829493088,0.45161290322580644,0.3072196620583718,0.010368663594470051,0.010368663594470051,0.6718894009216592
#le-geolier,0.06532258064516128,1.1612903225806452,0.12903225806451613,0.6451612903225806,2.265322580645161,0.7741935483870968,0.4238911290322581,0.6451612903225806,0.9032258064516129,23.516129032258064,0.6451612903225806,0.25806451612903225,0.7741935483870968,0.5161290322580645,0.5161290322580645,0.6451612903225806
#adraste,1.1929032258064518,0.20716845878136197,0.16129032258064516,0.04645161290322583,0.09290322580645166,0.967741935483871,0.13064516129032255,1.7664516129032262,3.100460829493088,0.6451612903225806,21.806451612903224,0.3225806451612903,0.967741935483871,0.6451612903225806,0.6451612903225806,0.8064516129032258
#le-medecin,0.6451612903225806,0.5806451612903226,0.06451612903225806,0.3225806451612903,0.6451612903225806,0.3870967741935484,0.9072580645161291,1.4225806451612906,0.45161290322580644,0.25806451612903225,0.3225806451612903,27.12903225806452,0.3870967741935484,0.25806451612903225,0.25806451612903225,0.3225806451612903
#garde-i,1.935483870967742,1.741935483870968,0.1935483870967742,0.967741935483871,1.935483870967742,6.939068100358425,2.7217741935483875,0.0010752688172042991,0.3072196620583718,0.7741935483870968,0.967741935483871,0.3870967741935484,20.16129032258065,13.440860215053762,13.440860215053762,16.801075268817204
#garde-ii,1.2903225806451613,1.1612903225806452,0.12903225806451613,0.6451612903225806,1.2903225806451613,6.399193548387096,1.8145161290322582,0.1951612903225807,0.010368663594470051,0.5161290322580645,0.6451612903225806,0.25806451612903225,13.440860215053762,23.516129032258064,23.516129032258064,8.595161290322581
#garde-ii,1.2903225806451613,1.1612903225806452,0.12903225806451613,0.6451612903225806,1.2903225806451613,6.399193548387096,1.8145161290322582,0.1951612903225807,0.010368663594470051,0.5161290322580645,0.6451612903225806,0.25806451612903225,13.440860215053762,23.516129032258064,23.516129032258064,8.595161290322581
#elyse,1.6129032258064515,1.4516129032258065,0.16129032258064516,0.8064516129032258,1.6129032258064515,4.267741935483871,2.268145161290323,0.8064516129032258,0.6718894009216592,0.6451612903225806,0.8064516129032258,0.3225806451612903,16.801075268817204,8.595161290322581,8.595161290322581,21.806451612903224
Successions,#cloriande,#coryleon,#un-ecuyer,#roseline,#aristandre,#l-exempt,#camille,#menipe,#felismon,#le-geolier,#adraste,#le-medecin,#garde-i,#garde-ii,#garde-iii,#elyse
#cloriande,0.0,0.36923076923076925,0.0,0.03076923076923077,0.2923076923076923,0.0,0.1076923076923077,0.0,0.0,0.06153846153846154,0.13846153846153847,0.0,0.0,0.0,0.0,0.0
#coryleon,0.4444444444444444,0.0,0.09259259259259259,0.25925925925925924,0.05555555555555555,0.018518518518518517,0.05555555555555555,0.018518518518518517,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
#un-ecuyer,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
