VALEUR,#cloriande,#coryleon,#un-ecuyer,#roseline,#aristandre,#l-exempt,#camille,#menipe,#felismon,#le-geolier,#adraste,#le-medecin,#garde-i,#garde-ii,#garde-iii,#elyse
#roseline,0.17647058823529413,0.7058823529411765,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aristandre,0.25609756097560976,0.06097560975609756,0.0,0.0,0.0,0.036585365853658534,0.21951219512195122,0.0,0.012195121951219513,0.3780487804878049,0.036585365853658534,0.0,0.0,0.0,0.0,0.0
#l-exempt,0.0,0.047619047619047616,0.0,0.0,0.07142857142857142,0.0,0.7142857142857143,0.047619047619047616,0.0,0.0,0.0,0.0,0.07142857142857142,0.023809523809523808,0.023809523809523808,0.0
#camille,0.03937007874015748,0.007874015748031496,0.0,0.0,0.14173228346456693,0.2440944881889764,0.015748031496062992,0.2047244094488189,0.023622047244094488,0.07086614173228346,0.023622047244094488,0.031496062992125984,0.0,0.0,0.007874015748031496,0.1889763779527559
#menipe,0.0,0.0,0.0,0.0,0.027777777777777776,0.05555555555555555,0.7777777777777778,0.0,0.0,0.0,0.05555555555555555,0.08333333333333333,0.0,0.0,0.0,0.0
#felismon,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.0,0.46153846153846156,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693
#le-geolier,0.09090909090909091,0.022727272727272728,0.0,0.0,0.75,0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#adraste,0.34615384615384615,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.038461538461538464,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-medecin,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#garde-i,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855
#garde-ii,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25
#garde-iii,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5
#elyse,0.0,0.0,0.0,0.0,0.0,0.0,0.7741935483870968,0.0,0.06451612903225806,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.0
