VALEUR,#foirine,#caquire,#cucumane,#crotenmain,#neflairant,#merdillon,#puputant,#caquire #neflairant,#merdedor,#l-esclave,#l-apothicaire
Fréquences (scènes),0.24242424242424243,0.48484848484848486,0.5757575757575758,0.30303030303030304,0.24242424242424243,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.030303030303030304
Fréquences(répliques),0.06865353911655135,0.26663118680149017,0.3304949441192123,0.047897817988291645,0.1303885045236828,0.0633315593400745,0.07716870675891431,0.0005321979776476849,0.006918573709419904,0.007450771687067589,0.0005321979776476849
Confrontation,0.13559322033898305,0.1694915254237288,0.2288135593220339,0.13559322033898305,0.11864406779661017,0.05084745762711865,0.05084745762711865,0.0423728813559322,0.00847457627118644,0.025423728813559324,0.03389830508474576
Déviations,#foirine,#caquire,#cucumane,#crotenmain,#neflairant,#merdillon,#puputant,#caquire #neflairant,#merdedor,#l-esclave,#l-apothicaire
#foirine,18.939393939393938,0.32410037878787873,0.07974481658692194,0.13674242424242422,0.0018939393939393905,0.48484848484848486,0.48484848484848486,0.24242424242424243,0.24242424242424243,0.5473484848484849,2.367424242424242
#caquire,0.32410037878787873,8.757575757575758,1.1200159489633177,3.054734848484849,0.19910037878787884,0.0009469696969696953,0.0009469696969696953,0.5473484848484849,0.48484848484848486,0.0009469696969696953,0.5473484848484849
#cucumane,0.07974481658692194,1.1200159489633177,5.9393939393939394,0.873365231259968,0.5600079744816588,0.019936204146730484,0.019936204146730484,0.3125996810207336,0.3125996810207336,0.019936204146730484,0.3125996810207336
#crotenmain,0.13674242424242422,3.054734848484849,0.873365231259968,16.03030303030303,0.07424242424242426,0.6060606060606061,0.25606060606060604,0.30303030303030304,0.30303030303030304,0.6060606060606061,1.6030303030303032
#neflairant,0.0018939393939393905,0.19910037878787884,0.5600079744816588,0.07424242424242426,18.939393939393938,4.734848484848484,0.5473484848484849,2.367424242424242,0.24242424242424243,0.48484848484848486,0.24242424242424243
#merdillon,0.48484848484848486,0.0009469696969696953,0.019936204146730484,0.6060606060606061,4.734848484848484,29.12121212121212,6.371212121212121,14.56060606060606,0.06060606060606061,0.12121212121212122,0.06060606060606061
#puputant,0.48484848484848486,0.0009469696969696953,0.019936204146730484,0.25606060606060604,0.5473484848484849,6.371212121212121,29.12121212121212,14.56060606060606,0.06060606060606061,0.12121212121212122,0.06060606060606061
#caquire #neflairant,0.24242424242424243,0.5473484848484849,0.3125996810207336,0.30303030303030304,2.367424242424242,14.56060606060606,14.56060606060606,31.03030303030303,0.030303030303030304,0.06060606060606061,0.030303030303030304
#merdedor,0.24242424242424243,0.48484848484848486,0.3125996810207336,0.30303030303030304,0.24242424242424243,0.06060606060606061,0.06060606060606061,0.030303030303030304,31.03030303030303,0.06060606060606061,0.030303030303030304
#l-esclave,0.5473484848484849,0.0009469696969696953,0.019936204146730484,0.6060606060606061,0.48484848484848486,0.12121212121212122,0.12121212121212122,0.06060606060606061,0.06060606060606061,29.12121212121212,0.06060606060606061
#l-apothicaire,2.367424242424242,0.5473484848484849,0.3125996810207336,1.6030303030303032,0.24242424242424243,0.06060606060606061,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.06060606060606061,31.03030303030303
Successions,#foirine,#caquire,#cucumane,#crotenmain,#neflairant,#merdillon,#puputant,#caquire #neflairant,#merdedor,#l-esclave,#l-apothicaire
#foirine,0.0,0.7407407407407407,0.2222222222222222,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#caquire,0.2926829268292683,0.036585365853658534,0.32926829268292684,0.0,0.17073170731707318,0.012195121951219513,0.12195121951219512,0.0,0.0,0.024390243902439025,0.012195121951219513
#cucumane,0.047619047619047616,0.36904761904761907,0.05952380952380952,0.39285714285714285,0.047619047619047616,0.011904761904761904,0.011904761904761904,0.0,0.023809523809523808,0.03571428571428571,0.0
#crotenmain,0.0,0.05405405405405406,0.918918918918919,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0
#neflairant,0.0,0.34375,0.15625,0.0625,0.0625,0.21875,0.15625,0.0,0.0,0.0,0.0
#merdillon,0.0,0.0,0.2,0.0,0.5,0.0,0.3,0.0,0.0,0.0,0.0
#puputant,0.0,0.6,0.0,0.05,0.25,0.05,0.0,0.05,0.0,0.0,0.0
#caquire #neflairant,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#merdedor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-esclave,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-apothicaire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
