VALEUR,#manette,#madame-lanoue,#perrel,#madame-leger,#monsieur-leger,#monsieur-tassin,#le-fermier,#la-fermiere,#claudine,#le-maitre-de-poste,#bonnemain,#le-peuple,#une-jeune-fille,#jeune-fille,#plusieurs-paysans,#un-paysan
Fréquences (scènes),0.23076923076923078,0.8461538461538461,0.15384615384615385,0.6153846153846154,0.5384615384615384,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0
Confrontation,0.008620689655172414,0.15948275862068967,0.008620689655172414,0.14655172413793102,0.1206896551724138,0.09913793103448276,0.08620689655172414,0.11206896551724138,0.02586206896551724,0.0603448275862069,0.034482758620689655,0.034482758620689655,0.02586206896551724,0.02586206896551724,0.02586206896551724,0.02586206896551724
Déviations,#manette,#madame-lanoue,#perrel,#madame-leger,#monsieur-leger,#monsieur-tassin,#le-fermier,#la-fermiere,#claudine,#le-maitre-de-poste,#bonnemain,#le-peuple,#une-jeune-fille,#jeune-fille,#plusieurs-paysans,#un-paysan
#manette,7.692307692307691,0.9324009324009324,0.6282051282051281,1.8461538461538463,1.6153846153846154,0.9230769230769231,0.6923076923076923,0.9230769230769231,0.23076923076923078,0.46153846153846156,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
#madame-lanoue,0.9324009324009327,0.30769230769230743,0.28321678321678334,0.22377622377622344,0.19580419580419603,0.11188811188811172,0.0839160839160838,0.11188811188811172,0.02797202797202793,0.05594405594405586,0.02797202797202793,0.02797202797202793,0.02797202797202793,0.02797202797202793,0.02797202797202793,0.02797202797202793
#perrel,0.6282051282051281,0.2832167832167832,9.307692307692307,1.2307692307692308,1.0769230769230769,0.6153846153846154,0.46153846153846156,0.6153846153846154,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
#madame-leger,1.8461538461538463,0.2237762237762238,1.2307692307692308,1.9230769230769227,0.664835164835165,0.9615384615384613,0.7211538461538459,0.9615384615384613,0.24038461538461534,0.48076923076923067,0.24038461538461534,0.24038461538461534,0.24038461538461534,0.24038461538461534,0.24038461538461534,0.24038461538461534
#monsieur-leger,1.6153846153846154,0.1958041958041957,1.076923076923077,0.6648351648351642,2.7692307692307696,1.5824175824175817,1.1868131868131866,0.3324175824175821,0.3956043956043954,0.7912087912087908,0.3956043956043954,0.3956043956043954,0.5384615384615385,0.5384615384615385,0.5384615384615385,0.5384615384615385
#monsieur-tassin,0.9230769230769231,0.1118881118881119,0.6153846153846154,0.9615384615384613,1.5824175824175828,6.23076923076923,4.673076923076922,2.5432692307692304,1.5576923076923075,3.115384615384615,1.5576923076923075,1.5576923076923075,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077
