VALEUR,#le-roi,#aristodeme,#epebole,#alcidamas,#tisis,#merope,#argie,#alcmene,#cresphonte
Fréquences (scènes),0.34782608695652173,0.34782608695652173,0.17391304347826086,0.5652173913043478,0.043478260869565216,0.30434782608695654,0.34782608695652173,0.17391304347826086,0.21739130434782608
Fréquences(répliques),0.13910034602076124,0.09550173010380623,0.020761245674740483,0.2643598615916955,0.01245674740484429,0.10173010380622838,0.15501730103806227,0.09480968858131487,0.11626297577854672
Confrontation,0.17796610169491525,0.1694915254237288,0.09322033898305085,0.1864406779661017,0.01694915254237288,0.13559322033898305,0.09322033898305085,0.0423728813559322,0.0847457627118644
Déviations,#le-roi,#aristodeme,#epebole,#alcidamas,#tisis,#merope,#argie,#alcmene,#cresphonte
#le-roi,9.782608695652174,3.7201086956521743,1.8600543478260871,0.05058528428093653,1.2228260869565217,1.0062111801242233,1.1419836956521738,1.391304347826087,0.31413043478260866
#aristodeme,3.7201086956521743,9.782608695652174,1.8600543478260871,0.060200668896321,1.2228260869565217,0.13121118012422353,0.22010869565217386,1.391304347826087,0.31413043478260866
#epebole,1.8600543478260871,1.8600543478260871,15.695652173913043,0.2416387959866222,0.17391304347826086,0.03881987577639754,1.391304347826087,0.6956521739130435,0.019565217391304356
#alcidamas,0.05058528428093653,0.060200668896321,0.2416387959866222,4.347826086956526,0.5652173913043478,0.23124701385570942,0.5121237458193978,0.7031772575250835,0.010702341137123789
#tisis,1.2228260869565217,1.2228260869565217,0.17391304347826086,0.5652173913043478,21.043478260869566,0.30434782608695654,0.34782608695652173,0.17391304347826086,0.21739130434782608
#merope,1.0062111801242233,0.13121118012422353,0.03881987577639754,0.23124701385570942,0.30434782608695654,11.130434782608695,0.13121118012422353,1.2173913043478262,0.1503105590062113
#argie,1.1419836956521738,0.22010869565217386,1.391304347826087,0.5121237458193978,0.34782608695652173,0.13121118012422353,9.782608695652174,0.266304347826087,1.7391304347826086
#alcmene,1.391304347826087,1.391304347826087,0.6956521739130435,0.7031772575250835,0.17391304347826086,1.2173913043478262,0.266304347826087,15.695652173913043,1.4695652173913045
#cresphonte,0.31413043478260866,0.31413043478260866,0.019565217391304356,0.010702341137123789,0.21739130434782608,0.1503105590062111,1.7391304347826086,1.4695652173913045,14.08695652173913
Successions,#le-roi,#aristodeme,#epebole,#alcidamas,#tisis,#merope,#argie,#alcmene,#cresphonte
#le-roi,0.02564102564102564,0.1794871794871795,0.05128205128205128,0.4358974358974359,0.02564102564102564,0.20512820512820512,0.05128205128205128,0.0,0.02564102564102564
#aristodeme,0.3448275862068966,0.0,0.034482758620689655,0.20689655172413793,0.034482758620689655,0.06896551724137931,0.3103448275862069,0.0,0.0
#epebole,0.4444444444444444,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0
#alcidamas,0.19047619047619047,0.15873015873015872,0.07936507936507936,0.015873015873015872,0.0,0.06349206349206349,0.3492063492063492,0.0,0.14285714285714285
#tisis,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#merope,0.27586206896551724,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.0,0.0,0.3448275862068966,0.0,0.20689655172413793
#argie,0.04,0.16,0.0,0.46,0.0,0.18,0.0,0.16,0.0
#alcmene,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0,0.4666666666666667,0.0,0.3333333333333333
#cresphonte,0.09090909090909091,0.0,0.0,0.3181818181818182,0.0,0.2727272727272727,0.0,0.3181818181818182,0.0
