VALEUR,#marie,#kenede,#le-duc,#elisabeth,#le-comte-de-moray,#le-comte-de-kent,#le-duc-de-norfolk,#le-capitaine-des-gardes,#le-comte,#killegre,#les-etats,#le-vicomte-de-herrin,#le-marechal-de-sherobery,#melvin,#amias-paulet,#l-ambassadeur-d-ecosse,#l-ambassadeur-de-france
Fréquences (scènes),0.39285714285714285,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.25,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.17857142857142858,0.14285714285714285,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.07142857142857142
Fréquences(répliques),0.24635993011065813,0.027955736750145604,0.20326150262085033,0.21025043680838673,0.0687245195107746,0.07804309842748981,0.0064065230052417,0.006988934187536401,0.006988934187536401,0.0023296447291788003,0.0029120559114735,0.0314502038439138,0.006988934187536401,0.06231799650553291,0.0017472335468841002,0.020966802562609202,0.016307513104251603
Confrontation,0.08585858585858586,0.09090909090909091,0.10101010101010101,0.09090909090909091,0.08585858585858586,0.10606060606060606,0.025252525252525252,0.025252525252525252,0.015151515151515152,0.015151515151515152,0.04040404040404041,0.09090909090909091,0.08585858585858586,0.04040404040404041,0.010101010101010102,0.045454545454545456,0.045454545454545456
Déviations,#marie,#kenede,#le-duc,#elisabeth,#le-comte-de-moray,#le-comte-de-kent,#le-duc-de-norfolk,#le-capitaine-des-gardes,#le-comte,#killegre,#les-etats,#le-vicomte-de-herrin,#le-marechal-de-sherobery,#melvin,#amias-paulet,#l-ambassadeur-d-ecosse,#l-ambassadeur-de-france
#marie,10.321428571428573,4.733766233766234,0.0012987012987012894,3.142857142857143,1.1136363636363635,1.461038961038961,0.7857142857142857,1.5714285714285714,0.39285714285714285,0.9383116883116885,0.7857142857142857,0.4733766233766235,0.20779220779220778,0.7857142857142857,0.9383116883116885,0.7857142857142857,0.7857142857142857
#kenede,4.733766233766234,14.285714285714286,0.2571428571428572,0.7232142857142856,2.0,0.7232142857142856,0.5714285714285714,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.22857142857142854,0.017857142857142842,0.3214285714285715,1.7857142857142858,0.3214285714285715,0.3214285714285715
#le-duc,0.0012987012987013056,0.25714285714285695,11.571428571428571,1.2071428571428569,0.1,1.2071428571428569,2.314285714285715,1.7285714285714293,1.1571428571428575,1.1571428571428575,0.11428571428571437,0.3457142857142858,0.12857142857142848,0.7142857142857142,0.3571428571428571,0.7142857142857142,0.7142857142857142
#elisabeth,3.142857142857143,0.7232142857142856,1.207142857142857,14.285714285714286,0.0,1.285714285714286,0.3214285714285715,0.017857142857142842,1.7857142857142858,0.2857142857142857,0.5714285714285714,0.1285714285714286,0.017857142857142842,0.3214285714285715,0.2857142857142857,3.5714285714285716,3.5714285714285716
#le-comte-de-moray,1.1136363636363635,2.0,0.1,0.0,15.75,4.5,0.5,1.0,0.25,2.25,4.5,0.45,1.0,0.5,0.25,0.5,0.5
#le-comte-de-kent,1.461038961038961,0.7232142857142856,1.207142857142857,1.285714285714286,4.5,14.285714285714286,0.5714285714285714,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.3214285714285715,0.22857142857142854,3.0178571428571432,0.3214285714285715,0.2857142857142857,0.3214285714285715,0.3214285714285715
