VALEUR,#un-israelite,#un-israelite #une-fille-israelite,#le-choeur,#une-israelite,#esther,#seconde-israelite,#troisieme-israelite,#assuerus,#choeur-d-israelites
Fréquences (scènes),0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.4,0.2
Fréquences(répliques),0.08450704225352113,0.035211267605633804,0.06338028169014084,0.23943661971830985,0.29577464788732394,0.04225352112676056,0.028169014084507043,0.18309859154929578,0.028169014084507043
Confrontation,0.08823529411764706,0.08823529411764706,0.20588235294117646,0.20588235294117646,0.14705882352941177,0.11764705882352941,0.11764705882352941,0.029411764705882353,0.0
Déviations,#un-israelite,#un-israelite #une-fille-israelite,#le-choeur,#une-israelite,#esther,#seconde-israelite,#troisieme-israelite,#assuerus,#choeur-d-israelites
#un-israelite,3.2000000000000006,3.2000000000000006,0.8999999999999999,0.8999999999999999,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004
#un-israelite,3.2000000000000006,3.2000000000000006,0.8999999999999999,0.8999999999999999,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.20000000000000004
#le-choeur,0.8999999999999999,0.8999999999999999,1.7999999999999998,1.7999999999999998,0.049999999999999975,0.8999999999999999,0.8999999999999999,0.8000000000000002,0.4000000000000001
#le-choeur,0.8999999999999999,0.8999999999999999,1.7999999999999998,1.7999999999999998,0.049999999999999975,0.8999999999999999,0.8999999999999999,0.8000000000000002,0.4000000000000001
#esther,0.4000000000000001,0.4000000000000001,0.049999999999999975,0.049999999999999975,1.7999999999999998,0.8999999999999999,0.8999999999999999,0.049999999999999975,0.4000000000000001
#seconde-israelite,0.20000000000000004,0.20000000000000004,0.8999999999999999,0.8999999999999999,0.8999999999999999,3.2000000000000006,3.2000000000000006,0.4000000000000001,0.20000000000000004
#seconde-israelite,0.20000000000000004,0.20000000000000004,0.8999999999999999,0.8999999999999999,0.8999999999999999,3.2000000000000006,3.2000000000000006,0.4000000000000001,0.20000000000000004
#assuerus,0.4000000000000001,0.4000000000000001,0.8000000000000002,0.8000000000000002,0.049999999999999975,0.4000000000000001,0.4000000000000001,1.7999999999999998,0.4000000000000001
#choeur-d-israelites,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.4000000000000001,3.2000000000000006
Successions,#un-israelite,#un-israelite #une-fille-israelite,#le-choeur,#une-israelite,#esther,#seconde-israelite,#troisieme-israelite,#assuerus,#choeur-d-israelites
#un-israelite,,,,,,,,,
#un-israelite #une-fille-israelite,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#une-israelite,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0
#esther,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.7142857142857143,0.0
#seconde-israelite,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#troisieme-israelite,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#assuerus,0.0,0.0,0.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.14285714285714285,0.0
#choeur-d-israelites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
