VALEUR,#madame-robert,#adele,#adele #madame-robert,#le-simple,#ensemble,#brunot,#baron,#dumont,#la-thorilliere,#derval,#baron #la-thorilliere,#baron #derval,#baron #la-thorilliere #derval,#madame-robert #adele #servantes #valets,#madame-robert #adele #derval,#adele #derval,#valets,#choeur,#madame-la-thorilliere,#madame-robert #derval,#madame-robert #le-simple #derval,#moliere
Fréquences (scènes),0.6818181818181818,0.3181818181818182,0.13636363636363635,0.4090909090909091,0.13636363636363635,0.18181818181818182,0.5454545454545454,0.045454545454545456,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091
Fréquences(répliques),0.09234234234234234,0.13963963963963963,0.01126126126126126,0.19369369369369369,0.018018018018018018,0.0,0.12387387387387387,0.0,0.0945945945945946,0.17792792792792791,0.015765765765765764,0.0,0.0,0.0045045045045045045,0.0,0.0,0.009009009009009009,0.018018018018018018,0.04054054054054054,0.0,0.02252252252252252,0.038288288288288286
Confrontation,0.1015625,0.078125,0.029296875,0.078125,0.033203125,0.03515625,0.10546875,0.005859375,0.095703125,0.10546875,0.08203125,0.04296875,0.02734375,0.01171875,0.01953125,0.037109375,0.00390625,0.013671875,0.03515625,0.017578125,0.017578125,0.0234375
Déviations,#madame-robert,#adele,#adele #madame-robert,#le-simple,#ensemble,#brunot,#baron,#dumont,#la-thorilliere,#derval,#baron #la-thorilliere,#baron #derval,#baron #la-thorilliere #derval,#madame-robert #adele #servantes #valets,#madame-robert #adele #derval,#adele #derval,#valets,#choeur,#madame-la-thorilliere,#madame-robert #derval,#madame-robert #le-simple #derval,#moliere
#madame-robert,2.22727272727273,1.0393939393939395,0.0010101010101009888,0.21043771043771026,0.445454545454546,0.027272727272727317,0.004040404040403955,0.14848484848484855,0.03787878787878782,0.09818181818181801,0.29090909090909045,0.0010101010101009888,1.3636363636363635,0.14848484848484855,0.14848484848484855,0.09696969696969691,0.6818181818181818,0.14848484848484855,0.09696969696969691,0.14848484848484855,0.14848484848484855,1.3636363636363635
#adele,1.0393939393939395,10.22727272727273,1.145021645021645,0.006493506493506481,1.145021645021645,0.4155844155844156,0.008658008658008686,0.3181818181818182,0.8311688311688312,0.21038961038961046,0.6233766233766236,1.145021645021645,0.6363636363636364,1.4610389610389614,1.4610389610389614,0.2077922077922078,0.3181818181818182,1.4610389610389614,0.2077922077922078,1.4610389610389614,1.4610389610389614,0.6363636363636364
#adele #madame-robert,0.0010101010101010081,1.1450216450216448,16.40909090909091,0.4865319865319865,0.8535353535353537,0.5454545454545454,0.2474747474747474,0.13636363636363635,0.007575757575757562,0.09696969696969691,0.040404040404040435,0.40909090909090906,1.9393939393939397,0.13636363636363635,0.13636363636363635,1.9393939393939397,0.13636363636363635,0.13636363636363635,1.9393939393939397,0.13636363636363635,0.13636363636363635,1.9393939393939397
#le-simple,0.21043771043771026,0.006493506493506481,0.48653198653198687,7.681818181818182,0.48653198653198687,0.24747474747474754,0.7424242424242419,0.4090909090909091,0.02272727272727276,2.0686868686868687,0.12121212121212141,0.04208754208754202,0.04040404040404038,0.4090909090909091,0.4090909090909091,0.04040404040404038,0.8535353535353533,0.8535353535353533,1.7070707070707065,0.8535353535353533,0.8535353535353533,1.7070707070707065
#ensemble,0.44545454545454555,1.1450216450216448,0.8535353535353537,0.4865319865319865,16.40909090909091,0.3787878787878789,0.2474747474747474,0.13636363636363635,0.007575757575757562,0.2969696969696971,0.040404040404040435,0.8535353535353537,0.2727272727272727,0.13636363636363635,5.469696969696971,1.9393939393939397,0.13636363636363635,0.13636363636363635,0.2727272727272727,0.13636363636363635,0.13636363636363635,0.2727272727272727
#brunot,0.027272727272727317,0.4155844155844156,0.5454545454545454,0.24747474747474754,0.3787878787878789,14.727272727272725,0.015151515151515124,3.681818181818181,0.14204545454545456,0.3681818181818181,0.7575757575757578,0.3787878787878789,0.36363636363636365,0.18181818181818182,3.681818181818181,1.1136363636363635,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.18181818181818182,1.1136363636363635
#baron,0.004040404040404033,0.008658008658008642,0.2474747474747474,0.7424242424242425,0.2474747474747474,0.015151515151515124,4.545454545454547,0.3787878787878789,3.030303030303031,0.05454545454545463,0.911616161616162,1.1363636363636367,0.7575757575757578,0.3787878787878789,0.3787878787878789,0.7575757575757578,0.5454545454545454,0.3787878787878789,0.7575757575757578,0.3787878787878789,0.3787878787878789,0.007575757575757562
#dumont,0.14848484848484855,0.3181818181818182,0.13636363636363635,0.4090909090909091,0.13636363636363635,3.681818181818181,0.3787878787878789,20.045454545454547,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.09090909090909091
#la-thorilliere,0.03787878787878782,0.8311688311688312,0.007575757575757562,0.02272727272727276,0.007575757575757562,0.14204545454545456,3.030303030303031,0.36363636363636365,8.909090909090908,1.5363636363636366,3.640151515151516,3.3409090909090917,2.227272727272727,1.1136363636363635,1.1136363636363635,2.227272727272727,0.36363636363636365,1.1136363636363635,2.227272727272727,1.1136363636363635,1.1136363636363635,0.10227272727272725
