VALEUR,#damon,#leonore,#monsieur-scrupule,#jerome,#nicaise,#louison,#le-choeur,#javotte,#nanette,#babet,#fanchon,#toutes,#monsieur-crincrin,#tous,#premiere-marmotte,#seconde-marmotte,#ensemble
Fréquences (scènes),0.375,0.5,0.25,0.625,0.625,0.375,0.125,0.25,0.375,0.375,0.375,0.375,0.125,0.375,0.125,0.125,0.125
Fréquences(répliques),0.06428571428571428,0.20714285714285716,0.03571428571428571,0.13214285714285715,0.11785714285714285,0.08571428571428572,0.02142857142857143,0.007142857142857143,0.025,0.007142857142857143,0.007142857142857143,0.025,0.06785714285714285,0.039285714285714285,0.08214285714285714,0.04285714285714286,0.03214285714285714
Confrontation,0.013605442176870748,0.030612244897959183,0.023809523809523808,0.10884353741496598,0.10884353741496598,0.08843537414965986,0.027210884353741496,0.05782312925170068,0.08843537414965986,0.08843537414965986,0.08843537414965986,0.07482993197278912,0.030612244897959183,0.0782312925170068,0.030612244897959183,0.030612244897959183,0.030612244897959183
Déviations,#damon,#leonore,#monsieur-scrupule,#jerome,#nicaise,#louison,#le-choeur,#javotte,#nanette,#babet,#fanchon,#toutes,#monsieur-crincrin,#tous,#premiere-marmotte,#seconde-marmotte,#ensemble
#damon,3.125,1.5,0.08333333333333333,1.875,1.875,1.125,0.375,0.75,1.125,1.125,1.125,1.125,0.375,1.125,0.375,0.375,0.375
#leonore,1.5,2.0,1.0,0.9,0.9,1.5,0.5,1.0,1.5,1.5,1.5,0.16666666666666666,0.5,0.16666666666666666,0.5,0.5,0.5
#monsieur-scrupule,0.08333333333333333,1.0,4.5,0.05,0.05,0.75,0.25,0.5,0.75,0.75,0.75,0.08333333333333333,0.25,0.08333333333333333,0.25,0.25,0.25
#jerome,1.875,0.9,0.05,1.125,1.125,0.675,0.225,0.45,0.675,0.675,0.675,0.675,0.225,0.675,0.225,0.225,0.225
#jerome,1.875,0.9,0.05,1.125,1.125,0.675,0.225,0.45,0.675,0.675,0.675,0.675,0.225,0.675,0.225,0.225,0.225
#louison,1.125,1.5,0.75,0.675,0.675,3.125,1.0416666666666667,2.0833333333333335,3.125,3.125,3.125,0.6805555555555556,1.0416666666666667,0.6805555555555556,1.0416666666666667,1.0416666666666667,1.0416666666666667
#le-choeur,0.375,0.5,0.25,0.225,0.225,1.0416666666666667,6.125,2.25,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.125,0.375,0.125,0.125,0.125
#javotte,0.75,1.0,0.5,0.45,0.45,2.0833333333333335,2.25,4.5,2.0833333333333335,2.0833333333333335,2.0833333333333335,2.0833333333333335,2.25,0.08333333333333333,0.25,0.25,0.25
#louison,1.125,1.5,0.75,0.675,0.675,3.125,1.0416666666666667,2.0833333333333335,3.125,3.125,3.125,0.6805555555555556,1.0416666666666667,0.6805555555555556,1.0416666666666667,1.0416666666666667,1.0416666666666667
#louison,1.125,1.5,0.75,0.675,0.675,3.125,1.0416666666666667,2.0833333333333335,3.125,3.125,3.125,0.6805555555555556,1.0416666666666667,0.6805555555555556,1.0416666666666667,1.0416666666666667,1.0416666666666667
#louison,1.125,1.5,0.75,0.675,0.675,3.125,1.0416666666666667,2.0833333333333335,3.125,3.125,3.125,0.6805555555555556,1.0416666666666667,0.6805555555555556,1.0416666666666667,1.0416666666666667,1.0416666666666667
#toutes,1.125,0.16666666666666666,0.08333333333333333,0.675,0.675,0.6805555555555556,1.0416666666666667,2.0833333333333335,0.6805555555555556,0.6805555555555556,0.6805555555555556,3.125,1.0416666666666667,0.6805555555555556,0.375,0.375,0.375
#monsieur-crincrin,0.375,0.5,0.25,0.225,0.225,1.0416666666666667,0.125,2.25,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,6.125,1.0416666666666667,0.125,0.125,0.125
#tous,1.125,0.16666666666666666,0.08333333333333333,0.675,0.675,0.6805555555555556,0.375,0.08333333333333333,0.6805555555555556,0.6805555555555556,0.6805555555555556,0.6805555555555556,1.0416666666666667,3.125,1.0416666666666667,1.0416666666666667,1.0416666666666667
#premiere-marmotte,0.375,0.5,0.25,0.225,0.225,1.0416666666666667,0.125,0.25,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.375,0.125,1.0416666666666667,6.125,6.125,6.125
#premiere-marmotte,0.375,0.5,0.25,0.225,0.225,1.0416666666666667,0.125,0.25,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.375,0.125,1.0416666666666667,6.125,6.125,6.125
#premiere-marmotte,0.375,0.5,0.25,0.225,0.225,1.0416666666666667,0.125,0.25,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.375,0.125,1.0416666666666667,6.125,6.125,6.125
Successions,#damon,#leonore,#monsieur-scrupule,#jerome,#nicaise,#louison,#le-choeur,#javotte,#nanette,#babet,#fanchon,#toutes,#monsieur-crincrin,#tous,#premiere-marmotte,#seconde-marmotte,#ensemble
#damon,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leonore,0.6153846153846154,0.07692307692307693,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-scrupule,0.1111111111111111,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0
