VALEUR,#leonor,#elvire,#isabelle,#lope,#manrique,#alvar,#carlos,#blanche,#un-garde,#raymond
Fréquences (scènes),0.37037037037037035,0.25925925925925924,0.5185185185185185,0.3333333333333333,0.2962962962962963,0.25925925925925924,0.4074074074074074,0.14814814814814814,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.11717495987158909,0.11824505082932049,0.27287319422150885,0.06902086677367576,0.08453718566078117,0.06313536650615302,0.2108079186730872,0.051899411449973246,0.0005350454788657035,0.011771000535045479
Confrontation,0.1346153846153846,0.08333333333333333,0.17307692307692307,0.16025641025641027,0.1282051282051282,0.08974358974358974,0.14102564102564102,0.038461538461538464,0.019230769230769232,0.03205128205128205
Déviations,#leonor,#elvire,#isabelle,#lope,#manrique,#alvar,#carlos,#blanche,#un-garde,#raymond
#leonor,10.703703703703706,0.764021164021164,0.006613756613756609,0.03333333333333328,0.31296296296296283,0.9783068783068783,0.2831649831649829,0.15648148148148142,1.0703703703703706,1.0703703703703706
#elvire,0.764021164021164,14.814814814814815,0.73167044595616,0.7619047619047616,2.074074074074074,0.01889644746787607,0.25444925444925437,0.0013227513227513188,0.25925925925925924,2.1164021164021163
#isabelle,0.006613756613756609,0.73167044595616,6.259259259259261,0.09523809523809508,0.3177910052910052,0.10922146636432341,0.08682058682058671,0.4133597883597885,0.44708994708994715,0.44708994708994715
#lope,0.03333333333333328,0.7619047619047616,0.09523809523809508,12.0,10.66666666666667,0.1904761904761907,0.484848484848485,1.3333333333333333,0.3333333333333333,1.3333333333333337
#manrique,0.31296296296296283,2.074074074074074,0.3177910052910052,10.66666666666667,13.370370370370372,0.4133597883597885,0.16835016835016844,1.1851851851851851,0.2962962962962963,0.2962962962962963
#alvar,0.9783068783068783,0.01889644746787607,0.10922146636432341,0.1904761904761907,0.4133597883597885,14.814814814814815,1.2025012025012023,1.037037037037037,2.1164021164021163,0.25925925925925924
#carlos,0.2831649831649829,0.25444925444925437,0.08682058682058671,0.484848484848485,0.16835016835016844,1.2025012025012023,9.481481481481485,0.2432659932659932,0.4074074074074074,0.8619528619528619
#blanche,0.15648148148148142,0.0013227513227513188,0.4133597883597885,1.3333333333333333,1.1851851851851851,1.037037037037037,0.2432659932659932,19.59259259259259,0.14814814814814814,0.14814814814814814
#un-garde,1.0703703703703706,0.25925925925925924,0.44708994708994715,0.3333333333333333,0.2962962962962963,2.1164021164021163,0.4074074074074074,0.14814814814814814,25.03703703703704,0.037037037037037035
#raymond,1.0703703703703706,2.1164021164021163,0.44708994708994715,1.3333333333333337,0.2962962962962963,0.25925925925925924,0.8619528619528619,0.14814814814814814,0.037037037037037035,25.03703703703704
Successions,#leonor,#elvire,#isabelle,#lope,#manrique,#alvar,#carlos,#blanche,#un-garde,#raymond
#leonor,0.03571428571428571,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.14285714285714285,0.0,0.03571428571428571,0.03571428571428571
#elvire,0.4,0.03333333333333333,0.0,0.0,0.0,0.26666666666666666,0.3,0.0,0.0,0.0
#isabelle,0.058823529411764705,0.029411764705882353,0.058823529411764705,0.1323529411764706,0.17647058823529413,0.058823529411764705,0.22058823529411764,0.25,0.0,0.014705882352941176
#lope,0.09523809523809523,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.19047619047619047,0.0,0.0,0.047619047619047616
#manrique,0.037037037037037035,0.0,0.48148148148148145,0.0,0.0,0.25925925925925924,0.2222222222222222,0.0,0.0,0.0
#alvar,0.0,0.3333333333333333,0.14814814814814814,0.2222222222222222,0.25925925925925924,0.0,0.037037037037037035,0.0,0.0,0.0
#carlos,0.09302325581395349,0.18604651162790697,0.37209302325581395,0.09302325581395349,0.13953488372093023,0.0,0.023255813953488372,0.09302325581395349,0.0,0.0
#blanche,0.09523809523809523,0.0,0.8095238095238095,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0
#un-garde,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#raymond,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
