VALEUR,#don-lope,#cardenie,#dorotee,#barbero,#sancho,#don-quichotte,#reine-de-miconmicon,#don-fernande,#lucinde,#le-valet,#l-ecuyer,#la-reine,#fernande,#le-barbier,#un-archer,#autre-archer,#premier-archer,#les-archers,#le-tambour,#la-comtesse-trifalde,#un-des-demons,#le-demon,#dame-de-la-comtesse
Fréquences (scènes),0.47368421052631576,0.5789473684210527,0.21052631578947367,0.10526315789473684,0.631578947368421,0.631578947368421,0.05263157894736842,0.5263157894736842,0.3684210526315789,0.05263157894736842,0.10526315789473684,0.3684210526315789,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842
Fréquences(répliques),0.10784313725490197,0.06398348813209494,0.054695562435500514,0.0030959752321981426,0.17543859649122806,0.22394220846233232,0.05933952528379773,0.08771929824561403,0.043343653250773995,0.003611971104231166,0.0046439628482972135,0.043859649122807015,0.0015479876160990713,0.010319917440660475,0.006191950464396285,0.0005159958720330237,0.0005159958720330237,0.0005159958720330237,0.0030959752321981426,0.09597523219814241,0.0020639834881320948,0.007223942208462332,0.0005159958720330237
Confrontation,0.09090909090909091,0.11264822134387352,0.025691699604743084,0.01383399209486166,0.116600790513834,0.11067193675889328,0.007905138339920948,0.10474308300395258,0.08102766798418973,0.003952569169960474,0.005928853754940711,0.08893280632411067,0.007905138339920948,0.02766798418972332,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.03359683794466403,0.019762845849802372,0.019762845849802372,0.019762845849802372
Déviations,#don-lope,#cardenie,#dorotee,#barbero,#sancho,#don-quichotte,#reine-de-miconmicon,#don-fernande,#lucinde,#le-valet,#l-ecuyer,#la-reine,#fernande,#le-barbier,#un-archer,#autre-archer,#premier-archer,#les-archers,#le-tambour,#la-comtesse-trifalde,#un-des-demons,#le-demon,#dame-de-la-comtesse
#don-lope,5.263157894736844,2.7559808612440175,0.6447368421052634,1.1695906432748542,0.017543859649122816,0.0823586744639376,0.5847953216374271,0.11461988304093557,0.03007518796992475,0.47368421052631576,0.9473684210526315,0.14118629908103608,0.47368421052631576,0.0029239766081871404,0.5847953216374271,0.5847953216374271,0.5847953216374271,0.5847953216374271,0.9473684210526315,0.0029239766081871404,0.5847953216374271,0.5847953216374271,0.5847953216374271
#cardenie,2.7559808612440198,3.368421052631579,1.2248803827751193,0.6124401913875597,0.00039872408293461847,0.12918660287081324,0.30622009569377984,0.007655502392344546,0.2214627477785374,0.5789473684210527,1.1578947368421053,0.2214627477785374,0.30622009569377984,0.02153110047846891,0.30622009569377984,0.30622009569377984,0.30622009569377984,0.30622009569377984,0.02153110047846891,0.6124401913875597,0.30622009569377984,0.30622009569377984,0.30622009569377984
#dorotee,0.6447368421052634,1.2248803827751193,11.842105263157896,5.921052631578948,0.9221491228070174,2.526315789473684,0.21052631578947367,0.5802631578947367,0.1522556390977443,0.21052631578947367,0.42105263157894735,1.4736842105263157,2.960526315789474,0.42105263157894735,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.42105263157894735,0.42105263157894735,0.21052631578947367,0.21052631578947367,0.21052631578947367
#barbero,1.1695906432748542,0.6124401913875597,5.921052631578948,15.210526315789474,0.05482456140350875,1.263157894736842,0.10526315789473684,1.0526315789473684,0.7368421052631579,0.10526315789473684,0.21052631578947367,0.7368421052631579,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.10526315789473684
#sancho,0.017543859649122816,0.00039872408293460497,0.9221491228070174,0.05482456140350875,2.5789473684210535,1.5442251461988308,0.21491228070175444,0.07412280701754384,0.04010025062656633,0.631578947368421,0.05482456140350875,1.5043859649122813,0.631578947368421,0.4298245614035089,0.21491228070175444,0.21491228070175444,0.21491228070175444,0.21491228070175444,0.4298245614035089,0.4298245614035089,0.21491228070175444,0.21491228070175444,0.21491228070175444
#don-quichotte,0.0823586744639376,0.12918660287081346,2.526315789473684,1.263157894736842,1.5442251461988308,2.5789473684210535,0.21491228070175444,0.07412280701754384,0.04010025062656633,0.631578947368421,0.4298245614035089,1.5043859649122813,0.631578947368421,0.4298245614035089,0.21491228070175444,0.21491228070175444,0.21491228070175444,0.21491228070175444,0.4298245614035089,0.4298245614035089,0.21491228070175444,0.21491228070175444,0.21491228070175444
#reine-de-miconmicon,0.5847953216374271,0.30622009569377984,0.21052631578947367,0.10526315789473684,0.21491228070175444,0.21491228070175444,17.05263157894737,0.5263157894736842,0.3684210526315789,0.05263157894736842,0.10526315789473684,0.3684210526315789,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842
#don-fernande,0.11461988304093557,0.0076555023923444805,0.5802631578947367,1.0526315789473684,0.07412280701754384,0.07412280701754384,0.5263157894736842,4.263157894736843,2.9842105263157896,0.42631578947368426,1.0526315789473684,1.455639097744361,0.42631578947368426,0.8526315789473685,0.42631578947368426,0.42631578947368426,0.42631578947368426,0.42631578947368426,0.8526315789473685,0.8526315789473685,0.42631578947368426,0.42631578947368426,0.42631578947368426
#lucinde,0.03007518796992475,0.2214627477785374,0.1522556390977443,0.7368421052631579,0.04010025062656633,0.04010025062656633,0.3684210526315789,2.9842105263157896,7.57894736842105,1.0827067669172932,0.7368421052631579,0.7830290010741139,1.0827067669172932,0.09398496240601507,1.0827067669172932,1.0827067669172932,1.0827067669172932,1.0827067669172932,0.09398496240601507,2.1654135338345863,1.0827067669172932,1.0827067669172932,1.0827067669172932
#le-valet,0.47368421052631576,0.5789473684210527,0.21052631578947367,0.10526315789473684,0.631578947368421,0.631578947368421,0.05263157894736842,0.42631578947368426,1.0827067669172932,17.05263157894737,0.10526315789473684,0.3684210526315789,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842
