VALEUR,#zulime,#mohadir,#atide,#ramire,#idamore,#benassar,#serame,#ramire #atide
Fréquences (scènes),0.7407407407407407,0.14814814814814814,0.5185185185185185,0.4444444444444444,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.037037037037037035
Fréquences(répliques),0.34538411878631375,0.08521626856036152,0.1814073595868302,0.1594577146546159,0.06778566817301485,0.12265978050355068,0.03744351194318916,0.0006455777921239509
Confrontation,0.26785714285714285,0.05357142857142857,0.23214285714285715,0.19642857142857142,0.08928571428571429,0.08035714285714286,0.044642857142857144,0.03571428571428571
Déviations,#zulime,#mohadir,#atide,#ramire,#idamore,#benassar,#serame,#ramire #atide
#zulime,1.8148148148148162,0.0004629629629629671,0.013227513227513218,0.938888888888889,0.13370370370370355,0.13370370370370355,0.3629629629629631,0.09074074074074077
#mohadir,0.0004629629629629671,19.59259259259259,0.5562169312169312,1.7777777777777777,0.7407407407407407,2.1407407407407413,0.5925925925925926,0.14814814814814814
#atide,0.013227513227513218,0.5562169312169312,6.259259259259261,1.2400793650793658,0.06402116402116403,0.9783068783068783,0.5562169312169312,0.44708994708994715
#ramire,0.938888888888889,1.7777777777777777,1.2400793650793658,8.333333333333336,1.422222222222222,0.02222222222222224,1.7777777777777777,0.6944444444444445
#idamore,0.13370370370370355,0.7407407407407407,0.06402116402116403,1.422222222222222,17.92592592592593,0.9259259259259258,0.7407407407407407,0.18518518518518517
#benassar,0.13370370370370355,2.1407407407407413,0.9783068783068783,0.02222222222222224,0.9259259259259258,17.92592592592593,0.7407407407407407,3.5851851851851864
#serame,0.3629629629629631,0.5925925925925926,0.5562169312169312,1.7777777777777777,0.7407407407407407,0.7407407407407407,19.59259259259259,0.14814814814814814
#ramire #atide,0.09074074074074077,0.14814814814814814,0.44708994708994715,0.6944444444444445,0.18518518518518517,3.5851851851851864,0.14814814814814814,25.03703703703704
Successions,#zulime,#mohadir,#atide,#ramire,#idamore,#benassar,#serame,#ramire #atide
#zulime,0.05102040816326531,0.17346938775510204,0.20408163265306123,0.2653061224489796,0.02040816326530612,0.15306122448979592,0.1326530612244898,0.0
#mohadir,0.8571428571428571,0.0,0.047619047619047616,0.0,0.0,0.09523809523809523,0.0,0.0
#atide,0.4897959183673469,0.02040816326530612,0.0,0.4489795918367347,0.02040816326530612,0.0,0.02040816326530612,0.0
#ramire,0.3076923076923077,0.015384615384615385,0.36923076923076925,0.0,0.18461538461538463,0.12307692307692308,0.0,0.0
#idamore,0.26666666666666666,0.0,0.2,0.5333333333333333,0.0,0.0,0.0,0.0
#benassar,0.5384615384615384,0.07692307692307693,0.038461538461538464,0.3076923076923077,0.0,0.0,0.0,0.038461538461538464
#serame,0.9285714285714286,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
#ramire #atide,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
