VALEUR,#antigone,#camille,#pyrrhus,#deidamie,#neree,#hippias,#androclide,#neoptolemus,#gelon
Fréquences (scènes),0.25925925925925924,0.07407407407407407,0.37037037037037035,0.6666666666666666,0.037037037037037035,0.18518518518518517,0.37037037037037035,0.5555555555555556,0.2962962962962963
Fréquences(répliques),0.12824139556812825,0.018387553041018388,0.10513908533710514,0.19754832626119756,0.013672795851013672,0.11456859971711457,0.1588873173031589,0.21876473361621876,0.04479019330504479
Confrontation,0.08433734939759036,0.018072289156626505,0.13253012048192772,0.20481927710843373,0.006024096385542169,0.0783132530120482,0.12650602409638553,0.21686746987951808,0.13253012048192772
Déviations,#antigone,#camille,#pyrrhus,#deidamie,#neree,#hippias,#androclide,#neoptolemus,#gelon
#antigone,14.814814814814815,0.44708994708994715,0.764021164021164,1.5238095238095233,0.25925925925925924,0.06772486772486772,0.9783068783068783,0.20317460317460334,0.0026455026455026375
#camille,0.44708994708994715,23.148148148148152,0.7407407407407407,0.0833333333333333,0.07407407407407407,0.37037037037037035,0.7407407407407407,0.01111111111111112,0.5925925925925926
#pyrrhus,0.764021164021164,0.7407407407407407,10.703703703703706,0.4166666666666664,0.37037037037037035,0.39185185185185173,0.7837037037037035,0.03555555555555559,0.3629629629629631
#deidamie,1.5238095238095233,0.0833333333333333,0.4166666666666664,3.0,0.1666666666666667,0.8333333333333336,0.01666666666666673,0.0,1.020833333333333
#neree,0.25925925925925924,0.07407407407407407,0.37037037037037035,0.1666666666666667,25.03703703703704,0.18518518518518517,0.37037037037037035,0.5555555555555556,0.2962962962962963
#hippias,0.06772486772486772,0.37037037037037035,0.39185185185185173,0.8333333333333336,0.18518518518518517,17.92592592592593,0.011851851851851888,0.2177777777777777,0.18148148148148155
#androclide,0.9783068783068783,0.7407407407407407,0.7837037037037035,0.01666666666666673,0.37037037037037035,0.011851851851851888,10.703703703703706,0.03555555555555559,0.0004629629629629671
#neoptolemus,0.20317460317460317,0.01111111111111112,0.03555555555555559,0.0,0.5555555555555556,0.2177777777777777,0.03555555555555559,5.333333333333332,2.844444444444444
#gelon,0.0026455026455026375,0.5925925925925926,0.3629629629629631,1.020833333333333,0.2962962962962963,0.18148148148148155,0.0004629629629629671,2.844444444444444,13.370370370370372
Successions,#antigone,#camille,#pyrrhus,#deidamie,#neree,#hippias,#androclide,#neoptolemus,#gelon
#antigone,0.05,0.15,0.325,0.05,0.0,0.0,0.15,0.2,0.075
#camille,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
#pyrrhus,0.28,0.0,0.0,0.44,0.0,0.02,0.06,0.2,0.0
#deidamie,0.019417475728155338,0.009708737864077669,0.20388349514563106,0.009708737864077669,0.07766990291262135,0.23300970873786409,0.23300970873786409,0.20388349514563106,0.009708737864077669
#neree,0.0,0.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0
#hippias,0.0,0.0,0.02564102564102564,0.6153846153846154,0.0,0.0,0.1282051282051282,0.23076923076923078,0.0
#androclide,0.09836065573770492,0.0,0.03278688524590164,0.4098360655737705,0.0,0.09836065573770492,0.01639344262295082,0.3442622950819672,0.0
#neoptolemus,0.11494252873563218,0.011494252873563218,0.13793103448275862,0.21839080459770116,0.0,0.09195402298850575,0.22988505747126436,0.022988505747126436,0.1724137931034483
#gelon,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.10526315789473684,0.7894736842105263,0.0
