VALEUR,#florante,#orante,#filandre,#celimene,#felicie,#alidor,#lysis,#floridan,#le-laquais,#premier-voleur,#deuxieme-voleur
Fréquences (scènes),0.11428571428571428,0.11428571428571428,0.2571428571428571,0.4857142857142857,0.2857142857142857,0.34285714285714286,0.22857142857142856,0.34285714285714286,0.02857142857142857,0.05714285714285714,0.02857142857142857
Fréquences(répliques),0.09805045871559633,0.05619266055045872,0.10321100917431193,0.21043577981651376,0.12786697247706422,0.11697247706422019,0.08486238532110092,0.19323394495412843,0.0011467889908256881,0.006307339449541285,0.0017201834862385322
Confrontation,0.06756756756756757,0.0472972972972973,0.10135135135135136,0.18243243243243243,0.13513513513513514,0.1554054054054054,0.10135135135135136,0.16216216216216217,0.006756756756756757,0.02702702702702703,0.013513513513513514
Déviations,#florante,#orante,#filandre,#celimene,#felicie,#alidor,#lysis,#floridan,#le-laquais,#premier-voleur,#deuxieme-voleur
#florante,27.457142857142856,5.207142857142857,3.7785714285714294,0.457563025210084,0.017857142857142842,0.10059523809523811,0.008035714285714292,0.10059523809523811,0.11428571428571428,0.22857142857142856,0.11428571428571428
#orante,5.207142857142857,27.457142857142856,0.9174603174603178,0.457563025210084,0.017857142857142842,1.3714285714285714,0.9142857142857143,0.10059523809523811,0.11428571428571428,0.22857142857142856,0.11428571428571428
#filandre,3.7785714285714294,0.9174603174603178,19.314285714285717,0.4302521008403359,0.12698412698412687,1.4097883597883598,0.5432539682539681,0.0023809523809523885,0.2571428571428571,0.5142857142857142,0.2571428571428571
#celimene,0.457563025210084,0.457563025210084,0.4302521008403359,9.25714285714286,0.004201680672268931,0.23543417366946792,2.1430672268907562,0.005042016806722706,0.4857142857142857,1.0890756302521007,0.5445378151260504
#felicie,0.017857142857142842,0.017857142857142842,0.12698412698412687,0.004201680672268931,17.85714285714286,0.09523809523809514,1.285714285714286,0.053571428571428624,0.2857142857142857,0.5714285714285714,0.2857142857142857
#alidor,0.10059523809523811,1.3714285714285714,1.4097883597883594,0.23543417366946792,0.0952380952380953,15.114285714285717,0.5761904761904761,0.19067460317460339,0.34285714285714286,0.14404761904761904,0.34285714285714286
#lysis,0.008035714285714292,0.9142857142857143,0.5432539682539681,2.1430672268907562,1.285714285714286,0.5761904761904761,20.82857142857143,0.5761904761904761,0.22857142857142856,0.45714285714285713,0.22857142857142856
#floridan,0.10059523809523811,0.10059523809523811,0.0023809523809523643,0.005042016806722706,0.05357142857142853,0.19067460317460339,0.5761904761904761,15.114285714285717,1.2595238095238095,0.6857142857142857,0.34285714285714286
#le-laquais,0.11428571428571428,0.11428571428571428,0.2571428571428571,0.4857142857142857,0.2857142857142857,0.34285714285714286,0.22857142857142856,1.2595238095238095,33.02857142857143,0.05714285714285714,0.02857142857142857
#premier-voleur,0.22857142857142856,0.22857142857142856,0.5142857142857142,1.0890756302521007,0.5714285714285714,0.14404761904761904,0.45714285714285713,0.6857142857142857,0.05714285714285714,31.114285714285714,15.557142857142857
#deuxieme-voleur,0.11428571428571428,0.11428571428571428,0.2571428571428571,0.5445378151260504,0.2857142857142857,0.34285714285714286,0.22857142857142856,0.34285714285714286,0.02857142857142857,15.557142857142857,33.02857142857143
Successions,#florante,#orante,#filandre,#celimene,#felicie,#alidor,#lysis,#floridan,#le-laquais,#premier-voleur,#deuxieme-voleur
#florante,0.0,0.4,0.5,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
#orante,0.5909090909090909,0.0,0.3181818181818182,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
#filandre,0.2413793103448276,0.13793103448275862,0.0,0.3620689655172414,0.1206896551724138,0.017241379310344827,0.017241379310344827,0.10344827586206896,0.0,0.0,0.0
#celimene,0.016260162601626018,0.008130081300813009,0.16260162601626016,0.008130081300813009,0.3008130081300813,0.21951219512195122,0.008130081300813009,0.24390243902439024,0.0,0.016260162601626018,0.016260162601626018
#felicie,0.0,0.0,0.10666666666666667,0.52,0.0,0.02666666666666667,0.24,0.10666666666666667,0.0,0.0,0.0
#alidor,0.0,0.020833333333333332,0.0,0.4791666666666667,0.08333333333333333,0.0,0.125,0.2708333333333333,0.0,0.020833333333333332,0.0
#lysis,0.025,0.0,0.0,0.025,0.425,0.175,0.0,0.35,0.0,0.0,0.0
#floridan,0.0,0.0,0.10810810810810811,0.4189189189189189,0.13513513513513514,0.12162162162162163,0.1891891891891892,0.013513513513513514,0.013513513513513514,0.0,0.0
#le-laquais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#premier-voleur,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0
#deuxieme-voleur,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
