VALEUR,#zerones,#le-marquis,#orgon,#le-domestique,#darmance,#rosalie,#melise,#damis,#orphise
Fréquences (scènes),0.39473684210526316,0.631578947368421,0.21052631578947367,0.02631578947368421,0.15789473684210525,0.21052631578947367,0.2894736842105263,0.15789473684210525,0.3684210526315789
Fréquences(répliques),0.10951526032315978,0.40798922800718135,0.08572710951526032,0.0013464991023339318,0.072262118491921,0.1059245960502693,0.036355475763016155,0.03859964093357271,0.14228007181328545
Confrontation,0.15151515151515152,0.19696969696969696,0.12121212121212122,0.005050505050505051,0.0707070707070707,0.09595959595959595,0.12121212121212122,0.09595959595959595,0.1414141414141414
Déviations,#zerones,#le-marquis,#orgon,#le-domestique,#darmance,#rosalie,#melise,#damis,#orphise
#zerones,13.921052631578942,0.6736842105263162,2.557894736842105,0.39473684210526316,0.790643274853801,0.007894736842105269,1.263317384370016,0.05730994152046778,0.4215538847117794
#le-marquis,0.6736842105263162,5.157894736842107,0.0005482456140350819,0.21491228070175444,0.16447368421052624,0.8338815789473683,0.5458532695374801,0.011695906432748562,0.9135338345864656
#orgon,2.557894736842105,0.0005482456140350819,23.68421052631579,0.21052631578947367,0.05482456140350875,1.0279605263157898,0.04306220095693782,0.4298245614035089,1.4295112781954888
#le-domestique,0.39473684210526316,0.21491228070175444,0.21052631578947367,36.02631578947369,0.15789473684210525,0.21052631578947367,0.2894736842105263,0.15789473684210525,0.3684210526315789
#darmance,0.790643274853801,0.16447368421052624,0.05482456140350875,0.15789473684210525,26.94736842105263,0.4298245614035089,0.9186602870813396,4.447368421052632,0.6629072681704258
#rosalie,0.007894736842105269,0.8338815789473683,1.0279605263157898,0.21052631578947367,0.4298245614035089,23.68421052631579,0.04306220095693782,0.4298245614035089,0.3759398496240603
#melise,1.263317384370016,0.5458532695374798,0.04306220095693782,0.2894736842105263,0.91866028708134,0.04306220095693782,19.18421052631579,2.9489633173843712,0.9357484620642518
#damis,0.05730994152046778,0.011695906432748562,0.4298245614035089,0.15789473684210525,4.447368421052632,0.4298245614035089,2.94896331738437,26.94736842105263,0.020050125313283165
#orphise,0.4215538847117794,0.9135338345864656,1.4295112781954888,0.3684210526315789,0.6629072681704258,0.3759398496240603,0.9357484620642518,0.020050125313283165,15.1578947368421
Successions,#zerones,#le-marquis,#orgon,#le-domestique,#darmance,#rosalie,#melise,#damis,#orphise
#zerones,0.016666666666666666,0.775,0.19166666666666668,0.0,0.0,0.0,0.0,0.0,0.016666666666666666
#le-marquis,0.39316239316239315,0.017094017094017096,0.10256410256410256,0.008547008547008548,0.0811965811965812,0.16666666666666666,0.038461538461538464,0.09829059829059829,0.09401709401709402
#orgon,0.3235294117647059,0.3235294117647059,0.0,0.0,0.029411764705882353,0.08823529411764706,0.029411764705882353,0.0,0.20588235294117646
#le-domestique,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#darmance,0.0,0.44,0.02,0.0,0.0,0.42,0.1,0.02,0.0
#rosalie,0.0,0.41935483870967744,0.06451612903225806,0.0,0.22580645161290322,0.021505376344086023,0.0,0.010752688172043012,0.25806451612903225
#melise,0.0,0.39285714285714285,0.03571428571428571,0.0,0.14285714285714285,0.0,0.03571428571428571,0.07142857142857142,0.32142857142857145
#damis,0.034482758620689655,0.6551724137931034,0.0,0.0,0.13793103448275862,0.034482758620689655,0.10344827586206896,0.0,0.034482758620689655
#orphise,0.0547945205479452,0.2876712328767123,0.1780821917808219,0.0,0.0,0.3287671232876712,0.1095890410958904,0.0273972602739726,0.0136986301369863
