VALEUR,#alphonse,#l-ambassadeur,#la-reine,#ines,#don-pedre,#constance,#garde,#rodrigue,#henrique
Fréquences (scènes),0.6470588235294118,0.029411764705882353,0.35294117647058826,0.35294117647058826,0.23529411764705882,0.2647058823529412,0.029411764705882353,0.029411764705882353,0.029411764705882353
Fréquences(répliques),0.3633610900832703,0.01968205904617714,0.13474640423921272,0.17486752460257382,0.13626040878122633,0.10749432248296745,0.000757002271006813,0.03179409538228615,0.031037093111279335
Confrontation,0.2926829268292683,0.012195121951219513,0.18292682926829268,0.17073170731707318,0.13414634146341464,0.13414634146341464,0.024390243902439025,0.024390243902439025,0.024390243902439025
Déviations,#alphonse,#l-ambassadeur,#la-reine,#ines,#don-pedre,#constance,#garde,#rodrigue,#henrique
#alphonse,4.235294117647057,0.19251336898395718,0.40106951871657787,0.40106951871657787,0.00601604278074868,1.3689839572192513,0.19251336898395718,0.19251336898395718,0.19251336898395718
#l-ambassadeur,0.19251336898395718,32.029411764705884,0.35294117647058826,0.35294117647058826,0.23529411764705882,0.2647058823529412,0.029411764705882353,0.029411764705882353,0.029411764705882353
#la-reine,0.40106951871657787,0.3529411764705882,14.235294117647058,0.3602941176470588,1.1776960784313724,1.0468409586056642,0.3529411764705882,0.3529411764705882,0.3529411764705882
#ines,0.40106951871657787,0.3529411764705882,0.3602941176470588,14.235294117647058,0.4901960784313728,1.4912854030501093,0.3529411764705882,0.3529411764705882,0.3529411764705882
#don-pedre,0.00601604278074868,0.23529411764705882,1.1776960784313726,0.4901960784313724,19.88235294117647,0.5898692810457516,0.23529411764705882,0.23529411764705882,0.23529411764705882
#constance,1.3689839572192517,0.2647058823529412,1.0468409586056642,1.4912854030501093,0.5898692810457516,18.38235294117647,2.0424836601307192,0.2647058823529412,0.2647058823529412
#garde,0.19251336898395718,0.029411764705882353,0.35294117647058826,0.35294117647058826,0.23529411764705882,2.0424836601307192,32.029411764705884,0.029411764705882353,0.029411764705882353
#rodrigue,0.19251336898395718,0.029411764705882353,0.35294117647058826,0.35294117647058826,0.23529411764705882,0.2647058823529412,0.029411764705882353,32.029411764705884,32.029411764705884
#rodrigue,0.19251336898395718,0.029411764705882353,0.35294117647058826,0.35294117647058826,0.23529411764705882,0.2647058823529412,0.029411764705882353,32.029411764705884,32.029411764705884
Successions,#alphonse,#l-ambassadeur,#la-reine,#ines,#don-pedre,#constance,#garde,#rodrigue,#henrique
#alphonse,0.14814814814814814,0.018518518518518517,0.1111111111111111,0.2037037037037037,0.2962962962962963,0.14814814814814814,0.0,0.018518518518518517,0.05555555555555555
#l-ambassadeur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-reine,0.4090909090909091,0.0,0.045454545454545456,0.18181818181818182,0.0,0.36363636363636365,0.0,0.0,0.0
#ines,0.30303030303030304,0.0,0.15151515151515152,0.06060606060606061,0.36363636363636365,0.12121212121212122,0.0,0.0,0.0
#don-pedre,0.5333333333333333,0.0,0.03333333333333333,0.4,0.0,0.03333333333333333,0.0,0.0,0.0
#constance,0.22727272727272727,0.0,0.4090909090909091,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.0
#l-ambassadeur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ambassadeur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ambassadeur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
