VALEUR,#mezzetin,#damis,#boniface,#le-chevalier,#clitandre,#lucile,#madame-bourdon,#colombine,#clarice,#ensemble,#un-epoux,#un-autre-epoux,#une-femme
Fréquences (scènes),0.6842105263157895,0.47368421052631576,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.2631578947368421,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0
Fréquences(répliques),0.2564935064935065,0.12987012987012986,0.08441558441558442,0.18181818181818182,0.06168831168831169,0.06493506493506493,0.12987012987012986,0.04220779220779221,0.01461038961038961,0.00487012987012987,0.00974025974025974,0.00974025974025974,0.00974025974025974
Confrontation,0.225,0.1875,0.0875,0.1,0.05,0.0875,0.125,0.0375,0.05,0.05,0.0,0.0,0.0
Déviations,#mezzetin,#damis,#boniface,#le-chevalier,#clitandre,#lucile,#madame-bourdon,#colombine,#clarice,#ensemble,#un-epoux,#un-autre-epoux,#une-femme
#mezzetin,1.8947368421052624,0.00404858299595142,0.19838056680161928,0.025303643724696432,1.3684210526315788,2.7368421052631575,0.05182186234817813,0.2914979757085022,0.1457489878542511,0.1457489878542511,0.0,0.0,0.0
#damis,0.00404858299595142,5.263157894736844,0.6447368421052634,0.42251461988304084,0.0029239766081871404,0.6447368421052634,0.790643274853801,0.9473684210526315,0.47368421052631576,0.47368421052631576,0.0,0.0,0.0
#boniface,0.19838056680161947,0.6447368421052634,11.842105263157896,0.8421052631578947,0.7960526315789475,0.029605263157894756,1.0526315789473684,0.42105263157894735,0.21052631578947367,0.21052631578947367,0.0,0.0,0.0
#le-chevalier,0.025303643724696342,0.42251461988304084,0.8421052631578947,11.842105263157896,0.42105263157894735,0.8421052631578947,0.8526315789473685,0.42105263157894735,2.960526315789474,2.960526315789474,0.0,0.0,0.0
#clitandre,1.368421052631579,0.0029239766081871404,0.7960526315789475,0.42105263157894735,15.210526315789474,5.921052631578948,0.5263157894736842,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0
#lucile,2.736842105263158,0.6447368421052634,0.029605263157894756,0.8421052631578947,5.921052631578948,11.842105263157896,0.0026315789473684154,0.42105263157894735,0.21052631578947367,0.21052631578947367,0.0,0.0,0.0
#madame-bourdon,0.05182186234817813,0.790643274853801,1.0526315789473684,0.8526315789473685,0.5263157894736842,0.0026315789473684154,10.31578947368421,0.42631578947368426,2.0631578947368427,2.0631578947368427,0.0,0.0,0.0
#colombine,0.291497975708502,0.9473684210526315,0.42105263157894735,0.42105263157894735,0.21052631578947367,0.42105263157894735,0.42631578947368426,15.210526315789474,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0
#clarice,0.145748987854251,0.47368421052631576,0.21052631578947367,2.960526315789474,0.10526315789473684,0.21052631578947367,2.0631578947368427,0.10526315789473684,17.05263157894737,17.05263157894737,0.0,0.0,0.0
#clarice,0.145748987854251,0.47368421052631576,0.21052631578947367,2.960526315789474,0.10526315789473684,0.21052631578947367,2.0631578947368427,0.10526315789473684,17.05263157894737,17.05263157894737,0.0,0.0,0.0
#un-epoux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-epoux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-epoux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#mezzetin,#damis,#boniface,#le-chevalier,#clitandre,#lucile,#madame-bourdon,#colombine,#clarice,#ensemble,#un-epoux,#un-autre-epoux,#une-femme
#mezzetin,0.013888888888888888,0.2222222222222222,0.09722222222222222,0.2916666666666667,0.0,0.0,0.25,0.1111111111111111,0.0,0.0,0.0,0.0,0.013888888888888888
#damis,0.35294117647058826,0.0,0.21568627450980393,0.19607843137254902,0.0196078431372549,0.13725490196078433,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0
#boniface,0.2,0.7,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.575,0.225,0.0,0.0,0.0,0.0,0.075,0.025,0.1,0.0,0.0,0.0,0.0
#clitandre,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucile,0.0,0.4,0.0,0.0,0.5333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0
#madame-bourdon,0.5806451612903226,0.12903225806451613,0.0,0.16129032258064516,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0
#colombine,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
#clarice,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-epoux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#un-autre-epoux,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#une-femme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
