VALEUR,#madeleine-bejart,#lagrange,#mademoiselle-brecour,#lesbin,#pirlon,#moliere,#monsieur-de-saint-firmin,#le-marquis
Fréquences (scènes),0.18181818181818182,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.13636363636363635,0.45454545454545453,0.09090909090909091,0.09090909090909091
Fréquences(répliques),0.12186379928315412,0.19623655913978494,0.07526881720430108,0.06451612903225806,0.08602150537634409,0.278673835125448,0.053763440860215055,0.12365591397849462
Confrontation,0.07142857142857142,0.21428571428571427,0.16666666666666666,0.14285714285714285,0.047619047619047616,0.21428571428571427,0.09523809523809523,0.047619047619047616
Déviations,#madeleine-bejart,#lagrange,#mademoiselle-brecour,#lesbin,#pirlon,#moliere,#monsieur-de-saint-firmin,#le-marquis
#madeleine-bejart,14.727272727272725,0.14204545454545456,0.10227272727272725,1.0909090909090908,0.5454545454545454,1.8181818181818181,0.36363636363636365,1.1136363636363635
#lagrange,0.14204545454545456,8.909090909090908,1.6420454545454544,0.640151515151515,0.007575757575757562,0.7363636363636362,0.10227272727272725,0.7272727272727273
#mademoiselle-brecour,0.10227272727272725,1.6420454545454544,14.727272727272725,0.007575757575757562,0.5454545454545454,0.3681818181818181,1.1136363636363635,0.36363636363636365
#lesbin,1.0909090909090908,0.640151515151515,0.007575757575757562,11.636363636363635,0.040404040404040435,0.027272727272727317,0.5454545454545454,0.5454545454545454
#pirlon,0.5454545454545454,0.007575757575757562,0.5454545454545454,0.040404040404040435,16.40909090909091,1.3636363636363635,0.2727272727272727,0.2727272727272727
#moliere,1.8181818181818183,0.7363636363636366,0.3681818181818183,0.027272727272727317,1.3636363636363635,6.545454545454547,1.3090909090909089,0.009090909090909073
#monsieur-de-saint-firmin,0.36363636363636365,0.10227272727272725,1.1136363636363635,0.5454545454545454,0.2727272727272727,1.3090909090909089,18.18181818181818,0.18181818181818182
#le-marquis,1.1136363636363635,0.7272727272727273,0.36363636363636365,0.5454545454545454,0.2727272727272727,0.009090909090909097,0.18181818181818182,18.18181818181818
Successions,#madeleine-bejart,#lagrange,#mademoiselle-brecour,#lesbin,#pirlon,#moliere,#monsieur-de-saint-firmin,#le-marquis
#madeleine-bejart,0.0625,0.25,0.25,0.0,0.0,0.0,0.0,0.4375
#lagrange,0.21739130434782608,0.043478260869565216,0.21739130434782608,0.043478260869565216,0.2608695652173913,0.21739130434782608,0.0,0.0
#mademoiselle-brecour,0.25,0.4166666666666667,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.0
#lesbin,0.0,0.08333333333333333,0.08333333333333333,0.0,0.25,0.5833333333333334,0.0,0.0
#pirlon,0.0,0.4166666666666667,0.0,0.5833333333333334,0.0,0.0,0.0,0.0
#moliere,0.0,0.16666666666666666,0.027777777777777776,0.3888888888888889,0.0,0.0,0.2222222222222222,0.19444444444444445
#monsieur-de-saint-firmin,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#le-marquis,0.5714285714285714,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0
