VALEUR,#philiste,#alcidon,#la-nourrice,#chrysante,#doris,#geron,#clarice,#celidan,#lycas,#polymas,#doraste,#listor
Fréquences (scènes),0.4,0.325,0.2,0.225,0.225,0.075,0.25,0.35,0.05,0.05,0.05,0.025
Fréquences(répliques),0.2269116186693148,0.19960278053624628,0.10178748758689175,0.09483614697120159,0.08738828202581926,0.021847070506454815,0.10774577954319761,0.14299900695134063,0.009930486593843098,0.003475670307845084,0.0029791459781529296,0.0004965243296921549
Confrontation,0.18181818181818182,0.12337662337662338,0.07792207792207792,0.12337662337662338,0.11038961038961038,0.01948051948051948,0.11688311688311688,0.14285714285714285,0.01948051948051948,0.032467532467532464,0.032467532467532464,0.01948051948051948
Déviations,#philiste,#alcidon,#la-nourrice,#chrysante,#doris,#geron,#clarice,#celidan,#lycas,#polymas,#doraste,#listor
#philiste,14.399999999999999,0.276923076923077,0.4500000000000001,0.04444444444444442,0.10000000000000002,0.03333333333333332,0.25,0.45714285714285696,1.7999999999999998,0.049999999999999975,0.049999999999999975,0.8999999999999999
#alcidon,0.276923076923077,18.22499999999999,0.06153846153846151,1.266880341880342,0.001923076923076909,0.975,0.4807692307692308,0.4620879120879122,0.65,0.65,0.65,0.325
#la-nourrice,0.4500000000000001,0.06153846153846151,25.600000000000005,1.8,1.8,0.6,0.5,0.22857142857142848,0.4000000000000001,0.8999999999999999,0.8999999999999999,0.20000000000000004
#chrysante,0.04444444444444442,1.266880341880342,1.8,24.025,7.802777777777778,2.6009259259259268,0.027777777777777776,0.007142857142857135,0.6722222222222223,0.45,0.45,0.225
#doris,0.10000000000000002,0.001923076923076909,1.8,7.802777777777778,24.025,0.6749999999999999,0.027777777777777776,0.007142857142857135,0.45,0.45,0.45,0.225
#geron,0.03333333333333339,0.9750000000000001,0.6000000000000001,2.600925925925926,0.675,34.225,0.75,1.0499999999999998,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.07500000000000001
#clarice,0.25,0.4807692307692308,0.5,0.027777777777777776,0.027777777777777776,0.75,22.5,0.07142857142857142,0.5,0.5,0.5,0.25
#celidan,0.4571428571428574,0.4620879120879122,0.2285714285714287,0.007142857142857135,0.007142857142857135,1.05,0.07142857142857142,16.90000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.35000000000000003
#lycas,1.7999999999999998,0.65,0.4000000000000001,0.6722222222222223,0.45,0.15,0.5,0.7,36.099999999999994,0.10000000000000002,0.10000000000000002,0.05000000000000001
#polymas,0.049999999999999975,0.65,0.8999999999999999,0.45,0.45,0.15,0.5,0.7,0.10000000000000002,36.099999999999994,36.099999999999994,18.049999999999997
#polymas,0.049999999999999975,0.65,0.8999999999999999,0.45,0.45,0.15,0.5,0.7,0.10000000000000002,36.099999999999994,36.099999999999994,18.049999999999997
#listor,0.8999999999999999,0.325,0.20000000000000004,0.225,0.225,0.075,0.25,0.35,0.05000000000000001,18.049999999999997,18.049999999999997,38.025
Successions,#philiste,#alcidon,#la-nourrice,#chrysante,#doris,#geron,#clarice,#celidan,#lycas,#polymas,#doraste,#listor
#philiste,0.010416666666666666,0.20833333333333334,0.09375,0.17708333333333334,0.020833333333333332,0.020833333333333332,0.3020833333333333,0.08333333333333333,0.041666666666666664,0.010416666666666666,0.020833333333333332,0.010416666666666666
#alcidon,0.23958333333333334,0.041666666666666664,0.2708333333333333,0.0,0.14583333333333334,0.0,0.020833333333333332,0.28125,0.0,0.0,0.0,0.0
#la-nourrice,0.13157894736842105,0.34210526315789475,0.0,0.0,0.0,0.0,0.11842105263157894,0.35526315789473684,0.0,0.039473684210526314,0.013157894736842105,0.0
#chrysante,0.3,0.05,0.016666666666666666,0.03333333333333333,0.31666666666666665,0.15,0.05,0.08333333333333333,0.0,0.0,0.0,0.0
#doris,0.05,0.35,0.0,0.5,0.025,0.0,0.0,0.075,0.0,0.0,0.0,0.0
#geron,0.09090909090909091,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clarice,0.56,0.02,0.2,0.1,0.02,0.0,0.02,0.08,0.0,0.0,0.0,0.0
#celidan,0.07792207792207792,0.36363636363636365,0.33766233766233766,0.06493506493506493,0.03896103896103896,0.0,0.07792207792207792,0.03896103896103896,0.0,0.0,0.0,0.0
#lycas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#polymas,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
#doraste,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#listor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
