VALEUR,#alcipe,#sylvain,#astree,#picard,#leandre,#filemon,#le-voisin,#orphise,#valentin,#hyppolite
Fréquences (scènes),0.391304347826087,0.2826086956521739,0.5434782608695652,0.021739130434782608,0.43478260869565216,0.2608695652173913,0.021739130434782608,0.2391304347826087,0.08695652173913043,0.1956521739130435
Fréquences(répliques),0.17113519680547631,0.05989731888191671,0.1728465487735311,0.011409013120365089,0.24871648602395893,0.23559612093553908,0.0022818026240730175,0.05019965772960639,0.01939532230462065,0.02852253280091272
Confrontation,0.13716814159292035,0.12831858407079647,0.2168141592920354,0.01327433628318584,0.13716814159292035,0.12389380530973451,0.008849557522123894,0.09292035398230089,0.048672566371681415,0.09292035398230089
Déviations,#alcipe,#sylvain,#astree,#picard,#leandre,#filemon,#le-voisin,#orphise,#valentin,#hyppolite
#alcipe,17.04347826086956,6.873281308063919,0.3248309178743961,0.9468599033816427,1.0205314009661837,0.10305958132045076,0.3913043478260869,4.304347826086957,1.5652173913043477,0.6575415995705851
#sylvain,6.873281308063919,23.673913043478272,0.16060200668896293,1.8210702341137128,1.24448160535117,0.0451505016722407,0.2826086956521739,1.4303739738522343,0.01505016722408025,0.08193979933110378
#astree,0.3248309178743961,0.16060200668896316,9.586956521739134,0.38347826086956527,1.3775652173913044,0.03507246376811599,0.5434782608695652,4.218260869565216,0.313913043478261,0.25130434782608696
#picard,0.9468599033816426,1.8210702341137128,0.38347826086956527,44.02173913043478,0.43478260869565216,0.2608695652173913,0.021739130434782608,0.2391304347826087,0.08695652173913043,0.1956521739130435
#leandre,1.0205314009661837,1.24448160535117,1.3775652173913044,0.43478260869565216,14.695652173913047,0.6090579710144928,0.7347826086956523,0.6644268774703557,0.31413043478260866,0.0019323671497584515
#filemon,0.103059581320451,0.04515050167224079,0.03507246376811599,0.2608695652173913,0.6090579710144928,25.1304347826087,2.094202898550724,0.26350461133069847,0.8768115942028987,0.0515297906602255
#le-voisin,0.391304347826087,0.2826086956521739,0.5434782608695652,0.021739130434782608,0.7347826086956523,2.094202898550724,44.02173913043478,0.2391304347826087,0.08695652173913043,0.1956521739130435
#orphise,4.304347826086957,1.4303739738522343,4.218260869565219,0.2391304347826087,0.6644268774703557,0.26350461133069825,0.2391304347826087,26.6304347826087,1.1383399209486165,0.010759771629336879
#valentin,1.565217391304348,0.01505016722408025,0.313913043478261,0.08695652173913043,0.31413043478260866,0.8768115942028987,0.08695652173913043,1.1383399209486165,38.34782608695652,1.8937198067632852
#hyppolite,0.6575415995705851,0.08193979933110378,0.25130434782608696,0.19565217391304346,0.0019323671497584515,0.05152979066022538,0.19565217391304346,0.010759771629336879,1.8937198067632854,29.760869565217387
Successions,#alcipe,#sylvain,#astree,#picard,#leandre,#filemon,#le-voisin,#orphise,#valentin,#hyppolite
#alcipe,0.024691358024691357,0.2716049382716049,0.20987654320987653,0.037037037037037035,0.32098765432098764,0.12345679012345678,0.0,0.0,0.0,0.012345679012345678
#sylvain,0.5675675675675675,0.0,0.08108108108108109,0.0,0.2702702702702703,0.08108108108108109,0.0,0.0,0.0,0.0
#astree,0.21348314606741572,0.011235955056179775,0.02247191011235955,0.0449438202247191,0.19101123595505617,0.16853932584269662,0.0,0.24719101123595505,0.056179775280898875,0.0449438202247191
#picard,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leandre,0.21296296296296297,0.09259259259259259,0.16666666666666666,0.0,0.009259259259259259,0.4351851851851852,0.018518518518518517,0.027777777777777776,0.009259259259259259,0.027777777777777776
#filemon,0.1511627906976744,0.046511627906976744,0.1511627906976744,0.0,0.5116279069767442,0.011627906976744186,0.0,0.08139534883720931,0.046511627906976744,0.0
#le-voisin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#orphise,0.0,0.0,0.6571428571428571,0.0,0.08571428571428572,0.2,0.0,0.0,0.05714285714285714,0.0
#valentin,0.0,0.0,0.2857142857142857,0.0,0.047619047619047616,0.14285714285714285,0.0,0.14285714285714285,0.0,0.38095238095238093
#hyppolite,0.058823529411764705,0.0,0.17647058823529413,0.0,0.23529411764705882,0.0,0.0,0.0,0.5294117647058824,0.0
