VALEUR,#alvare,#belissaire,#leonse,#fabrice,#camille,#theodore,#anthonie,#l-empereur,#narses,#philippe
Fréquences (scènes),0.06,0.52,0.12,0.02,0.08,0.4,0.16,0.38,0.18,0.2
Fréquences(répliques),0.0102890739833415,0.33365997060264574,0.044585987261146494,0.0004899559039686428,0.027437530622243998,0.19647231749142577,0.040666340029397355,0.2346888780009799,0.04017638412542871,0.07153356197942186
Confrontation,0.026881720430107527,0.1935483870967742,0.10215053763440861,0.016129032258064516,0.021505376344086023,0.17204301075268819,0.06989247311827956,0.16666666666666666,0.12365591397849462,0.10752688172043011
Déviations,#alvare,#belissaire,#leonse,#fabrice,#camille,#theodore,#anthonie,#l-empereur,#narses,#philippe
#alvare,44.18,1.3292307692307692,1.1377777777777778,14.726666666666667,0.24,1.2000000000000002,0.48,1.1400000000000001,0.54,0.6000000000000001
#belissaire,1.3292307692307692,11.520000000000001,0.24820512820512816,0.44307692307692303,2.08,1.8615384615384618,0.3234615384615385,0.35773279352226744,0.021880341880341922,0.12307692307692301
#leonse,1.1377777777777778,0.24820512820512816,38.720000000000006,6.453333333333333,0.48,0.1499999999999998,0.0016666666666666698,0.2273684210526314,7.894814814814813,0.533333333333333
#fabrice,14.726666666666667,0.44307692307692303,6.453333333333333,48.019999999999996,0.08,0.4000000000000001,0.16,0.38,0.18,0.20000000000000004
#camille,0.24,2.08,0.48,0.08,42.32,0.09999999999999995,0.64,0.15157894736842104,0.72,0.8000000000000002
#theodore,1.2,1.8615384615384618,0.15000000000000005,0.4000000000000001,0.09999999999999995,18.0,2.4499999999999997,0.047368421052631525,0.04444444444444453,0.0
#anthonie,0.48,0.3234615384615385,0.0016666666666666698,0.16,0.64,2.4499999999999997,35.279999999999994,1.3689473684210527,0.13444444444444442,0.22500000000000006
#l-empereur,1.14,0.35773279352226744,0.22736842105263172,0.38,0.15157894736842104,0.047368421052631664,1.3689473684210527,19.220000000000002,1.9463157894736844,0.010526315789473656
#narses,0.54,0.021880341880341922,7.894814814814813,0.18,0.72,0.04444444444444442,0.13444444444444442,1.9463157894736844,33.62,0.7999999999999999
#philippe,0.6,0.12307692307692301,0.5333333333333334,0.20000000000000004,0.8000000000000002,0.0,0.22500000000000006,0.010526315789473703,0.8000000000000003,32.0
Successions,#alvare,#belissaire,#leonse,#fabrice,#camille,#theodore,#anthonie,#l-empereur,#narses,#philippe
#alvare,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#belissaire,0.05747126436781609,0.011494252873563218,0.12643678160919541,0.011494252873563218,0.011494252873563218,0.1839080459770115,0.04597701149425287,0.22988505747126436,0.05747126436781609,0.26436781609195403
#leonse,0.0,0.6,0.0,0.0,0.0,0.1,0.0,0.2,0.05,0.05
#fabrice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#camille,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.375,0.0,0.0
#theodore,0.0,0.2459016393442623,0.06557377049180328,0.0,0.06557377049180328,0.03278688524590164,0.18032786885245902,0.2459016393442623,0.03278688524590164,0.13114754098360656
#anthonie,0.0,0.23809523809523808,0.0,0.0,0.0,0.5714285714285714,0.047619047619047616,0.0,0.0,0.14285714285714285
#l-empereur,0.0,0.43137254901960786,0.0196078431372549,0.0,0.058823529411764705,0.23529411764705882,0.0392156862745098,0.058823529411764705,0.11764705882352941,0.0392156862745098
#narses,0.0,0.35714285714285715,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.2857142857142857,0.0,0.21428571428571427
#philippe,0.0,0.575,0.025,0.0,0.0,0.3,0.075,0.025,0.0,0.0
