VALEUR,#madame-beverlei,#henriette,#jarvis,#stukeli,#tomi,#leuson,#beverlei,#l-inconnu,#le-sergent
Fréquences (scènes),0.4523809523809524,0.40476190476190477,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.19047619047619047,0.5714285714285714,0.023809523809523808,0.023809523809523808
Fréquences(répliques),0.207492795389049,0.1314121037463977,0.08587896253602305,0.13602305475504323,0.008069164265129682,0.0829971181556196,0.3440922190201729,0.0011527377521613833,0.002881844380403458
Confrontation,0.23076923076923078,0.20512820512820512,0.08974358974358974,0.07051282051282051,0.057692307692307696,0.09615384615384616,0.22435897435897437,0.00641025641025641,0.019230769230769232
Déviations,#madame-beverlei,#henriette,#jarvis,#stukeli,#tomi,#leuson,#beverlei,#l-inconnu,#le-sergent
#madame-beverlei,12.595238095238097,1.42422232050715,0.05012531328320804,0.51328320802005,0.7832080200501258,0.10588972431077681,0.06766917293233063,0.45238095238095233,0.6629072681704262
#henriette,1.42422232050715,14.88095238095238,1.0358543417366946,1.0358543417366946,1.1778711484593838,2.3557422969187676,0.3025210084033611,0.40476190476190477,0.40476190476190477
#jarvis,0.05012531328320804,1.0358543417366946,24.38095238095238,0.800952380952381,0.9523809523809523,1.9047619047619047,0.08928571428571411,0.23809523809523808,2.438095238095238
#stukeli,0.51328320802005,1.0358543417366946,0.800952380952381,24.38095238095238,0.9523809523809523,0.004761904761904773,1.2892857142857137,0.23809523809523808,0.23809523809523808
#tomi,0.7832080200501252,1.1778711484593838,0.9523809523809523,0.9523809523809523,34.38095238095239,0.7619047619047619,0.22321428571428584,0.09523809523809523,0.09523809523809523
#leuson,0.10588972431077695,2.3557422969187676,1.9047619047619047,0.004761904761904773,0.7619047619047619,27.523809523809526,0.07142857142857137,0.19047619047619047,0.19047619047619047
#beverlei,0.06766917293233089,0.30252100840336166,0.08928571428571411,1.2892857142857137,0.22321428571428584,0.07142857142857137,7.714285714285716,0.3214285714285715,0.3214285714285715
#l-inconnu,0.4523809523809524,0.40476190476190477,0.23809523809523808,0.23809523809523808,0.09523809523809523,0.19047619047619047,0.3214285714285715,40.023809523809526,0.023809523809523808
#le-sergent,0.6629072681704261,0.40476190476190477,2.438095238095238,0.23809523809523808,0.09523809523809523,0.19047619047619047,0.3214285714285715,0.023809523809523808,40.023809523809526
Successions,#madame-beverlei,#henriette,#jarvis,#stukeli,#tomi,#leuson,#beverlei,#l-inconnu,#le-sergent
#madame-beverlei,0.017241379310344827,0.23275862068965517,0.11206896551724138,0.2413793103448276,0.02586206896551724,0.008620689655172414,0.3620689655172414,0.0,0.0
#henriette,0.3835616438356164,0.0,0.0136986301369863,0.0684931506849315,0.0136986301369863,0.3424657534246575,0.1780821917808219,0.0,0.0
#jarvis,0.26666666666666666,0.022222222222222223,0.0,0.022222222222222223,0.0,0.0,0.6222222222222222,0.0,0.06666666666666667
#stukeli,0.3684210526315789,0.09210526315789473,0.0,0.0,0.0,0.06578947368421052,0.47368421052631576,0.0,0.0
#tomi,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
#leuson,0.0,0.5454545454545454,0.0,0.13636363636363635,0.0,0.0,0.3181818181818182,0.0,0.0
#beverlei,0.2905405405405405,0.0945945945945946,0.19594594594594594,0.24324324324324326,0.04054054054054054,0.08783783783783784,0.033783783783783786,0.006756756756756757,0.006756756756756757
#l-inconnu,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#le-sergent,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
