VALEUR,#syra,#syroes,#mardesane,#palmyras,#pharnace,#cosroes,#sardarigue,#hormisdate,#narsee,#artanasde,#garde
Fréquences (scènes),0.4,0.68,0.16,0.36,0.12,0.16,0.28,0.04,0.2,0.08,0.04
Fréquences(répliques),0.1731748726655348,0.2976796830786644,0.100169779286927,0.10979060554612337,0.01867572156196944,0.07866440294284098,0.07470288624787776,0.02320316921335597,0.06734578381437464,0.05602716468590832,0.0005659309564233164
Confrontation,0.1509433962264151,0.25471698113207547,0.07547169811320754,0.1509433962264151,0.05660377358490566,0.08490566037735849,0.10377358490566038,0.009433962264150943,0.0660377358490566,0.02830188679245283,0.018867924528301886
Déviations,#syra,#syroes,#mardesane,#palmyras,#pharnace,#cosroes,#sardarigue,#hormisdate,#narsee,#artanasde,#garde
#syra,9.0,0.4764705882352944,1.2249999999999999,0.7111111111111108,1.2,1.2249999999999999,0.2285714285714287,0.8999999999999999,2.0,0.8000000000000002,0.4000000000000001
#syroes,0.4764705882352944,2.5599999999999996,0.02882352941176466,0.12653594771241827,0.4517647058823529,0.19058823529411775,0.12134453781512625,0.68,0.5764705882352944,0.09529411764705888,0.68
#mardesane,1.2249999999999999,0.02882352941176466,17.639999999999997,1.44,0.48,2.8899999999999992,1.12,0.16,0.8000000000000002,0.32,0.16
#palmyras,0.7111111111111112,0.12653594771241827,1.44,10.24,3.413333333333333,1.44,0.9168253968253972,0.36,0.02222222222222221,0.10888888888888891,0.36
#pharnace,1.2000000000000002,0.4517647058823529,0.48,3.413333333333333,19.360000000000003,0.48,0.8400000000000001,0.12,0.6000000000000001,0.24,0.12
#cosroes,1.2249999999999999,0.19058823529411775,2.8899999999999992,1.44,0.48,17.639999999999997,0.6914285714285713,0.16,0.8000000000000002,0.32,0.16
#sardarigue,0.22857142857142893,0.12134453781512625,1.12,0.9168253968253969,0.8400000000000001,0.6914285714285713,12.959999999999992,0.28,0.11428571428571446,0.56,1.8514285714285712
#hormisdate,0.8999999999999999,0.68,0.16,0.36,0.12,0.16,0.28,23.04,0.20000000000000004,0.08,0.04
#narsee,2.0,0.5764705882352944,0.8000000000000002,0.022222222222222265,0.6,0.8000000000000002,0.11428571428571435,0.20000000000000004,16.0,0.8999999999999999,3.2000000000000006
#artanasde,0.8000000000000002,0.09529411764705888,0.32,0.10888888888888891,0.24,0.32,0.56,0.08,0.8999999999999999,21.16,0.08
#garde,0.4000000000000001,0.68,0.16,0.36,0.12,0.16,1.8514285714285712,0.04,3.2000000000000006,0.08,23.04
Successions,#syra,#syroes,#mardesane,#palmyras,#pharnace,#cosroes,#sardarigue,#hormisdate,#narsee,#artanasde,#garde
#syra,0.0,0.45161290322580644,0.016129032258064516,0.03225806451612903,0.0,0.08064516129032258,0.2903225806451613,0.11290322580645161,0.016129032258064516,0.0,0.0
#syroes,0.29523809523809524,0.0380952380952381,0.19047619047619047,0.14285714285714285,0.0380952380952381,0.02857142857142857,0.09523809523809523,0.0,0.10476190476190476,0.06666666666666667,0.0
#mardesane,0.038461538461538464,0.8076923076923077,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0
#palmyras,0.05714285714285714,0.45714285714285713,0.05714285714285714,0.0,0.02857142857142857,0.0,0.0,0.0,0.34285714285714286,0.02857142857142857,0.02857142857142857
#pharnace,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cosroes,0.4117647058823529,0.23529411764705882,0.17647058823529413,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0
#sardarigue,0.45454545454545453,0.30303030303030304,0.0,0.030303030303030304,0.0,0.15151515151515152,0.0,0.0,0.06060606060606061,0.0,0.0
#hormisdate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#narsee,0.0,0.4230769230769231,0.0,0.5,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.0
#artanasde,0.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#garde,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
