VALEUR,#gaillardin,#laensbergh,#aigrefine,#ensemble,#follette,#colporteurs,#aigrefin,#nostradamus,#de-la-pierre,#les-colporteurs,#tous-trois,#un-berger,#alix
Fréquences (scènes),0.1875,0.25,0.3125,0.0625,0.5625,0.0625,0.0625,0.5625,0.1875,0.0625,0.125,0.0625,0.125
Fréquences(répliques),0.056838365896980464,0.12966252220248667,0.15808170515097691,0.014209591474245116,0.16163410301953818,0.02486678507992895,0.010657193605683837,0.23623445825932504,0.10657193605683836,0.010657193605683837,0.007104795737122558,0.014209591474245116,0.06927175843694494
Confrontation,0.08139534883720931,0.10465116279069768,0.13953488372093023,0.023255813953488372,0.18604651162790697,0.023255813953488372,0.023255813953488372,0.16279069767441862,0.06976744186046512,0.03488372093023256,0.06976744186046512,0.023255813953488372,0.05813953488372093
Déviations,#gaillardin,#laensbergh,#aigrefine,#ensemble,#follette,#colporteurs,#aigrefin,#nostradamus,#de-la-pierre,#les-colporteurs,#tous-trois,#un-berger,#alix
#gaillardin,10.5625,6.75,1.2041666666666666,0.1875,1.6875,0.1875,0.1875,1.6875,0.5625,3.5208333333333335,1.0416666666666667,0.1875,0.375
#laensbergh,6.75,9.0,2.45,2.25,2.25,0.25,0.25,2.25,0.75,2.25,0.5,0.25,0.5
#aigrefine,1.2041666666666666,2.45,7.5625,1.5125,0.23472222222222222,0.3125,0.3125,1.1680555555555556,0.004166666666666667,1.5125,0.225,0.3125,0.625
#ensemble,0.1875,2.25,1.5125,14.0625,0.5625,0.0625,0.0625,0.5625,0.1875,0.0625,0.125,0.0625,0.125
#follette,1.6875,2.25,0.23472222222222222,0.5625,3.0625,0.3402777777777778,0.3402777777777778,0.1736111111111111,0.05787037037037037,0.5625,0.013888888888888888,0.3402777777777778,0.6805555555555556
#colporteurs,0.1875,0.25,0.3125,0.0625,0.3402777777777778,14.0625,14.0625,0.5625,0.1875,0.0625,0.125,0.0625,0.125
#colporteurs,0.1875,0.25,0.3125,0.0625,0.3402777777777778,14.0625,14.0625,0.5625,0.1875,0.0625,0.125,0.0625,0.125
#nostradamus,1.6875,2.25,1.1680555555555556,0.5625,0.1736111111111111,0.5625,0.5625,3.0625,1.0208333333333333,0.5625,0.013888888888888888,0.3402777777777778,0.6805555555555556
#de-la-pierre,0.5625,0.75,0.004166666666666667,0.1875,0.05787037037037037,0.1875,0.1875,1.0208333333333333,10.5625,0.1875,0.375,0.1875,0.375
#les-colporteurs,3.5208333333333335,2.25,1.5125,0.0625,0.5625,0.0625,0.0625,0.5625,0.1875,14.0625,0.125,0.0625,0.125
#tous-trois,1.0416666666666667,0.5,0.225,0.125,0.013888888888888888,0.125,0.125,0.013888888888888888,0.375,0.125,12.25,0.125,2.25
#un-berger,0.1875,0.25,0.3125,0.0625,0.3402777777777778,0.0625,0.0625,0.3402777777777778,0.1875,0.0625,0.125,14.0625,0.125
#alix,0.375,0.5,0.625,0.125,0.6805555555555556,0.125,0.125,0.6805555555555556,0.375,0.125,2.25,0.125,12.25
Successions,#gaillardin,#laensbergh,#aigrefine,#ensemble,#follette,#colporteurs,#aigrefin,#nostradamus,#de-la-pierre,#les-colporteurs,#tous-trois,#un-berger,#alix
#gaillardin,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#laensbergh,0.45454545454545453,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0
#aigrefine,0.0,0.5,0.0,0.08333333333333333,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#follette,0.0,0.0,0.23529411764705882,0.0,0.058823529411764705,0.058823529411764705,0.0,0.4117647058823529,0.11764705882352941,0.0,0.0,0.0,0.11764705882352941
#colporteurs,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aigrefin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nostradamus,0.0,0.0,0.041666666666666664,0.0,0.3333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.4166666666666667,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664
#de-la-pierre,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0
#les-colporteurs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#tous-trois,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
#un-berger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#alix,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
