VALEUR,#pisistrate,#ariston,#policrite,#solon,#licurgue,#celinte,#clitie,#cleante,#arcas,#cephise,#artamas
Fréquences (scènes),0.36666666666666664,0.06666666666666667,0.5,0.3333333333333333,0.26666666666666666,0.3,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.1,0.03333333333333333
Fréquences(répliques),0.1817180616740088,0.03524229074889868,0.2566079295154185,0.21696035242290748,0.1316079295154185,0.1222466960352423,0.009911894273127754,0.008259911894273128,0.004405286343612335,0.028083700440528634,0.004955947136563877
Confrontation,0.18421052631578946,0.05263157894736842,0.23684210526315788,0.17105263157894737,0.11842105263157894,0.13157894736842105,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.039473684210526314,0.013157894736842105
Déviations,#pisistrate,#ariston,#policrite,#solon,#licurgue,#celinte,#clitie,#cleante,#arcas,#cephise,#artamas
#pisistrate,12.033333333333335,2.187878787878788,0.045454545454545456,0.03030303030303033,1.274242424242424,0.512121212121212,0.7333333333333333,0.36666666666666664,0.36666666666666664,1.1,0.36666666666666664
#ariston,2.187878787878788,26.133333333333336,0.0,0.1666666666666667,0.5333333333333333,0.6,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.20000000000000004,0.06666666666666667
#policrite,0.045454545454545456,0.0,7.5,0.8,0.25,0.5,1.0,0.5,0.5,1.5,0.5
#solon,0.03030303030303033,0.1666666666666667,0.8,13.333333333333336,0.1666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333337,1.3333333333333337,1.0,0.3333333333333333
#licurgue,1.274242424242424,0.5333333333333333,0.25,0.1666666666666666,16.133333333333336,0.06666666666666664,0.5333333333333333,0.26666666666666666,0.26666666666666666,0.8000000000000002,2.016666666666667
#celinte,0.512121212121212,0.6,0.5,1.3333333333333333,0.06666666666666664,14.700000000000006,3.266666666666666,0.3,0.3,0.9,0.3
#clitie,0.7333333333333333,0.13333333333333333,1.0,0.6666666666666666,0.5333333333333333,3.266666666666666,26.133333333333336,0.06666666666666667,0.06666666666666667,0.20000000000000004,0.06666666666666667
#cleante,0.36666666666666664,0.06666666666666667,0.5,1.3333333333333337,0.26666666666666666,0.3,0.06666666666666667,28.03333333333333,0.03333333333333333,0.10000000000000002,0.03333333333333333
#arcas,0.36666666666666664,0.06666666666666667,0.5,1.3333333333333337,0.26666666666666666,0.3,0.06666666666666667,0.03333333333333333,28.03333333333333,0.10000000000000002,0.03333333333333333
#cephise,1.0999999999999999,0.20000000000000004,1.5,1.0,0.8000000000000002,0.8999999999999999,0.20000000000000004,0.10000000000000002,0.10000000000000002,24.3,0.10000000000000002
#artamas,0.36666666666666664,0.06666666666666667,0.5,0.3333333333333333,2.016666666666667,0.3,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.10000000000000002,28.03333333333333
Successions,#pisistrate,#ariston,#policrite,#solon,#licurgue,#celinte,#clitie,#cleante,#arcas,#cephise,#artamas
#pisistrate,0.05263157894736842,0.07017543859649122,0.3157894736842105,0.14035087719298245,0.15789473684210525,0.2631578947368421,0.0,0.0,0.0,0.0,0.0
#ariston,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#policrite,0.30303030303030304,0.0,0.06060606060606061,0.09090909090909091,0.19696969696969696,0.19696969696969696,0.0,0.0,0.0,0.15151515151515152,0.0
#solon,0.23529411764705882,0.058823529411764705,0.17647058823529413,0.08823529411764706,0.11764705882352941,0.20588235294117646,0.0,0.08823529411764706,0.029411764705882353,0.0,0.0
#licurgue,0.23529411764705882,0.0,0.3235294117647059,0.11764705882352941,0.029411764705882353,0.17647058823529413,0.0,0.0,0.0,0.029411764705882353,0.08823529411764706
#celinte,0.3333333333333333,0.0,0.3333333333333333,0.15555555555555556,0.08888888888888889,0.0,0.08888888888888889,0.0,0.0,0.0,0.0
#clitie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#cleante,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cleante,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cephise,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#artamas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
