VALEUR,#plutus,#apollon,#spinette,#arlequin,#armidas,#aminte,#chanteurs,#musicien,#suivant-de-plutus,#suivante-de-plutus,#chanteur
Fréquences (scènes),0.631578947368421,0.5789473684210527,0.6842105263157895,0.3684210526315789,0.5789473684210527,0.42105263157894735,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.05263157894736842,0.05263157894736842
Fréquences(répliques),0.0,0.10869565217391304,0.0,0.10869565217391304,0.0,0.10869565217391304,0.057971014492753624,0.0,0.06521739130434782,0.11594202898550725,0.43478260869565216
Confrontation,0.14224137931034483,0.14224137931034483,0.1724137931034483,0.09913793103448276,0.15517241379310345,0.13793103448275862,0.02586206896551724,0.0603448275862069,0.021551724137931036,0.021551724137931036,0.021551724137931036
Déviations,#plutus,#apollon,#spinette,#arlequin,#armidas,#aminte,#chanteurs,#musicien,#suivant-de-plutus,#suivante-de-plutus,#chanteur
#plutus,2.5789473684210535,0.12918660287081346,0.07591093117408894,0.4567669172932328,0.00039872408293460497,0.0005482456140350819,0.21491228070175444,0.005847953216374281,0.631578947368421,0.631578947368421,0.631578947368421
#apollon,0.12918660287081324,3.368421052631579,0.3095325726904674,0.0006835269993164658,0.021313614615050002,0.08612440191387565,0.30622009569377984,0.91866028708134,0.30622009569377984,0.30622009569377984,0.30622009569377984
#spinette,0.0759109311740893,0.3095325726904677,1.8947368421052624,0.009253903990746156,0.28855355171144614,0.4256072874493932,0.1457489878542511,0.43724696356275333,0.6842105263157894,0.6842105263157894,0.6842105263157894
#arlequin,0.4567669172932328,0.0006835269993164658,0.009253903990746075,7.57894736842105,0.0006835269993164658,0.0009398496240601563,0.3684210526315789,0.010025062656641583,1.0827067669172932,1.0827067669172932,1.0827067669172932
#armidas,0.00039872408293461847,0.021313614615050002,0.28855355171144653,0.0006835269993164658,3.368421052631579,1.2111244019138754,0.30622009569377984,0.03987240829346097,0.5789473684210527,0.5789473684210527,0.5789473684210527
#aminte,0.0005482456140350819,0.08612440191387565,0.42560728744939264,0.0009398496240601563,1.2111244019138754,6.36842105263158,0.7960526315789475,0.4298245614035089,0.7960526315789475,0.7960526315789475,0.7960526315789475
#chanteurs,0.21491228070175444,0.30622009569377984,0.145748987854251,0.3684210526315789,0.30622009569377984,0.7960526315789475,17.05263157894737,4.491228070175438,0.05263157894736842,0.05263157894736842,0.05263157894736842
#musicien,0.005847953216374281,0.9186602870813396,0.43724696356275283,0.010025062656641583,0.0398724082934609,0.4298245614035089,4.491228070175438,13.473684210526315,0.15789473684210525,0.15789473684210525,0.15789473684210525
#suivant-de-plutus,0.631578947368421,0.30622009569377984,0.6842105263157895,1.0827067669172932,0.5789473684210527,0.7960526315789475,0.05263157894736842,0.15789473684210525,17.05263157894737,17.05263157894737,17.05263157894737
#suivant-de-plutus,0.631578947368421,0.30622009569377984,0.6842105263157895,1.0827067669172932,0.5789473684210527,0.7960526315789475,0.05263157894736842,0.15789473684210525,17.05263157894737,17.05263157894737,17.05263157894737
#suivant-de-plutus,0.631578947368421,0.30622009569377984,0.6842105263157895,1.0827067669172932,0.5789473684210527,0.7960526315789475,0.05263157894736842,0.15789473684210525,17.05263157894737,17.05263157894737,17.05263157894737
Successions,#plutus,#apollon,#spinette,#arlequin,#armidas,#aminte,#chanteurs,#musicien,#suivant-de-plutus,#suivante-de-plutus,#chanteur
#plutus,0.0,0.2222222222222222,0.25555555555555554,0.1111111111111111,0.3111111111111111,0.07777777777777778,0.0,0.022222222222222223,0.0,0.0,0.0
#apollon,0.37735849056603776,0.018867924528301886,0.18867924528301888,0.18867924528301888,0.09433962264150944,0.05660377358490566,0.018867924528301886,0.03773584905660377,0.0,0.0,0.018867924528301886
#spinette,0.3584905660377358,0.22641509433962265,0.0,0.1509433962264151,0.16981132075471697,0.07547169811320754,0.0,0.018867924528301886,0.0,0.0,0.0
#arlequin,0.37142857142857144,0.22857142857142856,0.17142857142857143,0.0,0.17142857142857143,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857
#armidas,0.5357142857142857,0.08928571428571429,0.125,0.08928571428571429,0.017857142857142856,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#aminte,0.3333333333333333,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
#chanteurs,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#musicien,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#suivant-de-plutus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#suivante-de-plutus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#chanteur,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
