VALEUR,#finette,#madame-brichonne,#valere,#angelique,#merlin,#monsieur-harpin,#un-laquais,#clitandre,#madame-argante,#climene,#monsieur-vilain
Fréquences (scènes),0.6,0.21666666666666667,0.11666666666666667,0.21666666666666667,0.23333333333333334,0.5333333333333333,0.06666666666666667,0.2,0.23333333333333334,0.11666666666666667,0.1
Fréquences(répliques),0.2698805109188298,0.092295014421096,0.03873094355170993,0.05026782035434693,0.13226205191594562,0.22991347342398022,0.00288421920065925,0.05727235269880511,0.08776266996291718,0.02554594149155336,0.013185002060156572
Confrontation,0.18055555555555555,0.05555555555555555,0.05555555555555555,0.10555555555555556,0.08333333333333333,0.19722222222222222,0.030555555555555555,0.08611111111111111,0.09444444444444444,0.06388888888888888,0.04722222222222222
Déviations,#finette,#madame-brichonne,#valere,#angelique,#merlin,#monsieur-harpin,#un-laquais,#clitandre,#madame-argante,#climene,#monsieur-vilain
#finette,9.600000000000005,1.8512820512820518,0.7714285714285712,0.1846153846153844,0.04285714285714281,0.5333333333333331,0.06666666666666664,0.6722222222222223,0.23333333333333345,0.1523809523809523,0.7111111111111112
#madame-brichonne,1.8512820512820514,36.81666666666667,1.5166666666666666,2.816666666666667,0.35201465201465193,0.16410256410256402,0.8666666666666667,0.9846153846153848,1.363003663003663,1.450732600732601,0.06923076923076925
#valere,0.7714285714285712,1.5166666666666666,46.81666666666668,4.066117216117217,0.245578231292517,0.01904761904761904,0.6095238095238095,0.257142857142857,1.6333333333333333,0.041156462585034026,0.1285714285714285
#angelique,0.18461538461538468,2.816666666666667,4.066117216117217,36.81666666666667,0.35201465201465193,0.16410256410256402,1.482051282051282,4.4461538461538455,0.30805860805860813,0.15402930402930406,0.06923076923076925
#merlin,0.04285714285714281,0.35201465201465193,0.245578231292517,0.35201465201465193,35.26666666666667,0.2880952380952382,0.00476190476190476,0.014285714285714247,0.02176870748299319,0.08231292517006805,0.11428571428571435
#monsieur-harpin,0.5333333333333331,0.16410256410256402,0.01904761904761904,0.16410256410256402,0.2880952380952382,13.066666666666668,1.6333333333333335,0.30625000000000013,0.8595238095238095,0.01904761904761904,2.4499999999999997
#un-laquais,0.06666666666666664,0.8666666666666667,0.6095238095238095,1.482051282051282,0.00476190476190476,1.6333333333333335,52.26666666666667,0.8000000000000002,0.00476190476190476,0.4666666666666667,0.4000000000000001
#clitandre,0.6722222222222219,0.9846153846153848,0.25714285714285723,4.4461538461538455,0.014285714285714311,0.30625000000000013,0.8000000000000002,38.39999999999999,0.5142857142857145,4.828571428571429,0.03333333333333339
#madame-argante,0.23333333333333345,1.363003663003663,1.6333333333333333,0.30805860805860813,0.02176870748299319,0.8595238095238095,0.00476190476190476,0.514285714285714,35.26666666666667,0.245578231292517,1.828571428571428
#climene,0.1523809523809523,1.450732600732601,0.041156462585034026,0.15402930402930406,0.08231292517006805,0.01904761904761904,0.4666666666666667,4.8285714285714265,0.245578231292517,46.81666666666668,0.1285714285714285
#monsieur-vilain,0.7111111111111108,0.06923076923076925,0.12857142857142861,0.06923076923076925,0.11428571428571424,2.4499999999999997,0.4000000000000001,0.03333333333333339,1.828571428571429,0.12857142857142861,48.6
Successions,#finette,#madame-brichonne,#valere,#angelique,#merlin,#monsieur-harpin,#un-laquais,#clitandre,#madame-argante,#climene,#monsieur-vilain
#finette,0.016736401673640166,0.1297071129707113,0.12133891213389121,0.10460251046025104,0.18828451882845187,0.2217573221757322,0.0041841004184100415,0.03765690376569038,0.16317991631799164,0.012552301255230125,0.0
#madame-brichonne,0.3263157894736842,0.021052631578947368,0.0,0.0,0.042105263157894736,0.5368421052631579,0.0,0.0,0.0,0.07368421052631578,0.0
#valere,0.8055555555555556,0.0,0.0,0.027777777777777776,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#angelique,0.38181818181818183,0.0,0.0,0.03636363636363636,0.01818181818181818,0.2545454545454545,0.0,0.16363636363636364,0.14545454545454545,0.0,0.0
#merlin,0.40869565217391307,0.05217391304347826,0.0,0.0,0.008695652173913044,0.3391304347826087,0.0,0.17391304347826086,0.017391304347826087,0.0,0.0
#monsieur-harpin,0.2345679012345679,0.20164609053497942,0.02880658436213992,0.0411522633744856,0.16872427983539096,0.00823045267489712,0.00823045267489712,0.0411522633744856,0.16049382716049382,0.05761316872427984,0.04938271604938271
#un-laquais,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0
#clitandre,0.15873015873015872,0.0,0.0,0.09523809523809523,0.31746031746031744,0.1746031746031746,0.0,0.0,0.23809523809523808,0.015873015873015872,0.0
#madame-argante,0.34615384615384615,0.009615384615384616,0.0,0.08653846153846154,0.019230769230769232,0.3557692307692308,0.009615384615384616,0.14423076923076922,0.0,0.0,0.028846153846153848
#climene,0.16,0.16,0.0,0.04,0.0,0.64,0.0,0.0,0.0,0.0,0.0
#monsieur-vilain,0.0,0.13333333333333333,0.0,0.0,0.0,0.8,0.0,0.0,0.06666666666666667,0.0,0.0
