VALEUR,#le-baron,#eraste,#damis,#toinon,#dorise,#clitandre,#le-marquis,#la-ramee,#la-marquise
Fréquences (scènes),0.4074074074074074,0.3333333333333333,0.2962962962962963,0.7407407407407407,0.5185185185185185,0.2962962962962963,0.25925925925925924,0.4074074074074074,0.37037037037037035
Fréquences(répliques),0.17009038619556285,0.14708299096138044,0.031224322103533278,0.22267871815940837,0.06820049301561217,0.051766639276910435,0.10928512736236648,0.11668036154478226,0.08299096138044372
Confrontation,0.10734463276836158,0.10451977401129943,0.09322033898305085,0.1807909604519774,0.14124293785310735,0.08192090395480225,0.06779661016949153,0.11016949152542373,0.11299435028248588
Déviations,#le-baron,#eraste,#damis,#toinon,#dorise,#clitandre,#le-marquis,#la-ramee,#la-marquise
#le-baron,9.481481481481485,3.0303030303030307,2.3047138047138054,0.1617845117845115,0.5088985088985087,0.4865319865319864,0.25444925444925437,0.4897459442913985,2.1013468013468026
#eraste,3.0303030303030307,12.0,10.66666666666667,0.01666666666666673,0.09523809523809508,0.1666666666666666,0.7619047619047616,0.12121212121212116,0.8333333333333336
#damis,2.3047138047138054,10.66666666666667,13.370370370370372,0.0009259259259259342,0.005291005291005275,0.05787037037037033,0.5562169312169312,0.4865319865319864,0.3629629629629631
#toinon,0.1617845117845115,0.01666666666666673,0.0009259259259259342,1.8148148148148162,1.2703703703703704,0.19467592592592606,0.006613756613756609,0.42087542087542146,0.04740740740740755
#dorise,0.5088985088985087,0.09523809523809508,0.005291005291005275,1.2703703703703704,6.259259259259261,1.9606481481481484,0.03779289493575214,0.2946127946127948,0.12804232804232807
#clitandre,0.4865319865319864,0.1666666666666666,0.05787037037037033,0.19467592592592606,1.9606481481481484,13.370370370370372,0.0026455026455026375,0.16835016835016844,0.0004629629629629671
#le-marquis,0.25444925444925437,0.7619047619047616,0.5562169312169312,0.006613756613756609,0.03779289493575214,0.0026455026455026375,14.814814814814815,3.475228475228476,0.06402116402116403
#la-ramee,0.4897459442913985,0.12121212121212116,0.4865319865319864,0.42087542087542146,0.2946127946127948,0.16835016835016844,3.475228475228476,9.481481481481485,0.0013468013468013267
#la-marquise,2.1013468013468026,0.8333333333333336,0.3629629629629631,0.04740740740740755,0.12804232804232807,0.0004629629629629671,0.06402116402116403,0.0013468013468013267,10.703703703703706
Successions,#le-baron,#eraste,#damis,#toinon,#dorise,#clitandre,#le-marquis,#la-ramee,#la-marquise
#le-baron,0.0,0.49019607843137253,0.23529411764705882,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.058823529411764705,0.0392156862745098,0.0784313725490196
#eraste,0.34065934065934067,0.0,0.0989010989010989,0.27472527472527475,0.04395604395604396,0.04395604395604396,0.04395604395604396,0.06593406593406594,0.08791208791208792
#damis,0.37037037037037035,0.5185185185185185,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.037037037037037035
#toinon,0.019230769230769232,0.2403846153846154,0.019230769230769232,0.019230769230769232,0.19230769230769232,0.09615384615384616,0.09615384615384616,0.25961538461538464,0.057692307692307696
#dorise,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.4772727272727273,0.0,0.20454545454545456,0.045454545454545456,0.022727272727272728,0.13636363636363635
#clitandre,0.0,0.23076923076923078,0.0,0.23076923076923078,0.4230769230769231,0.0,0.0,0.11538461538461539,0.0
#le-marquis,0.075,0.15,0.0,0.275,0.0,0.025,0.0,0.4,0.075
#la-ramee,0.0,0.11290322580645161,0.03225806451612903,0.46774193548387094,0.06451612903225806,0.0,0.24193548387096775,0.0,0.08064516129032258
#la-marquise,0.15151515151515152,0.15151515151515152,0.030303030303030304,0.15151515151515152,0.12121212121212122,0.030303030303030304,0.15151515151515152,0.21212121212121213,0.0
