VALEUR,#eraste,#tirsis,#melite,#philandre,#cloris,#cliton,#la-nourrice,#lisis
Fréquences (scènes),0.4594594594594595,0.32432432432432434,0.24324324324324326,0.2972972972972973,0.35135135135135137,0.16216216216216217,0.13513513513513514,0.08108108108108109
Fréquences(répliques),0.272943414170233,0.2282453637660485,0.09700427960057062,0.1336186400380409,0.16500237755587258,0.028055159296243463,0.06134094151212553,0.01378982406086543
Confrontation,0.18181818181818182,0.16363636363636364,0.14545454545454545,0.08181818181818182,0.18181818181818182,0.09090909090909091,0.1,0.05454545454545454
Déviations,#eraste,#tirsis,#melite,#philandre,#cloris,#cliton,#la-nourrice,#lisis
#eraste,10.81081081081081,0.04782723900370968,0.0044161808867691195,1.8454979043214341,4.140393787452612,1.8253842077371483,0.21494435612082666,1.3783783783783785
#tirsis,0.04782723900370968,16.891891891891895,1.483733733733733,0.6887796887796888,0.1457033957033955,1.945945945945946,0.23828828828828835,0.972972972972973
#melite,0.0044161808867691195,1.483733733733733,21.189189189189186,2.675675675675676,0.22199122199122193,1.4594594594594594,0.5051051051051051,0.10010010010010002
#philandre,1.8454979043214341,0.6887796887796888,2.675675675675676,18.27027027027027,0.004725004725004722,0.3443898443898444,1.4864864864864866,0.8918918918918919
#cloris,4.140393787452612,0.1457033957033955,0.22199122199122193,0.004725004725004722,15.567567567567563,0.5824670824670827,0.03367983367983367,3.5925155925155914
#cliton,1.8253842077371483,1.945945945945946,1.4594594594594594,0.3443898443898444,0.5824670824670827,25.972972972972972,1.7441441441441434,0.542042042042042
#la-nourrice,0.21494435612082666,0.23828828828828835,0.5051051051051051,1.4864864864864866,0.03367983367983367,1.7441441441441434,27.67567567567568,0.8720720720720717
#lisis,1.3783783783783785,0.972972972972973,0.10010010010010002,0.8918918918918919,3.5925155925155914,0.542042042042042,0.8720720720720717,31.24324324324324
Successions,#eraste,#tirsis,#melite,#philandre,#cloris,#cliton,#la-nourrice,#lisis
#eraste,0.047619047619047616,0.27380952380952384,0.21428571428571427,0.14285714285714285,0.023809523809523808,0.17857142857142858,0.11904761904761904,0.0
#tirsis,0.1896551724137931,0.0,0.1896551724137931,0.25862068965517243,0.35344827586206895,0.008620689655172414,0.0,0.0
#melite,0.24675324675324675,0.2597402597402597,0.0,0.0,0.2727272727272727,0.0,0.19480519480519481,0.025974025974025976
#philandre,0.1780821917808219,0.410958904109589,0.0,0.0273972602739726,0.3424657534246575,0.0410958904109589,0.0,0.0
#cloris,0.031578947368421054,0.43157894736842106,0.23157894736842105,0.25263157894736843,0.0,0.010526315789473684,0.021052631578947368,0.021052631578947368
#cliton,0.6153846153846154,0.0,0.0,0.15384615384615385,0.038461538461538464,0.0,0.11538461538461539,0.07692307692307693
#la-nourrice,0.21875,0.0625,0.4375,0.03125,0.0625,0.1875,0.0,0.0
#lisis,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.0,0.16666666666666666,0.0
